epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7751,4.85233,12.9951,4.29772,0,0,0,0,5.31801,12.1712,4.1579,0.00327778,0.00327778,0.00327778
2,25.734,5.00904,7.02997,4.18689,0,0,0,0,5.30298,6.61263,3.94964,0.00660566,0.00660566,0.00660566
3,38.125,4.17646,4.69887,3.3501,0.00054,0.01915,0.00028,7e-05,3.12507,4.78001,2.78212,0.00992804,0.00992804,0.00992804
4,51.3622,3.34177,4.33282,2.71438,0.0009,0.08511,0.00051,0.00013,2.89367,4.63737,2.7655,0.00997525,0.00997525,0.00997525
5,63.2787,3.27182,4.29135,2.70688,0.00067,0.05319,0.00053,0.00012,2.88197,4.85602,2.83128,0.009967,0.009967,0.009967
6,75.4287,3.16251,4.25699,2.63185,0.00097,0.09574,0.0006,0.00013,2.62653,4.38644,2.44494,0.00995875,0.00995875,0.00995875
7,88.3924,3.1272,4.21503,2.62702,0.00191,0.20426,0.00171,0.00041,2.50602,4.22924,2.42154,0.0099505,0.0099505,0.0099505
8,100.597,3.19902,4.20877,2.61157,0.00123,0.18511,0.00093,0.00021,2.66867,4.361,2.48494,0.00994225,0.00994225,0.00994225
9,112.501,3.21271,4.17376,2.58422,0.00022,0.00213,0.00011,2e-05,3.26997,5.15689,2.79867,0.009934,0.009934,0.009934
10,125.446,3.1458,4.2226,2.52922,0.00156,0.23404,0.00198,0.00045,2.65599,4.34826,2.40686,0.00992575,0.00992575,0.00992575
11,137.563,3.12435,4.18016,2.51212,0.00158,0.24043,0.00108,0.00025,2.74809,4.68594,2.44674,0.0099175,0.0099175,0.0099175
12,149.079,3.11399,4.18122,2.50844,0.00206,0.31277,0.00316,0.00077,2.59267,4.13459,2.36784,0.00990925,0.00990925,0.00990925
