epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.94,5.84449,9.88955,4.19745,1e-05,0.00213,1e-05,0,6.3018,11.8767,4.15515,0.00327778,0.00327778,0.00327778
2,63.3439,5.84095,7.20645,4.13526,1e-05,0.00213,1e-05,0,6.26764,7.08799,4.04819,0.00660566,0.00660566,0.00660566
3,74.5142,5.16941,4.85989,3.37177,0.00078,0.10851,0.00045,0.00011,4.18879,5.02012,3.73663,0.00992804,0.00992804,0.00992804
4,85.7454,4.23586,4.33218,2.69833,0.00046,0.06596,0.00027,5e-05,4.50104,4.8075,3.0467,0.00997525,0.00997525,0.00997525
5,96.536,4.16656,4.27404,2.64565,0.0005,0.07021,0.0003,6e-05,4.45068,4.54221,2.37339,0.009967,0.009967,0.009967
6,107.38,4.08881,4.24267,2.55987,0.00065,0.05745,0.00037,0.0001,4.31332,4.80868,2.4238,0.00995875,0.00995875,0.00995875
7,118.267,3.95113,4.24732,2.62023,0.00044,0.06596,0.00024,8e-05,4.01778,4.52329,2.21613,0.0099505,0.0099505,0.0099505
8,129.153,3.81503,4.29198,2.64149,0.00184,0.23191,0.00141,0.0003,3.64036,4.25058,2.37429,0.00994225,0.00994225,0.00994225
9,140.371,3.64175,4.2422,2.57624,0.00188,0.28298,0.00155,0.00037,3.43035,4.16754,2.26184,0.009934,0.009934,0.009934
10,151.596,3.49235,4.23303,2.54376,0.00158,0.2383,0.00108,0.00026,3.58476,4.97625,2.26708,0.00992575,0.00992575,0.00992575
11,162.434,3.44637,4.19454,2.52542,0.00089,0.13617,0.00054,0.00012,3.79225,4.58847,2.24073,0.0099175,0.0099175,0.0099175
12,173.189,3.40971,4.16455,2.51594,0.00157,0.2383,0.00105,0.00024,3.50119,4.30362,2.45891,0.00990925,0.00990925,0.00990925
13,184.034,3.41641,4.1404,2.54113,0.00211,0.32128,0.00239,0.00054,3.28027,4.25744,2.2654,0.009901,0.009901,0.009901
14,195.197,3.34742,4.09862,2.54616,0.00216,0.32766,0.00156,0.00035,3.27894,4.24462,2.34995,0.00989275,0.00989275,0.00989275
15,206.024,3.34294,4.09511,2.49123,0.00231,0.34894,0.00319,0.00066,3.28153,4.08518,2.37183,0.0098845,0.0098845,0.0098845
16,217.152,3.31796,4.07341,2.503,0.00237,0.35957,0.00351,0.00077,3.31388,4.13372,2.36536,0.00987625,0.00987625,0.00987625
17,228.245,3.29992,4.08213,2.49582,0.0017,0.25532,0.00144,0.00036,3.49673,4.88474,2.33093,0.009868,0.009868,0.009868
18,239.076,3.2726,4.06375,2.4924,0.00241,0.36383,0.00349,0.00072,3.28124,4.24813,2.3717,0.00985975,0.00985975,0.00985975
19,249.899,3.2508,4.05952,2.45041,0.00131,0.2,0.00104,0.00024,3.47962,4.61199,2.27704,0.0098515,0.0098515,0.0098515
20,260.735,3.25861,4.03694,2.47993,0.00159,0.24255,0.00137,0.00035,3.52593,4.91921,2.32886,0.00984325,0.00984325,0.00984325
21,271.579,3.23197,4.04655,2.45219,0.00138,0.20426,0.00137,0.00032,3.64914,4.58043,2.49215,0.009835,0.009835,0.009835
22,282.394,3.22107,4.04119,2.44028,0.00156,0.19574,0.00126,0.00033,3.71858,5.30103,2.5389,0.00982675,0.00982675,0.00982675
23,293.297,3.16316,3.95804,2.42032,0.00393,0.44681,0.00867,0.00203,3.1166,3.97967,2.27296,0.0098185,0.0098185,0.0098185
24,304.393,3.15906,3.94612,2.41689,0.00299,0.44681,0.00736,0.0016,3.2022,4.18765,2.30321,0.00981025,0.00981025,0.00981025
25,315.224,3.12759,3.93305,2.39794,0.00217,0.28936,0.00409,0.00087,3.51271,4.33851,2.44692,0.009802,0.009802,0.009802
26,326.087,3.10863,3.89332,2.4011,0.0032,0.44468,0.00834,0.00176,3.18421,4.0642,2.34713,0.00979375,0.00979375,0.00979375
27,336.984,3.08639,3.83745,2.39966,0.03924,0.15319,0.02706,0.0059,3.12138,3.93039,2.29342,0.0097855,0.0097855,0.0097855
28,348.086,3.07726,3.82432,2.40137,0.12391,0.02128,0.02288,0.00526,3.05664,3.88555,2.21423,0.00977725,0.00977725,0.00977725
29,358.905,3.05628,3.79751,2.3794,0.04341,0.12979,0.02405,0.00587,3.10684,3.92197,2.30714,0.009769,0.009769,0.009769
30,369.685,3.05827,3.75125,2.39439,0.00355,0.25745,0.00867,0.00203,3.54841,4.71312,2.49892,0.00976075,0.00976075,0.00976075
31,380.489,3.05408,3.73089,2.35831,0.01625,0.14681,0.00687,0.0019,3.38214,4.99637,2.35419,0.0097525,0.0097525,0.0097525
32,391.27,3.00266,3.68326,2.35622,0.14508,0.0617,0.02669,0.00586,3.1108,3.84264,2.29865,0.00974425,0.00974425,0.00974425
33,402.1,3.00981,3.66563,2.35233,0.06015,0.08936,0.02698,0.00689,3.07699,3.82556,2.28636,0.009736,0.009736,0.009736
34,413.271,3.01812,3.68054,2.36364,0.09974,0.0383,0.01418,0.00372,3.32451,4.08358,2.3175,0.00972775,0.00972775,0.00972775
35,424.081,2.96952,3.62057,2.33439,0.09812,0.12766,0.03327,0.00815,2.92039,3.70607,2.20221,0.0097195,0.0097195,0.0097195
36,435.144,2.93314,3.62675,2.32188,0.09525,0.08298,0.03061,0.00732,3.07959,3.74041,2.29164,0.00971125,0.00971125,0.00971125
37,445.97,2.96158,3.61247,2.33874,0.07176,0.16596,0.0329,0.00758,3.02663,3.65646,2.31534,0.009703,0.009703,0.009703
38,456.775,2.95951,3.51319,2.32711,0.11443,0.1075,0.03878,0.0097,2.91409,3.58957,2.20563,0.00969475,0.00969475,0.00969475
39,467.84,2.95216,3.52014,2.31496,0.10639,0.15319,0.03798,0.01018,2.86043,3.55901,2.19631,0.0096865,0.0096865,0.0096865
40,478.927,2.93103,3.54195,2.32516,0.07736,0.15319,0.03406,0.00894,2.97894,3.83348,2.28048,0.00967825,0.00967825,0.00967825
41,489.758,2.9264,3.51967,2.30277,0.07644,0.11277,0.03619,0.00909,3.02694,3.67908,2.24025,0.00967,0.00967,0.00967
42,500.666,2.95024,3.51956,2.3133,0.13369,0.11952,0.04832,0.01273,2.91807,3.54122,2.1866,0.00966175,0.00966175,0.00966175
43,511.703,2.90442,3.47572,2.29837,0.09448,0.14681,0.04747,0.01044,2.95295,3.55972,2.25515,0.0096535,0.0096535,0.0096535
44,522.475,2.86773,3.45886,2.28534,0.13823,0.10638,0.05241,0.01235,2.97814,3.6649,2.28077,0.00964525,0.00964525,0.00964525
45,533.559,2.86234,3.43436,2.29308,0.16505,0.11277,0.06155,0.01574,2.92093,3.60243,2.21906,0.009637,0.009637,0.009637
46,544.602,2.85891,3.43368,2.28331,0.15371,0.13404,0.05882,0.0153,2.88133,3.4786,2.18892,0.00962875,0.00962875,0.00962875
47,555.544,2.82435,3.38597,2.26256,0.11124,0.11702,0.04153,0.01094,2.90932,3.50505,2.19971,0.0096205,0.0096205,0.0096205
48,566.513,2.84399,3.45039,2.25932,0.10759,0.0766,0.02953,0.00845,3.15625,4.07808,2.28171,0.00961225,0.00961225,0.00961225
49,577.435,2.83588,3.45232,2.28652,0.09847,0.132,0.04709,0.01134,2.87814,3.63096,2.22337,0.009604,0.009604,0.009604
