epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7713,5.83811,9.3899,4.19588,0,0,0,0,6.30358,11.4904,4.16076,0.00327778,0.00327778,0.00327778
2,23.2888,5.79756,6.89885,4.11979,1e-05,0.00213,1e-05,0,6.27731,7.19444,4.06925,0.00660566,0.00660566,0.00660566
3,33.7613,5.28858,4.9741,3.5845,1e-05,0.00213,1e-05,0,4.40962,4.98997,3.13538,0.00992804,0.00992804,0.00992804
4,44.0971,4.2283,4.44175,2.7967,1e-05,0.00213,1e-05,0,4.27893,4.918,2.6494,0.00997525,0.00997525,0.00997525
5,54.484,4.05243,4.4029,2.68654,1e-05,0.00213,1e-05,0,4.28988,4.92355,2.91711,0.009967,0.009967,0.009967
6,64.8948,3.95979,4.40896,2.54835,0.00064,0.01277,0.00034,0.00015,4.60373,5.14873,2.91695,0.00995875,0.00995875,0.00995875
7,75.2809,3.92268,4.42941,2.58783,0.00092,0.0234,0.00048,7e-05,4.02423,4.71449,2.33386,0.0099505,0.0099505,0.0099505
8,85.6791,3.72365,4.42489,2.58729,0.00106,0.15957,0.00063,0.00015,3.97983,5.31227,2.83714,0.00994225,0.00994225,0.00994225
9,96.1428,3.57632,4.33813,2.58294,0.00075,0.08936,0.00044,9e-05,3.71062,4.59377,2.29331,0.009934,0.009934,0.009934
10,106.547,3.5032,4.33626,2.55083,0.0009,0.13617,0.00051,0.00013,3.81419,6.97662,2.38647,0.00992575,0.00992575,0.00992575
11,116.698,3.44977,4.27726,2.5175,0.00186,0.11489,0.00124,0.00029,3.65446,4.40791,2.42409,0.0099175,0.0099175,0.0099175
12,127.199,3.42419,4.20857,2.51652,0.00141,0.21489,0.00099,0.00025,4.07737,8.2709,2.5699,0.00990925,0.00990925,0.00990925
13,137.252,3.40506,4.213,2.48935,0.00076,0.00213,0.00051,9e-05,4.27682,5.23524,2.52729,0.009901,0.009901,0.009901
14,147.619,3.38796,4.17735,2.48273,0.00045,0.03404,0.00027,5e-05,4.20328,5.28015,2.5762,0.00989275,0.00989275,0.00989275
15,157.936,3.39326,4.16104,2.44868,0.00137,0.20851,0.00116,0.00028,3.83583,6.26994,2.27531,0.0098845,0.0098845,0.0098845
16,168.22,3.34848,4.13847,2.42952,0.00025,0.00851,0.00013,3e-05,4.11674,4.9968,2.66516,0.00987625,0.00987625,0.00987625
17,178.493,3.35539,4.099,2.44015,0.00188,0.25745,0.00188,0.00042,3.4434,4.32879,2.19654,0.009868,0.009868,0.009868
