epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1159,5.8361,11.965,4.28598,0,0,0,0,6.30405,12.2408,4.15708,0.00327778,0.00327778,0.00327778
2,26.8891,5.84074,8.15049,4.22536,1e-05,0.00213,1e-05,0,6.28597,8.94263,4.09793,0.00660566,0.00660566,0.00660566
3,44.3343,5.56901,5.39422,3.83924,0.00034,0.00426,0.00017,6e-05,4.49814,4.90789,3.31877,0.00992804,0.00992804,0.00992804
4,58.853,4.3363,4.45221,2.9463,0.00068,0.02553,0.00035,9e-05,4.34709,4.77871,3.01051,0.00997525,0.00997525,0.00997525
5,71.5128,4.19252,4.41602,2.78723,0.00226,0.04043,0.00121,0.00029,4.41731,4.80537,2.92834,0.009967,0.009967,0.009967
6,84.8231,4.10096,4.34554,2.73387,0.00059,0.08936,0.00034,9e-05,4.0545,4.70401,2.73527,0.00995875,0.00995875,0.00995875
7,101.821,4.06558,4.28773,2.77229,0.00048,0.07021,0.00031,5e-05,4.11541,4.39871,2.50662,0.0099505,0.0099505,0.0099505
8,118.78,3.93106,4.28,2.76174,0.00077,0.11277,0.00043,0.0001,3.95298,9.05433,2.6919,0.00994225,0.00994225,0.00994225
9,131.369,3.89915,4.22756,2.75333,0.00074,0.08085,0.00147,0.0004,4.13652,4.93969,2.582,0.009934,0.009934,0.009934
10,144.237,3.8131,4.24187,2.73304,0.00107,0.09787,0.001,0.00024,4.06259,4.72334,2.75267,0.00992575,0.00992575,0.00992575
11,158.762,3.7707,4.20691,2.71988,0.00187,0.28511,0.00151,0.00035,3.6146,4.34283,2.51991,0.0099175,0.0099175,0.0099175
12,176.458,3.72238,4.17946,2.72726,0.00135,0.20426,0.00094,0.00021,3.55418,14.1962,2.45465,0.00990925,0.00990925,0.00990925
13,191.751,3.69245,4.15918,2.712,0.00223,0.32979,0.00321,0.0007,3.62291,4.01038,2.50167,0.009901,0.009901,0.009901
14,204.548,3.6551,4.1321,2.70974,0.0017,0.25532,0.00265,0.00053,3.65994,4.12658,2.54684,0.00989275,0.00989275,0.00989275
15,217.091,3.64483,4.12895,2.68262,0.00205,0.3,0.00298,0.00062,3.64578,4.1671,2.50238,0.0098845,0.0098845,0.0098845
