epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0963,5.83734,11.5211,4.34007,0,0,0,0,6.30772,12.6931,4.15487,0.00327778,0.00327778,0.00327778
2,26.8037,5.8465,8.50248,4.25724,1e-05,0.00213,1e-05,0,6.30051,9.0537,4.12457,0.00660566,0.00660566,0.00660566
3,38.9073,5.58915,5.41126,3.88573,1e-05,0.00213,1e-05,0,4.04015,8.64859,6.87781,0.00992804,0.00992804,0.00992804
4,51.0636,4.31562,4.45087,2.9218,0.00076,0.03404,0.00041,0.0001,4.44169,4.6959,2.52651,0.00997525,0.00997525,0.00997525
5,63.1482,4.08464,4.36279,2.75026,0.00211,0.05106,0.00138,0.0003,4.09,5.42229,3.05996,0.009967,0.009967,0.009967
6,75.2452,3.99114,4.31218,2.69332,0.00101,0.10638,0.00059,0.00013,4.07563,4.46955,2.52531,0.00995875,0.00995875,0.00995875
7,86.8875,3.97802,4.26956,2.76771,0.00022,0.03191,0.00016,2e-05,4.03322,5.29514,2.59108,0.0099505,0.0099505,0.0099505
8,98.8606,3.84025,4.33174,2.69158,0.00105,0.14255,0.00073,0.00016,3.96933,4.95383,2.64341,0.00994225,0.00994225,0.00994225
9,110.747,3.81961,4.28545,2.66911,0.00108,0.10426,0.00061,0.00013,3.84437,4.48725,2.31413,0.009934,0.009934,0.009934
10,122.433,3.73063,4.29785,2.61276,0.00167,0.21277,0.00246,0.00047,3.73285,4.31366,2.41526,0.00992575,0.00992575,0.00992575
11,134.599,3.65835,4.25643,2.58149,0.00155,0.23617,0.00219,0.00048,3.754,4.34477,2.34275,0.0099175,0.0099175,0.0099175
12,146.537,3.63699,4.22839,2.54684,0.00166,0.25106,0.00207,0.00039,3.64322,4.34953,2.54703,0.00990925,0.00990925,0.00990925
13,158.197,3.58292,4.17197,2.52724,0.00203,0.30851,0.00209,0.00049,3.49886,4.11024,2.43178,0.009901,0.009901,0.009901
