epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.663,6.00039,11.5504,4.3443,0,0,0,0,6.49007,12.7317,4.15537,0.00327778,0.00327778,0.00327778
2,52.5799,6.00575,8.94201,4.29965,0,0,0,0,6.48572,10.4681,4.15193,0.00660566,0.00660566,0.00660566
3,74.5913,5.78571,5.98109,3.94752,0.00012,0.00426,6e-05,1e-05,5.95521,5.42606,4.06184,0.00992804,0.00992804,0.00992804
4,89.1917,4.74378,4.59334,3.15993,0.00085,0.11915,0.00051,0.00011,4.27736,4.69369,2.65485,0.00997525,0.00997525,0.00997525
5,104.734,4.11756,4.3827,2.72675,0.00085,0.11915,0.00051,0.00011,4.55696,9.4749,5.79478,0.009967,0.009967,0.009967
6,123.244,4.01269,4.31668,2.61315,0.00051,0.07234,0.0003,7e-05,4.1398,4.58018,2.17687,0.00995875,0.00995875,0.00995875
7,137.308,3.93646,4.31826,2.59702,0.00099,0.14894,0.00074,0.00014,3.9478,4.56965,2.27424,0.0099505,0.0099505,0.0099505
8,151.851,3.83641,4.32781,2.62134,0.00137,0.20426,0.00145,0.00029,3.90575,4.56644,2.51965,0.00994225,0.00994225,0.00994225
9,170.754,3.71812,4.24404,2.58091,0.00156,0.22553,0.0014,0.00035,3.72576,4.31139,2.26751,0.009934,0.009934,0.009934
10,195.135,3.6065,4.31906,2.53138,0.00084,0.12766,0.00063,0.00016,3.87176,4.59064,2.2349,0.00992575,0.00992575,0.00992575
11,209.844,3.50612,4.25079,2.53274,0.0016,0.24468,0.00115,0.00029,3.4551,4.63371,2.14659,0.0099175,0.0099175,0.0099175
12,223.831,3.47114,4.2536,2.52848,0.00139,0.21064,0.00106,0.00021,3.81214,4.59911,2.54502,0.00990925,0.00990925,0.00990925
13,238.303,3.4179,4.2174,2.49505,0.00183,0.24468,0.00142,0.00032,3.51749,4.31181,2.22601,0.009901,0.009901,0.009901
14,252.172,3.36445,4.18608,2.47221,0.00285,0.0617,0.00161,0.00036,3.48764,4.59575,2.34236,0.00989275,0.00989275,0.00989275
15,266.568,3.37343,4.16284,2.45188,0.00224,0.3383,0.00287,0.0007,3.33117,4.32038,2.23085,0.0098845,0.0098845,0.0098845
16,281.973,3.30007,4.14956,2.42462,0.0024,0.27234,0.00243,0.00055,3.52742,4.28568,2.40916,0.00987625,0.00987625,0.00987625
17,295.865,3.32378,4.11928,2.44718,0.00219,0.33404,0.00256,0.00063,3.31437,4.22202,2.28717,0.009868,0.009868,0.009868
18,315.879,3.27878,4.07816,2.43582,0.00241,0.35106,0.00328,0.00083,3.45557,4.20689,2.27784,0.00985975,0.00985975,0.00985975
19,339.182,3.27491,4.07999,2.40312,0.00266,0.39574,0.00326,0.00083,3.31976,4.18112,2.27802,0.0098515,0.0098515,0.0098515
20,353.575,3.22777,4.02557,2.41041,0.00123,0.07234,0.00096,0.00028,3.8971,5.23185,2.49422,0.00984325,0.00984325,0.00984325
21,367.604,3.25942,4.00383,2.39349,0.0025,0.38085,0.0124,0.00213,3.24973,4.14224,2.26025,0.009835,0.009835,0.009835
22,391.965,3.20933,4.01136,2.36154,0.00517,0.00213,0.002,0.00051,3.49086,4.79348,2.35878,0.00982675,0.00982675,0.00982675
23,410.199,3.16867,3.89471,2.33905,0.02386,0.12128,0.01027,0.00226,3.18895,4.13847,2.21576,0.0098185,0.0098185,0.0098185
24,424.085,3.18608,3.89064,2.36426,0.0675,0.07021,0.01691,0.00338,3.21004,4.09034,2.22678,0.00981025,0.00981025,0.00981025
25,441.103,3.14122,3.84616,2.3396,0.00276,0.34255,0.01253,0.00248,3.48165,4.36393,2.33271,0.009802,0.009802,0.009802
26,465.918,3.16332,3.79968,2.35495,0.0509,0.10213,0.01587,0.00351,3.18686,4.04208,2.22935,0.00979375,0.00979375,0.00979375
27,481.186,3.10194,3.75859,2.32682,0.00872,0.10851,0.00757,0.00216,3.49513,4.67317,2.31395,0.0097855,0.0097855,0.0097855
28,494.996,3.13212,3.7409,2.33393,0.09754,0.07447,0.02639,0.00669,3.19729,3.76772,2.18796,0.00977725,0.00977725,0.00977725
29,516.403,3.11112,3.73133,2.33324,0.0038,0.00426,0.00065,0.00014,3.77795,7.70907,2.42048,0.009769,0.009769,0.009769
30,538.042,3.09249,3.68953,2.32293,0.15356,0.04468,0.02918,0.00639,3.19536,3.95145,2.18153,0.00976075,0.00976075,0.00976075
31,552.589,3.09847,3.68822,2.30076,0.09936,0.06809,0.02814,0.00648,3.12033,3.80953,2.16559,0.0097525,0.0097525,0.0097525
32,566.853,3.04428,3.64101,2.28838,0.12165,0.09787,0.03381,0.00649,3.09793,3.70839,2.16646,0.00974425,0.00974425,0.00974425
33,593.124,3.04565,3.64667,2.28339,0.03189,0.02979,0.00418,0.00099,3.38418,4.41899,2.25991,0.009736,0.009736,0.009736
34,609.418,3.01547,3.662,2.30587,0.12353,0.01277,0.01727,0.00473,3.4316,4.32221,2.24842,0.00972775,0.00972775,0.00972775
35,623.258,2.98779,3.59647,2.25333,0.11524,0.11277,0.03928,0.00923,3.03786,3.67673,2.13542,0.0097195,0.0097195,0.0097195
36,642.038,3.02629,3.61702,2.28458,0.10682,0.08298,0.03064,0.00765,3.13354,3.68725,2.14603,0.00971125,0.00971125,0.00971125
37,666.21,2.96808,3.58175,2.27009,0.17638,0.05957,0.03531,0.00811,3.16978,3.77475,2.18183,0.009703,0.009703,0.009703
38,680.111,2.97466,3.50034,2.25408,0.12972,0.11489,0.04986,0.0101,3.04233,3.73616,2.14193,0.00969475,0.00969475,0.00969475
39,694.75,2.97805,3.52357,2.2453,0.13967,0.09574,0.0434,0.00991,3.0148,3.63481,2.1451,0.0096865,0.0096865,0.0096865
40,709.398,2.98116,3.54208,2.24913,0.13283,0.1,0.03987,0.00839,3.04934,3.65152,2.13725,0.00967825,0.00967825,0.00967825
41,723.651,2.96205,3.52719,2.24468,0.14893,0.12766,0.05116,0.01091,3.02312,3.5876,2.16015,0.00967,0.00967,0.00967
42,738.665,2.97963,3.49894,2.24423,0.17099,0.12553,0.06422,0.01319,2.95778,3.48423,2.1298,0.00966175,0.00966175,0.00966175
43,753.198,2.90288,3.46062,2.22308,0.14938,0.0893,0.04767,0.01206,3.16192,3.7945,2.20671,0.0096535,0.0096535,0.0096535
44,767.541,2.93546,3.46556,2.21796,0.1696,0.11915,0.05165,0.01261,2.97664,3.47977,2.10106,0.00964525,0.00964525,0.00964525
45,781.487,2.88895,3.44089,2.20745,0.18683,0.13617,0.06364,0.01573,2.95698,3.48083,2.11934,0.009637,0.009637,0.009637
46,796.27,2.90704,3.44014,2.22392,0.1897,0.09574,0.05047,0.01295,2.97848,3.51622,2.12542,0.00962875,0.00962875,0.00962875
47,810.763,2.88293,3.39822,2.19346,0.2051,0.07447,0.05882,0.01289,3.00737,3.50672,2.11411,0.0096205,0.0096205,0.0096205
48,824.84,2.8688,3.43427,2.17905,0.17049,0.13191,0.05762,0.01404,2.97193,3.57141,2.14,0.00961225,0.00961225,0.00961225
49,839.667,2.89315,3.46587,2.21239,0.15381,0.08511,0.03868,0.00949,3.05939,3.70364,2.16591,0.009604,0.009604,0.009604
50,854.097,2.85038,3.39592,2.19314,0.18768,0.11915,0.0628,0.01504,2.96773,3.46988,2.13988,0.00959575,0.00959575,0.00959575
51,868.516,2.8621,3.36674,2.1861,0.15343,0.1234,0.05154,0.01305,3.01004,3.57589,2.15196,0.0095875,0.0095875,0.0095875
52,883.494,2.86684,3.39715,2.17811,0.18495,0.1234,0.06242,0.01644,2.93959,3.47741,2.13317,0.00957925,0.00957925,0.00957925
53,899.159,2.84921,3.38217,2.19277,0.1475,0.14255,0.06197,0.01436,2.92504,3.43718,2.13075,0.009571,0.009571,0.009571
54,913.125,2.86484,3.37012,2.18893,0.22702,0.14681,0.08324,0.01914,2.88114,3.36873,2.09219,0.00956275,0.00956275,0.00956275
55,928.52,2.84013,3.35954,2.16452,0.15274,0.13617,0.06243,0.01604,2.89454,3.41831,2.11193,0.0095545,0.0095545,0.0095545
56,944.601,2.80575,3.27832,2.14339,0.1389,0.13191,0.04543,0.01155,2.92058,3.5397,2.11725,0.00954625,0.00954625,0.00954625
