epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7988,4.85502,11.6118,4.3192,0,0,0,0,5.32061,12.7023,4.1547,0.00327778,0.00327778,0.00327778
2,26.4431,5.03293,8.9545,4.2983,0,0,0,0,5.35114,10.2776,4.15048,0.00660566,0.00660566,0.00660566
3,39.123,5.06996,5.8723,4.04579,0,0,0,0,4.51645,6.18935,5.9278,0.00992804,0.00992804,0.00992804
4,51.7859,3.64188,4.54144,3.06732,0.00016,0.0234,8e-05,2e-05,2.98456,23.6652,5.44098,0.00997525,0.00997525,0.00997525
5,64.1953,3.18757,4.40566,2.75531,0.00052,0.07447,0.00035,9e-05,2.6842,4.92304,2.37,0.009967,0.009967,0.009967
6,76.623,3.15085,4.29808,2.65253,0.00076,0.11277,0.00051,0.00012,2.70303,4.74274,2.40304,0.00995875,0.00995875,0.00995875
7,89.3049,3.19237,4.2849,2.62973,0.00134,0.19362,0.00119,0.00025,2.94055,4.27889,2.68954,0.0099505,0.0099505,0.0099505
8,101.638,3.03314,4.2871,2.62245,0.00152,0.17872,0.00108,0.00026,2.98653,5.31397,2.75929,0.00994225,0.00994225,0.00994225
9,114.041,2.97992,4.19119,2.57456,0.00148,0.21277,0.00161,0.00034,2.57544,4.3898,2.42222,0.009934,0.009934,0.009934
10,126.465,2.93574,4.18735,2.54349,0.00163,0.24468,0.00194,0.00043,2.48929,4.43253,2.44834,0.00992575,0.00992575,0.00992575
11,138.909,2.91315,4.13343,2.5255,0.00141,0.21277,0.00116,0.00029,2.89918,4.23039,2.49129,0.0099175,0.0099175,0.0099175
12,150.581,2.88402,4.09631,2.50506,0.00141,0.21277,0.00116,0.00029,3.13508,4.99954,2.64052,0.00990925,0.00990925,0.00990925
13,162.712,2.86611,4.08781,2.4955,0.00195,0.29787,0.00328,0.00072,2.47343,4.26205,2.28693,0.009901,0.009901,0.009901
14,174.998,2.79171,4.05903,2.48125,0.00248,0.37234,0.00624,0.00146,2.42474,4.10595,2.26198,0.00989275,0.00989275,0.00989275
15,187.335,2.80083,4.04561,2.43597,0.00288,0.0766,0.00174,0.00053,2.73449,4.78398,2.25536,0.0098845,0.0098845,0.0098845
16,199.163,2.7625,4.01486,2.42031,0.0026,0.39362,0.01175,0.0023,2.39931,4.00459,2.24935,0.00987625,0.00987625,0.00987625
17,211.698,2.73459,3.9729,2.4115,0.00273,0.33404,0.00533,0.00113,2.48517,4.23296,2.32405,0.009868,0.009868,0.009868
18,223.827,2.6581,3.92141,2.39941,0.03336,0.08143,0.01116,0.00236,2.32401,3.97212,2.18744,0.00985975,0.00985975,0.00985975
19,236.232,2.70554,3.9588,2.38975,0.00292,0.41702,0.0316,0.00637,2.36575,3.87625,2.24658,0.0098515,0.0098515,0.0098515
20,248.543,2.69083,3.90702,2.41754,0.08065,0.07447,0.01698,0.00404,2.3333,3.89612,2.25011,0.00984325,0.00984325,0.00984325
21,260.774,2.68309,3.87019,2.40499,0.10255,0.05957,0.02318,0.0051,2.31996,3.8693,2.29588,0.009835,0.009835,0.009835
22,273.126,2.63405,3.82757,2.38084,0.13773,0.0617,0.02707,0.00579,2.418,3.89158,2.26266,0.00982675,0.00982675,0.00982675
23,285.029,2.59252,3.78403,2.35413,0.13365,0.04681,0.02403,0.00505,2.45487,3.97774,2.27882,0.0098185,0.0098185,0.0098185
24,296.89,2.58749,3.77221,2.34499,0.10528,0.10213,0.03229,0.00766,2.34266,3.81185,2.24119,0.00981025,0.00981025,0.00981025
25,309.147,2.58098,3.70853,2.34931,0.08432,0.07447,0.02184,0.0047,2.43829,3.98662,2.27135,0.009802,0.009802,0.009802
26,321.077,2.58444,3.64774,2.34369,0.08086,0.09574,0.0243,0.00619,2.32859,3.82816,2.24404,0.00979375,0.00979375,0.00979375
27,332.963,2.56682,3.62901,2.36456,0.11441,0.08511,0.0233,0.00559,2.63967,4.28817,2.35203,0.0097855,0.0097855,0.0097855
28,344.811,2.58799,3.62429,2.36558,0.11558,0.08511,0.03638,0.00775,2.44386,3.76099,2.3012,0.00977725,0.00977725,0.00977725
29,357.325,2.574,3.60354,2.33349,0.16394,0.05532,0.03629,0.01041,2.37709,3.74971,2.24183,0.009769,0.009769,0.009769
30,369.761,2.53055,3.55614,2.31984,0.13502,0.11064,0.03934,0.01131,2.41259,3.79631,2.22649,0.00976075,0.00976075,0.00976075
31,382.146,2.53574,3.57315,2.30778,0.11913,0.11702,0.03598,0.00887,2.33081,3.75572,2.30158,0.0097525,0.0097525,0.0097525
32,393.943,2.46931,3.54318,2.30611,0.14047,0.07234,0.03748,0.00915,2.43309,3.70379,2.2638,0.00974425,0.00974425,0.00974425
33,405.947,2.4933,3.50112,2.29712,0.19132,0.08511,0.04966,0.01264,2.4339,3.71438,2.24914,0.009736,0.009736,0.009736
34,418.321,2.47181,3.5258,2.29313,0.12307,0.11064,0.04544,0.01283,2.36008,3.6655,2.19825,0.00972775,0.00972775,0.00972775
35,430.401,2.47557,3.46255,2.29425,0.16343,0.09574,0.05761,0.01402,2.42385,3.6283,2.2362,0.0097195,0.0097195,0.0097195
36,442.841,2.45211,3.48541,2.28828,0.11385,0.13191,0.0492,0.01286,2.39627,3.5902,2.20029,0.00971125,0.00971125,0.00971125
37,454.818,2.4305,3.50233,2.28318,0.14661,0.07872,0.03571,0.00841,2.51069,3.72988,2.28983,0.009703,0.009703,0.009703
38,466.714,2.44276,3.38099,2.25583,0.11248,0.11277,0.04609,0.01254,2.42,3.61053,2.22822,0.00969475,0.00969475,0.00969475
39,478.595,2.4105,3.42075,2.25436,0.18458,0.08085,0.04981,0.01548,2.39719,3.61539,2.20873,0.0096865,0.0096865,0.0096865
40,490.967,2.43212,3.41634,2.25442,0.13401,0.12766,0.05605,0.01439,2.36004,3.53428,2.23593,0.00967825,0.00967825,0.00967825
41,503.067,2.4143,3.3995,2.22205,0.17369,0.1383,0.06459,0.01556,2.34503,3.69666,2.203,0.00967,0.00967,0.00967
42,515.548,2.38614,3.39012,2.22495,0.18653,0.11277,0.07362,0.02146,2.35962,3.42891,2.22638,0.00966175,0.00966175,0.00966175
43,527.94,2.3639,3.32807,2.20936,0.26098,0.09787,0.08474,0.02222,2.37952,3.44894,2.20693,0.0096535,0.0096535,0.0096535
44,540.241,2.37314,3.33723,2.21061,0.21377,0.10426,0.07615,0.0231,2.41379,3.53125,2.20242,0.00964525,0.00964525,0.00964525
45,552.176,2.35871,3.35479,2.21675,0.14877,0.13617,0.06675,0.01783,2.34878,3.4355,2.21995,0.009637,0.009637,0.009637
46,564.173,2.357,3.32204,2.19955,0.21458,0.12979,0.07874,0.0208,2.38294,3.48687,2.22277,0.00962875,0.00962875,0.00962875
47,576.42,2.32002,3.32094,2.20406,0.14434,0.12766,0.06528,0.01545,2.47238,3.47044,2.16576,0.0096205,0.0096205,0.0096205
48,588.373,2.37061,3.33133,2.19949,0.20748,0.13617,0.07922,0.0217,2.46266,3.4098,2.23446,0.00961225,0.00961225,0.00961225
49,600.3,2.35035,3.34104,2.22586,0.12231,0.1383,0.04693,0.01256,2.44323,3.63142,2.21567,0.009604,0.009604,0.009604
50,612.137,2.30224,3.29416,2.18088,0.20075,0.13191,0.08272,0.02399,2.42473,3.37115,2.221,0.00959575,0.00959575,0.00959575
51,624.827,2.32318,3.28582,2.1803,0.1877,0.11915,0.08151,0.02389,2.40845,3.40228,2.16475,0.0095875,0.0095875,0.0095875
52,636.983,2.34017,3.30009,2.17475,0.19525,0.11915,0.07861,0.02483,2.40773,3.40469,2.21394,0.00957925,0.00957925,0.00957925
53,649.039,2.32463,3.31475,2.16736,0.1851,0.11702,0.07788,0.02433,2.37903,3.47484,2.23296,0.009571,0.009571,0.009571
54,660.709,2.33399,3.28439,2.17949,0.24404,0.09574,0.07966,0.02167,2.39233,3.47556,2.18248,0.00956275,0.00956275,0.00956275
55,672.276,2.30537,3.25893,2.15961,0.22652,0.11915,0.08751,0.02466,2.41865,3.40329,2.195,0.0095545,0.0095545,0.0095545
56,684.256,2.27495,3.20489,2.13873,0.16973,0.12766,0.0627,0.0175,2.43318,3.42923,2.199,0.00954625,0.00954625,0.00954625
57,695.854,2.21988,3.24616,2.13031,0.22677,0.1383,0.08416,0.02598,2.37202,3.31424,2.18931,0.009538,0.009538,0.009538
58,708.119,2.28145,3.28701,2.13061,0.21289,0.12766,0.09271,0.02971,2.40016,3.35838,2.19285,0.00952975,0.00952975,0.00952975
59,720.321,2.24632,3.18361,2.12936,0.25019,0.12979,0.08686,0.02516,2.36759,3.2939,2.18625,0.0095215,0.0095215,0.0095215
60,732.109,2.29022,3.24473,2.1426,0.16004,0.12128,0.06347,0.01869,2.35712,3.37964,2.1632,0.00951325,0.00951325,0.00951325
61,744.065,2.27292,3.21393,2.12786,0.17351,0.14043,0.07638,0.02535,2.40541,3.29535,2.18835,0.009505,0.009505,0.009505
62,755.671,2.2798,3.22737,2.13941,0.22265,0.12979,0.08856,0.0296,2.34979,3.25922,2.17002,0.00949675,0.00949675,0.00949675
