epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3068,5.83083,11.634,4.33852,0,0,0,0,6.30757,12.7182,4.15455,0.00327778,0.00327778,0.00327778
2,27.7855,5.84992,8.90983,4.28649,0,0,0,0,6.30421,10.3471,4.14293,0.00660566,0.00660566,0.00660566
3,41.0521,5.75518,5.85557,4.03785,0.0001,0.00213,5e-05,1e-05,5.5479,5.32944,3.53782,0.00992804,0.00992804,0.00992804
4,54.3595,4.46914,4.44329,3.01965,0.00058,0.07872,0.00037,8e-05,4.35662,5.02301,2.8102,0.00997525,0.00997525,0.00997525
5,67.7228,4.01593,4.33687,2.68119,0.00054,0.07872,0.00029,7e-05,3.9218,5.0919,2.34438,0.009967,0.009967,0.009967
6,80.4216,3.89437,4.38447,2.57048,0.00065,0.08936,0.00042,9e-05,4.03024,4.54287,2.25714,0.00995875,0.00995875,0.00995875
7,93.8214,3.82752,4.34844,2.53318,0.00066,0.09787,0.00056,0.00011,3.9232,4.6764,2.11764,0.0099505,0.0099505,0.0099505
8,107.163,3.84485,4.33008,2.5104,0.00941,0.00426,0.00168,0.00049,3.97805,4.60806,2.16104,0.00994225,0.00994225,0.00994225
9,120.629,3.82666,4.31169,2.45879,0.00067,0.09149,0.00042,8e-05,3.9333,4.45294,2.12059,0.009934,0.009934,0.009934
10,133.566,3.72727,4.31258,2.40196,0.00076,0.10638,0.00047,0.0001,3.91048,4.38831,2.11099,0.00992575,0.00992575,0.00992575
11,146.46,3.69533,4.22913,2.39365,0.00127,0.01277,0.00075,0.00018,3.94272,4.40393,2.1546,0.0099175,0.0099175,0.0099175
12,159.248,3.6032,4.1814,2.42148,0.00142,0.16596,0.00173,0.00038,3.76604,4.38706,2.39829,0.00990925,0.00990925,0.00990925
13,172.011,3.50554,4.18463,2.42505,0.00203,0.29362,0.00228,0.0005,3.46068,4.24856,2.30641,0.009901,0.009901,0.009901
14,185.425,3.4842,4.17246,2.41909,0.01382,0.01915,0.00607,0.00123,3.40997,4.36726,2.28545,0.00989275,0.00989275,0.00989275
15,198.853,3.48487,4.13198,2.44078,0.00205,0.29574,0.00272,0.00053,3.51489,4.22228,2.26389,0.0098845,0.0098845,0.0098845
16,212.197,3.42044,4.06253,2.40992,0.01165,0.10426,0.00614,0.00118,3.48617,4.28462,2.29232,0.00987625,0.00987625,0.00987625
17,225.399,3.33606,4.0337,2.39255,0.00264,0.40213,0.00805,0.00179,3.37391,4.16571,2.27156,0.009868,0.009868,0.009868
18,238.697,3.31017,4.00771,2.4102,0.06843,0.03617,0.01152,0.00281,3.3376,3.9579,2.30217,0.00985975,0.00985975,0.00985975
19,252.226,3.28822,4.00837,2.37452,0.08455,0.04894,0.01473,0.00296,3.32775,4.03954,2.28644,0.0098515,0.0098515,0.0098515
20,265.519,3.24797,3.94766,2.34303,0.10648,0.06596,0.0193,0.00409,3.32276,3.8858,2.2949,0.00984325,0.00984325,0.00984325
21,278.92,3.22049,3.89901,2.33891,0.03155,0.03191,0.00755,0.00209,3.38092,4.22262,2.26993,0.009835,0.009835,0.009835
22,292.056,3.20577,3.90541,2.32796,0.12052,0.04927,0.01762,0.00511,3.27986,4.19166,2.27886,0.00982675,0.00982675,0.00982675
23,305.479,3.12531,3.82016,2.28572,0.15561,0.08723,0.03172,0.00876,3.18087,3.85645,2.2763,0.0098185,0.0098185,0.0098185
24,318.733,3.12534,3.8435,2.3347,0.07592,0.09362,0.02109,0.00486,3.10317,4.08312,2.34395,0.00981025,0.00981025,0.00981025
25,331.602,3.06732,3.80484,2.34067,0.18658,0.08085,0.03605,0.00845,3.09551,3.92743,2.31934,0.009802,0.009802,0.009802
26,344.878,3.06579,3.73978,2.34707,0.12452,0.0617,0.02778,0.00875,3.09451,3.84282,2.34287,0.00979375,0.00979375,0.00979375
27,357.625,3.04147,3.72485,2.34587,0.18075,0.08085,0.04788,0.01173,3.10563,3.78733,2.33777,0.0097855,0.0097855,0.0097855
28,371.109,3.03564,3.69203,2.34626,0.13957,0.08298,0.04047,0.00987,3.09375,3.73124,2.33942,0.00977725,0.00977725,0.00977725
29,383.612,3.01194,3.68734,2.31477,0.14231,0.0617,0.03189,0.00715,2.99981,3.76161,2.26426,0.009769,0.009769,0.009769
30,396.301,3.0436,3.66104,2.3354,0.00659,0.17447,0.00752,0.00203,3.28544,4.44065,2.33383,0.00976075,0.00976075,0.00976075
31,409.157,3.02921,3.6449,2.32066,0.16656,0.09362,0.0499,0.01579,3.01941,3.7671,2.31866,0.0097525,0.0097525,0.0097525
32,422.523,2.96835,3.59926,2.30961,0.28667,0.03592,0.03532,0.00894,3.06839,3.70381,2.30481,0.00974425,0.00974425,0.00974425
33,435.422,2.9458,3.58071,2.29689,0.15356,0.10213,0.06122,0.01462,3.00962,3.62243,2.30485,0.009736,0.009736,0.009736
34,448.913,2.94042,3.5968,2.27645,0.20794,0.07234,0.06052,0.0154,3.03189,3.56296,2.25197,0.00972775,0.00972775,0.00972775
35,462.355,2.90188,3.53799,2.25865,0.16277,0.09362,0.05535,0.01544,3.0229,3.61764,2.31216,0.0097195,0.0097195,0.0097195
36,475.097,2.91254,3.56792,2.27705,0.17615,0.12553,0.07144,0.01677,2.92824,3.79896,2.252,0.00971125,0.00971125,0.00971125
37,488.578,2.90468,3.53655,2.2679,0.18176,0.12553,0.07125,0.01961,2.95043,3.57319,2.28757,0.009703,0.009703,0.009703
