epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8723,5.85754,10.39,4.21776,1e-05,0.00213,1e-05,0,6.30451,12.3913,4.16113,0.00327778,0.00327778,0.00327778
2,65.2387,5.86093,8.55371,4.20012,1e-05,0.00213,1e-05,0,6.3002,9.97937,4.15181,0.00660566,0.00660566,0.00660566
3,77.0361,5.80053,5.83603,3.99059,1e-05,0.00213,1e-05,0,5.67384,5.03489,3.34031,0.00992804,0.00992804,0.00992804
4,91.4607,4.55208,4.48972,3.00101,0.00112,0.02128,0.0007,0.00014,4.13289,4.85127,3.43368,0.00997525,0.00997525,0.00997525
5,107.37,4.02714,4.29413,2.65509,0.00067,0.1,0.00038,8e-05,4.00675,4.93412,2.56879,0.009967,0.009967,0.009967
6,118.989,3.8509,4.29988,2.52256,0.00067,0.1,0.00038,8e-05,3.77789,7.35318,2.81224,0.00995875,0.00995875,0.00995875
7,130.216,3.65611,4.25268,2.57484,0.00287,0.04681,0.00158,0.00045,4.12114,4.97227,2.75156,0.0099505,0.0099505,0.0099505
8,142.352,3.55655,4.245,2.51886,0.00174,0.06596,0.00095,0.0002,3.94783,4.4024,2.36237,0.00994225,0.00994225,0.00994225
9,156.253,3.58259,4.18847,2.51494,0.00096,0.14468,0.00085,0.00019,3.81711,4.2408,2.36146,0.009934,0.009934,0.009934
10,171.171,3.55256,4.20831,2.51351,0.00175,0.22979,0.00147,0.00032,3.58507,4.41916,2.28258,0.00992575,0.00992575,0.00992575
11,183.821,3.48485,4.20521,2.51087,0.00132,0.20213,0.00081,0.00021,3.72912,4.91552,2.32812,0.0099175,0.0099175,0.0099175
12,195.056,3.43652,4.13608,2.48987,0.00114,0.14894,0.00082,0.00017,3.76498,4.49696,2.44165,0.00990925,0.00990925,0.00990925
13,206.248,3.4407,4.12845,2.50605,0.00168,0.24468,0.00117,0.00027,3.54292,4.25074,2.21495,0.009901,0.009901,0.009901
14,222.428,3.4097,4.09998,2.49321,0.00179,0.26809,0.00145,0.00035,3.48505,4.43822,2.32028,0.00989275,0.00989275,0.00989275
15,236.05,3.40228,4.10888,2.45325,0.00191,0.29149,0.00159,0.00035,3.45576,4.31196,2.31779,0.0098845,0.0098845,0.0098845
16,248.757,3.36173,4.10094,2.44493,0.00144,0.06383,0.00094,0.00027,4.05433,4.84452,2.5148,0.00987625,0.00987625,0.00987625
17,260.038,3.33296,4.06267,2.42878,0.00261,0.28723,0.00284,0.00069,3.3575,4.16256,2.20528,0.009868,0.009868,0.009868
18,272.486,3.30392,4.0356,2.45319,0.00206,0.1,0.00141,0.0003,3.67097,4.72053,2.24141,0.00985975,0.00985975,0.00985975
19,289.714,3.33766,4.065,2.43995,0.00174,0.26596,0.00254,0.00053,3.56423,4.32413,2.33141,0.0098515,0.0098515,0.0098515
20,302.126,3.27195,4.04053,2.44942,0.00066,0.06596,0.00041,0.0001,3.75919,4.98549,2.39328,0.00984325,0.00984325,0.00984325
21,313.335,3.26294,4.03331,2.39902,0.00163,0.24894,0.00292,0.00067,3.55904,4.71333,2.28316,0.009835,0.009835,0.009835
22,326.072,3.25121,4.03549,2.4051,0.01526,0.09787,0.0047,0.00102,3.42838,4.21219,2.29468,0.00982675,0.00982675,0.00982675
23,340.237,3.21534,3.95779,2.37532,0.05144,0.03404,0.01133,0.00221,3.19112,4.13616,2.20474,0.0098185,0.0098185,0.0098185
24,354.926,3.20508,3.94736,2.39166,0.00088,0.12553,0.00109,0.00037,3.53597,4.96873,2.36985,0.00981025,0.00981025,0.00981025
25,368.05,3.16947,3.91074,2.37082,0.11705,0.02979,0.01692,0.0033,3.19345,4.05573,2.20451,0.009802,0.009802,0.009802
26,379.512,3.17925,3.85872,2.38919,0.08393,0.01702,0.01764,0.00378,3.10986,3.86216,2.20723,0.00979375,0.00979375,0.00979375
27,391.718,3.1268,3.86192,2.36128,0.06841,0.04043,0.01401,0.00326,3.15861,3.98422,2.19229,0.0097855,0.0097855,0.0097855
28,408.746,3.12171,3.84583,2.37599,0.10161,0.05532,0.02814,0.00656,3.11008,3.97501,2.20887,0.00977725,0.00977725,0.00977725
29,422.156,3.10443,3.81152,2.36568,0.06457,0.02766,0.01442,0.00359,3.13887,3.93104,2.17918,0.009769,0.009769,0.009769
