epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.289,5.81379,10.2094,4.29534,0,0,0,0,6.30129,11.8784,4.15738,0.00327778,0.00327778,0.00327778
2,24.7806,5.78629,6.93019,4.16981,0,0,0,0,6.21814,6.64027,3.93951,0.00660566,0.00660566,0.00660566
3,36.4196,4.8999,4.6715,3.26187,0.00029,0.0234,0.00015,4e-05,4.38989,4.91815,5.21444,0.00992804,0.00992804,0.00992804
4,47.8552,4.23392,4.36658,2.79477,0.00068,0.1,0.00038,9e-05,4.00067,4.87058,3,0.00997525,0.00997525,0.00997525
5,59.5342,4.01629,4.31326,2.7542,0.00102,0.14894,0.00084,0.00015,3.92804,4.62778,2.76266,0.009967,0.009967,0.009967
6,70.9926,3.90937,4.26343,2.68974,0.00064,0.06383,0.00035,0.0001,3.82556,5.51181,3.86157,0.00995875,0.00995875,0.00995875
7,82.3218,3.84208,4.22358,2.69447,0.00147,0.21277,0.00103,0.00025,3.73732,4.36936,2.48549,0.0099505,0.0099505,0.0099505
8,93.8889,3.84042,4.22123,2.70328,0.00144,0.21277,0.0013,0.00028,3.83237,4.30341,2.49836,0.00994225,0.00994225,0.00994225
9,105.383,3.8545,4.18846,2.66904,0.00176,0.25745,0.00227,0.00053,3.6865,4.13654,2.40949,0.009934,0.009934,0.009934
10,117.03,3.79254,4.22535,2.63202,0.00161,0.23617,0.00117,0.00027,3.75024,4.21372,2.49861,0.00992575,0.00992575,0.00992575
11,127.981,3.76917,4.19443,2.63743,0.00082,0.00426,0.00041,8e-05,4.23485,4.50844,2.81633,0.0099175,0.0099175,0.0099175
12,139.307,3.7467,4.21019,2.61557,0.0015,0.22766,0.00095,0.0002,3.75018,4.56129,2.42279,0.00990925,0.00990925,0.00990925
13,150.507,3.71739,4.19519,2.59549,0.00191,0.2766,0.00309,0.00065,3.69261,4.26872,2.36481,0.009901,0.009901,0.009901
14,161.487,3.62507,4.21444,2.54609,0.00169,0.25319,0.00135,0.00028,3.68905,4.306,2.33588,0.00989275,0.00989275,0.00989275
15,172.544,3.61537,4.2282,2.52733,0.00159,0.2383,0.00192,0.00041,3.75332,4.41034,2.47299,0.0098845,0.0098845,0.0098845
16,183.722,3.5863,4.20131,2.50102,0.00178,0.25106,0.0034,0.00069,3.62555,4.29543,2.34182,0.00987625,0.00987625,0.00987625
17,195.4,3.51819,4.17515,2.48792,0.00145,0.21489,0.0019,0.00041,3.63525,4.2834,2.35259,0.009868,0.009868,0.009868
18,206.446,3.48131,4.16957,2.46385,0.00183,0.27872,0.00328,0.00078,3.54339,4.32745,2.34248,0.00985975,0.00985975,0.00985975
19,217.794,3.45064,4.18771,2.4174,0.00216,0.32766,0.00532,0.00113,3.51392,4.18209,2.3068,0.0098515,0.0098515,0.0098515
20,229.368,3.40172,4.17567,2.41344,0.00207,0.31277,0.00415,0.00089,3.46376,4.32466,2.28589,0.00984325,0.00984325,0.00984325
21,240.606,3.35865,4.16824,2.36958,0.00232,0.32553,0.0041,0.00093,3.453,4.22964,2.2846,0.009835,0.009835,0.009835
22,251.603,3.35672,4.17409,2.34032,0.00234,0.35106,0.00736,0.00168,3.39598,4.13641,2.2789,0.00982675,0.00982675,0.00982675
23,263.179,3.31395,4.11184,2.32275,0.00249,0.27234,0.0055,0.00143,3.50226,4.2476,2.33853,0.0098185,0.0098185,0.0098185
24,274.298,3.36022,4.1277,2.36455,0.00221,0.3234,0.01048,0.00264,3.40379,4.18792,2.26172,0.00981025,0.00981025,0.00981025
25,286.056,3.27814,4.08795,2.30885,0.00235,0.35319,0.00639,0.00138,3.38449,4.22321,2.22373,0.009802,0.009802,0.009802
26,297.203,3.30233,4.02792,2.30643,0.00247,0.37447,0.01087,0.0034,3.36803,4.10104,2.22315,0.00979375,0.00979375,0.00979375
27,308.296,3.29025,4.02949,2.29648,0.02993,0.04255,0.00525,0.00124,3.43459,4.33899,2.25107,0.0097855,0.0097855,0.0097855
28,318.676,3.25726,4.01668,2.30187,0.06489,0.03617,0.00978,0.00189,3.43623,3.94251,2.24267,0.00977725,0.00977725,0.00977725
29,329.734,3.27904,4.03238,2.2954,0.06648,0.0766,0.01923,0.00475,3.31551,3.88831,2.20357,0.009769,0.009769,0.009769
30,341.068,3.25083,3.96755,2.30292,0.00884,0.24255,0.01517,0.00406,3.31911,3.91769,2.21953,0.00976075,0.00976075,0.00976075
31,352.061,3.23797,3.95937,2.26187,0.03191,0.08298,0.01095,0.00229,3.33868,4.08653,2.22599,0.0097525,0.0097525,0.0097525
32,362.916,3.2021,3.89203,2.27339,0.05102,0.03404,0.01053,0.00241,3.33326,4.05238,2.21606,0.00974425,0.00974425,0.00974425
33,374.007,3.25994,3.92059,2.25943,0.14711,0.06383,0.03089,0.00902,3.36606,3.84391,2.25652,0.009736,0.009736,0.009736
34,385.454,3.18673,3.9408,2.25817,0.11602,0.06383,0.02183,0.00513,3.32118,3.81484,2.24017,0.00972775,0.00972775,0.00972775
35,396.448,3.18181,3.88048,2.26332,0.05431,0.05745,0.01285,0.00245,3.35795,3.93538,2.20616,0.0097195,0.0097195,0.0097195
36,406.593,3.1825,3.89537,2.26891,0.07753,0.06383,0.02,0.00483,3.34877,3.89245,2.20595,0.00971125,0.00971125,0.00971125
37,417.739,3.19784,3.87337,2.23913,0.08868,0.0383,0.01492,0.0044,3.37103,3.92206,2.20612,0.009703,0.009703,0.009703
38,428.966,3.17638,3.82858,2.23027,0.07116,0.02128,0.01493,0.00413,3.40613,3.86943,2.23198,0.00969475,0.00969475,0.00969475
39,440.156,3.18524,3.80315,2.23774,0.10133,0.01915,0.01004,0.00229,3.4499,3.92079,2.2684,0.0096865,0.0096865,0.0096865
40,451.361,3.18579,3.81895,2.2374,0.08197,0.06383,0.01903,0.00395,3.36171,3.87614,2.2246,0.00967825,0.00967825,0.00967825
41,462.577,3.16499,3.76593,2.23643,0.12524,0.0766,0.03393,0.00814,3.32707,3.72001,2.2337,0.00967,0.00967,0.00967
42,473.607,3.18375,3.78537,2.22992,0.11366,0.0617,0.02369,0.00685,3.34228,3.83924,2.20453,0.00966175,0.00966175,0.00966175
43,484.437,3.12037,3.69436,2.19581,0.11489,0.06809,0.03719,0.00825,3.28984,3.67055,2.1878,0.0096535,0.0096535,0.0096535
44,495.591,3.14272,3.6908,2.19735,0.11956,0.07234,0.02581,0.00618,3.32874,3.80171,2.18695,0.00964525,0.00964525,0.00964525
45,506.754,3.09529,3.71547,2.19723,0.09951,0.06596,0.02709,0.00774,3.26948,3.77549,2.21133,0.009637,0.009637,0.009637
46,517.872,3.09656,3.70358,2.20689,0.11636,0.08723,0.02963,0.00652,3.2596,3.70113,2.20869,0.00962875,0.00962875,0.00962875
47,528.955,3.08608,3.64745,2.19133,0.15018,0.07447,0.04199,0.00915,3.28372,3.72818,2.15741,0.0096205,0.0096205,0.0096205
48,540.48,3.10127,3.70382,2.17183,0.13903,0.0766,0.04111,0.00854,3.27966,3.66703,2.20395,0.00961225,0.00961225,0.00961225
49,551.532,3.10322,3.67311,2.21728,0.14477,0.07234,0.03132,0.00721,3.23416,3.8183,2.17359,0.009604,0.009604,0.009604
50,562.645,3.05407,3.62236,2.16771,0.15067,0.08723,0.04769,0.00978,3.24276,3.60405,2.13906,0.00959575,0.00959575,0.00959575
51,574.079,3.0895,3.61161,2.18472,0.18275,0.06596,0.0381,0.00917,3.36538,3.69955,2.22899,0.0095875,0.0095875,0.0095875
52,584.929,3.08736,3.6223,2.15281,0.1422,0.08511,0.04938,0.01207,3.24348,3.54465,2.13437,0.00957925,0.00957925,0.00957925
53,596.609,3.05533,3.62181,2.17121,0.15581,0.1234,0.04721,0.01212,3.19911,3.55942,2.18388,0.009571,0.009571,0.009571
54,607.743,3.04895,3.59901,2.17668,0.17393,0.1,0.05219,0.01373,3.15195,3.49357,2.14047,0.00956275,0.00956275,0.00956275
