epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5032,5.81475,14.519,4.34963,0,0,0,0,6.31156,13.0451,4.19833,0.00327778,0.00327778,0.00327778
2,24.939,5.8283,8.08304,4.29828,1e-05,0.00213,1e-05,0,6.29698,8.38497,4.17256,0.00660566,0.00660566,0.00660566
3,36.8392,5.64186,5.31682,3.95699,0.00028,0.00638,0.00015,3e-05,5.17553,5.32307,4.94758,0.00992804,0.00992804,0.00992804
4,50.9837,4.48203,4.49096,3.04717,0.0006,0.00426,0.00031,0.00015,4.48252,4.82399,2.62902,0.00997525,0.00997525,0.00997525
5,65.9284,4.0874,4.41819,2.79618,0.00081,0.00213,0.00041,0.00012,4.44991,4.74467,2.75044,0.009967,0.009967,0.009967
6,80.2869,3.85853,4.44374,2.71821,0.00081,0.00213,0.00041,0.00012,4.95768,5.55507,3.49969,0.00995875,0.00995875,0.00995875
7,95.1272,3.84717,4.39172,2.75551,0.00116,0.02553,0.00063,0.00015,3.88712,4.70454,2.51228,0.0099505,0.0099505,0.0099505
8,109.879,3.86004,4.41191,2.73615,0.00207,0.00213,0.00106,0.00032,4.04311,5.40409,3.25064,0.00994225,0.00994225,0.00994225
9,121.674,3.90836,4.36499,2.74493,0.00207,0.00213,0.00106,0.00032,4.18692,6.51916,3.73461,0.009934,0.009934,0.009934
10,133.216,3.84298,4.38721,2.71582,0.01042,0.00213,0.00531,0.00053,4.12957,6.4749,3.30786,0.00992575,0.00992575,0.00992575
11,145.655,3.78284,4.38146,2.66968,0.00719,0.00638,0.00458,0.0014,4.06508,4.8712,3.14327,0.0099175,0.0099175,0.0099175
12,163.052,3.7689,4.36046,2.64687,0.00138,0.10851,0.00086,0.00022,3.87173,4.65432,2.50475,0.00990925,0.00990925,0.00990925
13,178.059,3.73575,4.37516,2.64212,0.00113,0.08723,0.00067,0.00019,3.77142,4.5518,2.44059,0.009901,0.009901,0.009901
14,193.019,3.67587,4.34595,2.64108,0.00138,0.14894,0.00092,0.00023,3.71741,4.61094,2.41682,0.00989275,0.00989275,0.00989275
15,206.411,3.66438,4.38036,2.57628,0.00193,0.11277,0.00121,0.00027,3.8887,4.54322,2.63194,0.0098845,0.0098845,0.0098845
16,218.234,3.61975,4.38251,2.5582,0.00157,0.21702,0.00147,0.00037,3.62968,4.57335,2.37868,0.00987625,0.00987625,0.00987625
17,229.881,3.57401,4.3674,2.57555,0.00164,0.22979,0.00156,0.00037,3.58728,4.42852,2.37707,0.009868,0.009868,0.009868
18,242.42,3.56871,4.34159,2.55037,0.00208,0.1617,0.00186,0.00039,3.60997,4.41527,2.42441,0.00985975,0.00985975,0.00985975
19,256.535,3.53103,4.39329,2.53957,0.0019,0.15319,0.00141,0.00036,3.74866,4.49743,2.54007,0.0098515,0.0098515,0.0098515
20,271.449,3.48675,4.35107,2.52757,0.00135,0.1766,0.00161,0.00039,3.65192,4.43247,2.37248,0.00984325,0.00984325,0.00984325
21,286.371,3.46597,4.37147,2.51337,0.00161,0.2,0.00207,0.00052,3.60365,4.41813,2.37149,0.009835,0.009835,0.009835
22,298.99,3.44307,4.37558,2.49869,0.00186,0.2617,0.00238,0.00061,3.47576,4.51455,2.37348,0.00982675,0.00982675,0.00982675
23,310.635,3.39297,4.31057,2.48242,0.00207,0.27447,0.00207,0.00049,3.46198,4.47874,2.41278,0.0098185,0.0098185,0.0098185
24,322.264,3.38977,4.33088,2.4837,0.00195,0.28936,0.00214,0.00054,3.43537,4.4932,2.35711,0.00981025,0.00981025,0.00981025
25,336.265,3.3336,4.30187,2.4623,0.00206,0.26383,0.00245,0.00061,3.47966,4.42395,2.39899,0.009802,0.009802,0.009802
26,350.697,3.34515,4.2955,2.43486,0.00208,0.30213,0.00236,0.00051,3.42355,4.50015,2.38899,0.00979375,0.00979375,0.00979375
27,365.893,3.31509,4.26225,2.44997,0.00218,0.29787,0.00537,0.00085,3.44845,4.31357,2.39136,0.0097855,0.0097855,0.0097855
28,380.535,3.28516,4.28329,2.4644,0.00217,0.30426,0.00288,0.00065,3.41974,4.47113,2.48379,0.00977725,0.00977725,0.00977725
29,392.133,3.28882,4.28522,2.45064,0.00215,0.31915,0.00394,0.00095,3.33544,4.45256,2.35518,0.009769,0.009769,0.009769
30,405.52,3.28341,4.23191,2.42035,0.0022,0.32979,0.00311,0.00073,3.42028,4.30821,2.32278,0.00976075,0.00976075,0.00976075
31,418.228,3.29205,4.2328,2.38144,0.00215,0.31489,0.00762,0.00131,3.44951,4.31245,2.34884,0.0097525,0.0097525,0.0097525
32,432.056,3.23966,4.1854,2.39864,0.00217,0.3234,0.0032,0.00077,3.35132,4.26207,2.37799,0.00974425,0.00974425,0.00974425
33,444.236,3.23262,4.17756,2.37141,0.00231,0.34255,0.00478,0.00105,3.37058,4.24133,2.40189,0.009736,0.009736,0.009736
34,455.825,3.20819,4.19652,2.38516,0.00222,0.33191,0.00811,0.00182,3.33866,4.25592,2.32171,0.00972775,0.00972775,0.00972775
35,468.143,3.18446,4.14496,2.35681,0.00211,0.32128,0.00903,0.0014,3.32722,4.2781,2.31174,0.0097195,0.0097195,0.0097195
36,482.335,3.22051,4.14901,2.36063,0.00211,0.31277,0.00394,0.00107,3.37045,4.19734,2.3117,0.00971125,0.00971125,0.00971125
37,495.553,3.19774,4.16398,2.35461,0.00233,0.35106,0.00453,0.00107,3.29772,4.34187,2.41759,0.009703,0.009703,0.009703
38,507.331,3.16265,4.09008,2.36269,0.00214,0.29574,0.00463,0.00135,3.3842,4.35213,2.33815,0.00969475,0.00969475,0.00969475
39,518.884,3.15423,4.10114,2.34281,0.00249,0.3617,0.00763,0.00171,3.27528,4.16034,2.28757,0.0096865,0.0096865,0.0096865
40,532.469,3.1659,4.09126,2.35587,0.00323,0.18936,0.00843,0.00187,3.39469,4.51588,2.3941,0.00967825,0.00967825,0.00967825
41,547.955,3.16074,4.06439,2.33641,0.0026,0.3766,0.00632,0.00131,3.32217,4.12801,2.35836,0.00967,0.00967,0.00967
42,559.976,3.15432,4.04503,2.33723,0.01077,0.18723,0.00964,0.00229,3.28281,4.06983,2.31904,0.00966175,0.00966175,0.00966175
43,571.954,3.13628,3.98938,2.31068,0.00325,0.35957,0.01113,0.0021,3.29494,4.09497,2.36245,0.0096535,0.0096535,0.0096535
44,583.648,3.10185,3.96008,2.31262,0.00296,0.39362,0.01728,0.00356,3.23706,4.12228,2.37872,0.00964525,0.00964525,0.00964525
45,599.004,3.07899,3.95638,2.3108,0.01039,0.18723,0.01188,0.00282,3.22729,4.15764,2.3507,0.009637,0.009637,0.009637
46,613.911,3.0834,3.9402,2.30592,0.03063,0.14681,0.01985,0.00423,3.17965,4.02166,2.31787,0.00962875,0.00962875,0.00962875
47,628.42,3.01826,3.88918,2.29813,0.05702,0.0952,0.01981,0.00541,3.18622,3.95274,2.35552,0.0096205,0.0096205,0.0096205
48,640.614,3.04709,3.90663,2.3,0.09031,0.06809,0.01779,0.0041,3.18492,3.92184,2.29887,0.00961225,0.00961225,0.00961225
49,652.134,3.05024,3.87987,2.29953,0.08991,0.08511,0.02382,0.00626,3.18452,3.86056,2.2793,0.009604,0.009604,0.009604
50,665.528,3.00891,3.83973,2.27204,0.06703,0.09362,0.01981,0.00546,3.21488,3.96823,2.32072,0.00959575,0.00959575,0.00959575
51,680.18,3.01128,3.77764,2.27227,0.1041,0.09149,0.02758,0.00612,3.22334,3.88249,2.33817,0.0095875,0.0095875,0.0095875
52,694.805,3.00684,3.83225,2.28028,0.15616,0.06596,0.03026,0.0074,3.14023,3.81512,2.348,0.00957925,0.00957925,0.00957925
53,708.95,3.00589,3.80191,2.27189,0.10759,0.04255,0.02365,0.00659,3.15625,3.95495,2.35401,0.009571,0.009571,0.009571
54,720.352,2.98992,3.79141,2.28454,0.1893,0.04894,0.02672,0.00636,3.16744,3.90397,2.26885,0.00956275,0.00956275,0.00956275
55,732.074,2.95595,3.73717,2.25273,0.19052,0.08723,0.04476,0.01157,3.06816,3.74408,2.294,0.0095545,0.0095545,0.0095545
56,745.267,2.949,3.66181,2.24371,0.08468,0.07447,0.02319,0.00643,3.06463,3.77512,2.30559,0.00954625,0.00954625,0.00954625
57,759.968,2.91856,3.68655,2.25618,0.13161,0.11489,0.03753,0.00893,3.09572,3.84695,2.31734,0.009538,0.009538,0.009538
58,774.536,2.93605,3.6585,2.25247,0.15637,0.08085,0.03686,0.0084,3.09172,3.70928,2.28706,0.00952975,0.00952975,0.00952975
59,788.976,2.89557,3.63077,2.22657,0.16195,0.05532,0.03445,0.00814,3.1076,3.9696,2.29797,0.0095215,0.0095215,0.0095215
60,801.446,2.91717,3.68105,2.22425,0.11504,0.09149,0.03657,0.01079,2.98954,3.79474,2.30107,0.00951325,0.00951325,0.00951325
61,812.988,2.92425,3.63388,2.22441,0.11007,0.07234,0.0244,0.00549,3.1734,3.96501,2.34336,0.009505,0.009505,0.009505
62,824.235,2.89846,3.60479,2.23238,0.12455,0.06383,0.02981,0.00826,3.13362,3.84222,2.2414,0.00949675,0.00949675,0.00949675
63,837.335,2.87245,3.63163,2.22166,0.1346,0.10638,0.04721,0.01146,3.00972,3.69192,2.27011,0.0094885,0.0094885,0.0094885
64,852.577,2.8654,3.59735,2.21182,0.16045,0.07872,0.04926,0.01497,3.00992,3.68575,2.24083,0.00948025,0.00948025,0.00948025
65,868.371,2.88534,3.57368,2.24309,0.17964,0.09574,0.05024,0.01531,3.03564,3.62079,2.28486,0.009472,0.009472,0.009472
66,882.537,2.86221,3.57926,2.22087,0.14865,0.07447,0.04517,0.01165,2.97629,3.6128,2.26004,0.00946375,0.00946375,0.00946375
67,894.089,2.83068,3.55612,2.20712,0.14926,0.10426,0.05605,0.0152,2.93141,3.54875,2.25704,0.0094555,0.0094555,0.0094555
68,906.229,2.85455,3.50573,2.21967,0.19684,0.08511,0.05483,0.01518,3.02065,3.65353,2.28536,0.00944725,0.00944725,0.00944725
69,919.299,2.85899,3.54029,2.22766,0.17115,0.05532,0.03,0.00842,3.13199,4.15646,2.27703,0.009439,0.009439,0.009439
70,933.363,2.81146,3.48183,2.20095,0.19576,0.09362,0.05905,0.0176,2.99313,3.53129,2.21969,0.00943075,0.00943075,0.00943075
71,948.922,2.82357,3.49454,2.19448,0.17654,0.09787,0.05253,0.01405,3.01771,3.53261,2.23821,0.0094225,0.0094225,0.0094225
72,963.784,2.84456,3.46729,2.22737,0.27271,0.10851,0.07855,0.02047,2.98397,3.50597,2.23464,0.00941425,0.00941425,0.00941425
73,976.049,2.77321,3.4206,2.1791,0.19653,0.09149,0.05237,0.01433,3.16271,4.12231,2.40851,0.009406,0.009406,0.009406
74,987.598,2.78082,3.45126,2.17575,0.25335,0.10213,0.06342,0.01903,2.98175,3.6605,2.2648,0.00939775,0.00939775,0.00939775
75,999.517,2.83905,3.44813,2.20457,0.15837,0.03191,0.0229,0.00907,3.25122,4.52777,2.31625,0.0093895,0.0093895,0.0093895
76,1013.58,2.79199,3.45998,2.18778,0.21728,0.09787,0.06709,0.02004,2.87653,3.50251,2.21047,0.00938125,0.00938125,0.00938125
77,1025.61,2.79864,3.43645,2.18925,0.19718,0.09787,0.06748,0.0208,2.89078,3.48537,2.21425,0.009373,0.009373,0.009373
78,1037.11,2.77552,3.42698,2.17939,0.18611,0.07447,0.05072,0.01537,2.99683,3.61091,2.21884,0.00936475,0.00936475,0.00936475
79,1048.79,2.79816,3.43186,2.18796,0.25307,0.09787,0.06755,0.01939,2.87836,3.4654,2.23528,0.0093565,0.0093565,0.0093565
80,1063.01,2.76023,3.39831,2.19967,0.1793,0.10638,0.06635,0.02487,2.8964,3.5737,2.23227,0.00934825,0.00934825,0.00934825
81,1077.98,2.7592,3.38958,2.17592,0.22168,0.09362,0.06699,0.02126,2.97,3.57926,2.21527,0.00934,0.00934,0.00934
82,1089.56,2.75109,3.40024,2.16769,0.17317,0.11489,0.06104,0.01851,2.89811,3.45563,2.21634,0.00933175,0.00933175,0.00933175
83,1100.99,2.78989,3.36311,2.18411,0.21399,0.11489,0.07717,0.02525,2.8587,3.45996,2.2219,0.0093235,0.0093235,0.0093235
84,1113.64,2.77625,3.35038,2.1735,0.2069,0.14043,0.08505,0.02661,2.87658,3.45394,2.2124,0.00931525,0.00931525,0.00931525
85,1128.87,2.73007,3.33085,2.15344,0.25431,0.1,0.08076,0.02985,2.94455,3.55374,2.23743,0.009307,0.009307,0.009307
86,1143.53,2.76214,3.32986,2.1521,0.21905,0.12533,0.08487,0.02687,2.82854,3.37023,2.20675,0.00929875,0.00929875,0.00929875
87,1156.02,2.712,3.32822,2.1427,0.23552,0.11064,0.0853,0.02822,2.83825,3.40305,2.19174,0.0092905,0.0092905,0.0092905
88,1167.67,2.72119,3.35359,2.1496,0.21666,0.10213,0.06437,0.01931,2.93333,3.59845,2.23604,0.00928225,0.00928225,0.00928225
89,1179.29,2.71372,3.32736,2.15816,0.17582,0.11064,0.07951,0.02531,2.82789,3.39139,2.19064,0.009274,0.009274,0.009274
90,1192.69,2.73285,3.33708,2.14671,0.15056,0.1,0.05771,0.017,2.95658,3.6064,2.22805,0.00926575,0.00926575,0.00926575
91,1206.87,2.7374,3.33332,2.16084,0.30031,0.09574,0.07221,0.02347,2.93661,3.66574,2.26253,0.0092575,0.0092575,0.0092575
92,1221.12,2.72445,3.29666,2.13617,0.21665,0.13404,0.07755,0.02414,2.9135,3.4021,2.23233,0.00924925,0.00924925,0.00924925
93,1233.89,2.7219,3.28334,2.14037,0.23414,0.11384,0.07515,0.02301,2.82834,3.40312,2.18341,0.009241,0.009241,0.009241
94,1245.69,2.70425,3.26441,2.1428,0.21382,0.12128,0.08743,0.02877,2.84435,3.38654,2.21297,0.00923275,0.00923275,0.00923275
95,1257.4,2.70829,3.30503,2.142,0.26694,0.13617,0.07911,0.02432,2.88179,3.3858,2.2069,0.0092245,0.0092245,0.0092245
96,1271.92,2.69347,3.2599,2.13917,0.25699,0.13404,0.09808,0.0308,2.77745,3.37197,2.18366,0.00921625,0.00921625,0.00921625
97,1287.26,2.66677,3.27774,2.10432,0.25429,0.15164,0.09204,0.0261,2.81077,3.3838,2.1975,0.009208,0.009208,0.009208
98,1302.38,2.67141,3.258,2.11879,0.26301,0.13191,0.0986,0.03182,2.78669,3.31632,2.17509,0.00919975,0.00919975,0.00919975
99,1317.2,2.67655,3.2979,2.11975,0.1962,0.11915,0.07643,0.02293,2.75379,3.33039,2.17412,0.0091915,0.0091915,0.0091915
100,1329.21,2.65798,3.24667,2.13696,0.24797,0.11064,0.0862,0.03037,2.89764,3.42083,2.21687,0.00918325,0.00918325,0.00918325
101,1340.95,2.70507,3.2251,2.13035,0.26142,0.14681,0.0965,0.03116,2.78354,3.30053,2.1965,0.009175,0.009175,0.009175
102,1354.9,2.67674,3.25496,2.11883,0.24316,0.13404,0.0956,0.02847,2.79659,3.22867,2.16811,0.00916675,0.00916675,0.00916675
103,1370.25,2.64694,3.21806,2.11726,0.2773,0.14681,0.11192,0.03666,2.75589,3.22353,2.1807,0.0091585,0.0091585,0.0091585
104,1385.95,2.64262,3.19007,2.10774,0.25003,0.11702,0.09247,0.02846,2.83929,3.39286,2.2086,0.00915025,0.00915025,0.00915025
105,1399.59,2.66438,3.25346,2.12985,0.27169,0.14894,0.09974,0.03028,2.76475,3.25416,2.19109,0.009142,0.009142,0.009142
106,1411.37,2.67268,3.26518,2.14156,0.26681,0.11915,0.09707,0.0311,2.75432,3.30293,2.18078,0.00913375,0.00913375,0.00913375
107,1423.09,2.62085,3.19735,2.09388,0.25852,0.1383,0.09797,0.03693,2.70872,3.27141,2.15945,0.0091255,0.0091255,0.0091255
108,1435.82,2.64876,3.22909,2.11587,0.22631,0.12553,0.08247,0.02594,2.79843,3.34079,2.17305,0.00911725,0.00911725,0.00911725
109,1450.4,2.62121,3.22058,2.10552,0.25532,0.1459,0.0987,0.03393,2.69586,3.24384,2.15987,0.009109,0.009109,0.009109
110,1464.92,2.61364,3.23105,2.11155,0.20678,0.07447,0.0591,0.01808,3.09781,3.61591,2.30707,0.00910075,0.00910075,0.00910075
111,1479.61,2.67251,3.2236,2.115,0.25421,0.14468,0.11881,0.03655,2.74314,3.23631,2.18522,0.0090925,0.0090925,0.0090925
112,1491.69,2.59299,3.20329,2.07951,0.25414,0.14572,0.10579,0.03443,2.71111,3.23546,2.15329,0.00908425,0.00908425,0.00908425
113,1503.15,2.61389,3.20102,2.09758,0.25978,0.16278,0.11857,0.04092,2.72573,3.24369,2.16493,0.009076,0.009076,0.009076
