epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6559,5.83602,9.33687,4.21441,1e-05,0.00213,1e-05,0,6.30006,11.7366,4.1597,0.00327778,0.00327778,0.00327778
2,25.9027,5.83724,7.29377,4.14837,1e-05,0.00213,1e-05,0,6.277,7.65997,4.09765,0.00660566,0.00660566,0.00660566
3,36.1506,5.27639,5.03162,3.55597,0.00031,0.04255,0.00019,4e-05,4.74989,5.22167,2.78828,0.00992804,0.00992804,0.00992804
4,47.6588,4.3295,4.40443,2.81223,0.00026,0.00638,0.00013,4e-05,4.63422,4.99478,2.92782,0.00997525,0.00997525,0.00997525
5,58.1434,4.10994,4.3689,2.69019,0.00109,0.13191,0.00063,0.00014,3.9794,4.48679,2.64481,0.009967,0.009967,0.009967
6,68.6814,3.85431,4.37007,2.60741,0.00071,0.08511,0.00043,0.0001,4.61553,5.90958,2.78874,0.00995875,0.00995875,0.00995875
7,82.4431,3.65685,4.30951,2.52692,0.00059,0.01489,0.00031,0.0001,4.32634,4.6482,2.2379,0.0099505,0.0099505,0.0099505
8,93.155,3.57091,4.29257,2.50883,0.00014,0.01064,8e-05,1e-05,3.9887,4.62527,2.13771,0.00994225,0.00994225,0.00994225
9,106.532,3.63229,4.24426,2.54206,0.00142,0.20851,0.00129,0.00032,3.52319,4.42346,2.39052,0.009934,0.009934,0.009934
10,116.771,3.60112,4.24503,2.52058,0.00085,0.12979,0.0005,0.00012,3.5832,4.41559,2.28216,0.00992575,0.00992575,0.00992575
11,126.744,3.6291,4.22182,2.5324,0.00143,0.21702,0.00094,0.00022,3.65027,4.28187,2.30541,0.0099175,0.0099175,0.0099175
12,136.724,3.55098,4.22348,2.51033,0.00107,0.1617,0.00066,0.00015,3.6261,4.45284,2.4256,0.00990925,0.00990925,0.00990925
13,149.812,3.52047,4.19993,2.51687,0.00161,0.24043,0.00122,0.0003,3.5043,4.40345,2.27647,0.009901,0.009901,0.009901
14,160.334,3.52185,4.19267,2.54052,0.00191,0.21915,0.00158,0.0004,3.57782,4.19045,2.35194,0.00989275,0.00989275,0.00989275
15,170.64,3.52471,4.21036,2.50899,0.00155,0.23191,0.00122,0.00028,3.60652,4.35315,2.40116,0.0098845,0.0098845,0.0098845
16,180.535,3.47522,4.23483,2.51517,0.00196,0.2383,0.00189,0.00049,3.71273,4.33609,2.41461,0.00987625,0.00987625,0.00987625
17,193.215,3.44346,4.22428,2.46152,0.0016,0.24468,0.00631,0.0023,3.45624,4.2457,2.2861,0.009868,0.009868,0.009868
18,207.999,3.4209,4.16636,2.49861,0.00172,0.25957,0.00168,0.0004,3.59762,4.35964,2.31321,0.00985975,0.00985975,0.00985975
19,222.904,3.38494,4.18869,2.44719,0.00205,0.30638,0.00302,0.00064,3.49807,4.21002,2.33073,0.0098515,0.0098515,0.0098515
20,234.87,3.34604,4.14542,2.46727,0.00193,0.29149,0.00289,0.00064,3.43668,4.37634,2.32238,0.00984325,0.00984325,0.00984325
21,244.645,3.38928,4.15127,2.44261,0.00217,0.32979,0.00381,0.00074,3.48161,4.1555,2.30308,0.009835,0.009835,0.009835
22,254.649,3.31027,4.15072,2.40677,0.01005,0.02128,0.00364,0.00084,3.36878,4.25294,2.32425,0.00982675,0.00982675,0.00982675
23,266.812,3.27898,4.08198,2.40621,0.00508,0.28298,0.00594,0.00121,3.33443,4.08809,2.33736,0.0098185,0.0098185,0.0098185
24,281.127,3.30485,4.10587,2.44479,0.00247,0.37021,0.0036,0.00085,3.32978,4.21257,2.30076,0.00981025,0.00981025,0.00981025
25,291.291,3.26132,4.08303,2.37308,0.00261,0.39362,0.00748,0.00138,3.2917,4.1513,2.2338,0.009802,0.009802,0.009802
26,301.301,3.24099,4.04209,2.38873,0.00257,0.38511,0.00564,0.00117,3.33121,4.14866,2.25843,0.00979375,0.00979375,0.00979375
27,311.341,3.23193,4.02749,2.39928,0.02993,0.01277,0.00534,0.00121,3.32452,4.11732,2.28249,0.0097855,0.0097855,0.0097855
28,327.589,3.23019,4.05218,2.38608,0.04813,0.0383,0.01409,0.0036,3.22175,4.2776,2.25274,0.00977725,0.00977725,0.00977725
29,338.878,3.20404,4.03402,2.38199,0.05199,0.02979,0.00672,0.00178,3.28702,4.08056,2.31207,0.009769,0.009769,0.009769
30,348.935,3.19284,3.94971,2.36315,0.02103,0.14894,0.01677,0.00503,3.29086,4.04292,2.25938,0.00976075,0.00976075,0.00976075
31,359.171,3.19985,3.95001,2.35299,0.02121,0.15319,0.01382,0.00332,3.23134,4.01205,2.27546,0.0097525,0.0097525,0.0097525
32,372.215,3.15045,3.92428,2.34507,0.01303,0.18298,0.0089,0.00225,3.17331,3.99311,2.21173,0.00974425,0.00974425,0.00974425
33,385.99,3.14675,3.87833,2.34091,0.07393,0.05745,0.02422,0.00552,3.21073,4.81749,2.273,0.009736,0.009736,0.009736
34,396.196,3.13285,3.88332,2.36737,0.08261,0.03617,0.0151,0.00385,3.19082,3.91673,2.24105,0.00972775,0.00972775,0.00972775
35,406.194,3.08792,3.79952,2.32147,0.07664,0.04255,0.02211,0.00453,3.16562,3.84633,2.18069,0.0097195,0.0097195,0.0097195
36,417.723,3.09188,3.7909,2.33673,0.08136,0.04255,0.02,0.00402,3.23295,3.95089,2.28476,0.00971125,0.00971125,0.00971125
37,433.286,3.08556,3.81535,2.35026,0.04576,0.02128,0.00869,0.00159,3.31111,4.20275,2.26991,0.009703,0.009703,0.009703
38,443.133,3.04888,3.70377,2.31523,0.09233,0.05532,0.02062,0.00481,3.17309,3.99364,2.21973,0.00969475,0.00969475,0.00969475
39,453.024,3.04463,3.74144,2.32147,0.08109,0.04681,0.02275,0.00503,3.14603,3.87683,2.22392,0.0096865,0.0096865,0.0096865
40,462.926,3.0335,3.7109,2.31562,0.0934,0.09362,0.027,0.00579,3.11506,4.07488,2.18121,0.00967825,0.00967825,0.00967825
41,478.01,3.02229,3.68957,2.31168,0.07886,0.08085,0.0254,0.00625,3.08196,3.78469,2.19959,0.00967,0.00967,0.00967
42,490.345,3.01801,3.68272,2.28962,0.09825,0.0766,0.03051,0.00796,3.0666,3.7296,2.17324,0.00966175,0.00966175,0.00966175
43,500.684,2.96724,3.62482,2.2888,0.12863,0.05319,0.03216,0.0078,3.06377,3.69112,2.19506,0.0096535,0.0096535,0.0096535
44,510.872,2.99656,3.60258,2.28092,0.09897,0.04681,0.01874,0.00488,3.30243,3.9584,2.28823,0.00964525,0.00964525,0.00964525
45,523.819,2.95895,3.59208,2.28154,0.12977,0.03404,0.02755,0.00609,3.08052,3.77193,2.17891,0.009637,0.009637,0.009637
46,538.146,2.95255,3.6101,2.28593,0.10157,0.09362,0.02681,0.00602,3.06693,4.00293,2.1954,0.00962875,0.00962875,0.00962875
47,548.085,2.93326,3.57562,2.23435,0.14233,0.07234,0.0374,0.00785,3.0535,3.67513,2.18472,0.0096205,0.0096205,0.0096205
48,558.399,2.92628,3.56346,2.23427,0.12453,0.06596,0.03637,0.00949,3.03024,3.66991,2.17705,0.00961225,0.00961225,0.00961225
49,568.72,2.95807,3.60226,2.27172,0.13469,0.08511,0.03496,0.00753,2.98831,3.68217,2.18193,0.009604,0.009604,0.009604
50,583.543,2.89862,3.53777,2.24982,0.12366,0.08085,0.03979,0.00945,3.00476,3.62633,2.17403,0.00959575,0.00959575,0.00959575
51,595.649,2.89928,3.4877,2.24382,0.11866,0.08085,0.03955,0.00881,3.06906,3.62753,2.21204,0.0095875,0.0095875,0.0095875
52,605.715,2.89597,3.51082,2.20968,0.17722,0.08936,0.05684,0.0126,3.00027,3.63624,2.18582,0.00957925,0.00957925,0.00957925
53,615.984,2.89232,3.52029,2.24139,0.15428,0.10213,0.0488,0.01133,2.93163,3.65776,2.14991,0.009571,0.009571,0.009571
54,628.191,2.87823,3.50477,2.23165,0.14682,0.06596,0.03854,0.0095,2.93535,3.6048,2.12464,0.00956275,0.00956275,0.00956275
55,643.247,2.87249,3.46309,2.2144,0.15569,0.10213,0.05543,0.01381,2.92238,3.61493,2.16136,0.0095545,0.0095545,0.0095545
