epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9246,5.83964,10.032,4.22141,1e-05,0.00213,1e-05,0,6.30243,11.4595,4.16459,0.00327778,0.00327778,0.00327778
2,20.2733,5.77431,6.58029,4.11222,1e-05,0.00213,1e-05,0,6.27944,6.81927,4.09139,0.00660566,0.00660566,0.00660566
3,29.5758,5.29175,4.94368,3.55884,1e-05,0.00213,1e-05,0,5.24933,5.56021,6.25265,0.00992804,0.00992804,0.00992804
4,39.7284,4.43153,4.54373,2.98847,1e-05,0.00213,1e-05,0,4.74965,10.0178,6.88743,0.00997525,0.00997525,0.00997525
5,49.8805,4.09179,4.47847,2.67496,0.00049,0.05957,0.00027,6e-05,4.48189,5.03915,2.78103,0.009967,0.009967,0.009967
6,58.9776,3.93864,4.4851,2.51113,0.00037,0.00638,0.00019,4e-05,4.10255,4.9618,2.43311,0.00995875,0.00995875,0.00995875
7,67.8272,3.91548,4.47869,2.52238,0.00018,0.00213,9e-05,3e-05,4.22505,4.85758,2.21761,0.0099505,0.0099505,0.0099505
8,76.5508,3.82196,4.48855,2.4982,0.0007,0.00426,0.00036,5e-05,4.36914,5.20401,2.84427,0.00994225,0.00994225,0.00994225
9,86.8152,3.74227,4.42731,2.59096,0.00092,0.01915,0.00069,0.00012,4.08084,4.77172,2.31171,0.009934,0.009934,0.009934
10,95.9045,3.64866,4.41834,2.56681,0.001,0.07234,0.00064,0.00015,4.04598,4.64086,2.29664,0.00992575,0.00992575,0.00992575
11,104.82,3.63584,4.41226,2.58338,0.001,0.07234,0.00064,0.00015,3.9898,6.07926,2.24028,0.0099175,0.0099175,0.0099175
12,114.146,3.55913,4.38831,2.56442,0.00147,0.09574,0.001,0.00024,3.69395,4.55319,2.23984,0.00990925,0.00990925,0.00990925
13,123.921,3.54222,4.39661,2.5633,0.00175,0.23191,0.00182,0.00043,3.52131,4.3895,2.22655,0.009901,0.009901,0.009901
14,133.122,3.51642,4.3625,2.56962,0.0017,0.25319,0.00146,0.00033,3.51892,4.52446,2.2907,0.00989275,0.00989275,0.00989275
15,142.142,3.50166,4.35566,2.51881,0.00144,0.20426,0.00124,0.00029,3.60029,4.49593,2.41847,0.0098845,0.0098845,0.0098845
16,151.081,3.48535,4.37023,2.508,0.00167,0.25106,0.00127,0.00033,3.51416,4.46625,2.22661,0.00987625,0.00987625,0.00987625
17,160.907,3.454,4.36483,2.50141,0.0017,0.25532,0.00149,0.00036,3.5268,4.49885,2.24505,0.009868,0.009868,0.009868
18,169.841,3.42137,4.31156,2.49379,0.00159,0.23191,0.00138,0.00035,3.48665,4.44411,2.16469,0.00985975,0.00985975,0.00985975
19,178.853,3.4214,4.3512,2.46315,0.00175,0.26596,0.00149,0.00034,3.43739,4.45513,2.19906,0.0098515,0.0098515,0.0098515
20,187.988,3.34951,4.28842,2.46339,0.00192,0.28723,0.0018,0.00046,3.48484,4.40514,2.15399,0.00984325,0.00984325,0.00984325
21,197.129,3.36035,4.30127,2.43704,0.00174,0.26383,0.00141,0.00035,3.43569,4.45442,2.15234,0.009835,0.009835,0.009835
