epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9267,5.83923,12.9877,4.30584,0,0,0,0,6.30475,12.1819,4.15804,0.00327778,0.00327778,0.00327778
2,26.2202,5.83602,7.27961,4.21302,1e-05,0.00213,1e-05,0,6.26622,7.00686,4.02565,0.00660566,0.00660566,0.00660566
3,38.3881,5.07408,4.81361,3.44755,0.00028,0.00638,0.00021,6e-05,4.21051,5.04377,3.10637,0.00992804,0.00992804,0.00992804
4,50.4098,4.1449,4.41724,2.77805,0.00074,0.04468,0.00042,9e-05,4.61646,4.83106,3.01304,0.00997525,0.00997525,0.00997525
5,63.2086,3.87425,4.36796,2.7116,0.00074,0.04468,0.00042,9e-05,4.0702,5.15909,2.46456,0.009967,0.009967,0.009967
6,75.1017,3.83648,4.35045,2.66657,0.0014,0.20638,0.00134,0.0003,3.69933,4.489,2.30079,0.00995875,0.00995875,0.00995875
7,87.2112,3.71678,4.3201,2.65053,0.00021,0.02979,0.00017,4e-05,3.70169,4.57492,2.45469,0.0099505,0.0099505,0.0099505
8,99.5697,3.7535,4.32377,2.62218,0.00143,0.15319,0.00106,0.00025,3.75144,4.42214,2.46406,0.00994225,0.00994225,0.00994225
9,111.882,3.7367,4.25709,2.61712,0.00174,0.2234,0.00343,0.00056,3.78847,4.32082,2.4859,0.009934,0.009934,0.009934
10,123.848,3.68433,4.27358,2.56371,0.0015,0.19787,0.00207,0.00049,3.67251,4.3912,2.37924,0.00992575,0.00992575,0.00992575
11,135.403,3.66285,4.23482,2.57658,0.00062,0.04894,0.00039,0.0001,4.04074,4.769,2.6649,0.0099175,0.0099175,0.0099175
12,147.896,3.67644,4.21214,2.57309,0.0005,0.02128,0.00048,0.00011,4.12431,5.0679,2.77433,0.00990925,0.00990925,0.00990925
13,159.495,3.61771,4.16135,2.52456,0.00112,0.14043,0.00124,0.00031,3.71111,4.56506,2.38845,0.009901,0.009901,0.009901
14,171.102,3.58095,4.20222,2.53352,0.00205,0.31064,0.00255,0.00066,3.62318,4.41336,2.31371,0.00989275,0.00989275,0.00989275
15,183.542,3.57882,4.20683,2.49512,0.00017,0.02553,0.0001,2e-05,4.34739,5.14211,2.80219,0.0098845,0.0098845,0.0098845
16,196.209,3.51879,4.19988,2.47508,0.00056,0.08511,0.00106,0.00033,3.91698,5.34532,2.44871,0.00987625,0.00987625,0.00987625
17,207.873,3.46068,4.15224,2.47542,0.00203,0.30638,0.003,0.00084,3.57837,4.13194,2.30806,0.009868,0.009868,0.009868
18,219.97,3.46875,4.15466,2.48107,0.00171,0.25957,0.00328,0.00071,3.57671,4.4089,2.40693,0.00985975,0.00985975,0.00985975
19,232.831,3.43596,4.17644,2.4363,0.00195,0.28936,0.00255,0.00063,3.59857,4.33331,2.40296,0.0098515,0.0098515,0.0098515
20,244.412,3.38256,4.14694,2.41357,0.00056,0.08511,0.0003,8e-05,3.62542,5.04031,2.45729,0.00984325,0.00984325,0.00984325
21,256.013,3.36146,4.1282,2.39695,0.00242,0.36383,0.00417,0.00109,3.34161,4.15579,2.25983,0.009835,0.009835,0.009835
22,268.249,3.36241,4.12739,2.39216,0.00206,0.31489,0.0079,0.00182,3.57521,5.24228,2.38597,0.00982675,0.00982675,0.00982675
23,281.997,3.30526,4.08789,2.33604,0.0021,0.31915,0.00557,0.00151,3.45118,4.30757,2.30853,0.0098185,0.0098185,0.0098185
24,293.645,3.35917,4.08792,2.37701,0.00284,0.4,0.00753,0.00156,3.32572,4.00225,2.17662,0.00981025,0.00981025,0.00981025
25,305.218,3.27098,4.02048,2.33835,0.00266,0.39574,0.00942,0.00196,3.37193,3.99477,2.30745,0.009802,0.009802,0.009802
26,318.231,3.28607,4.02644,2.3672,0.00061,0.09362,0.0012,0.00042,3.6909,6.29211,2.55707,0.00979375,0.00979375,0.00979375
27,330.453,3.20921,4.00274,2.37462,0.01139,0.10426,0.00784,0.00196,3.40002,6.77515,2.4762,0.0097855,0.0097855,0.0097855
28,342.168,3.19283,4.00352,2.39665,0.00075,0.11489,0.00542,0.00093,3.79176,7.81136,2.56633,0.00977725,0.00977725,0.00977725
29,353.63,3.18095,3.97705,2.38115,0.00235,0.33617,0.00364,0.00093,3.35336,4.78929,2.50749,0.009769,0.009769,0.009769
30,366.905,3.17005,3.90545,2.38709,0.005,0.38085,0.01615,0.0045,3.14506,4.15923,2.34422,0.00976075,0.00976075,0.00976075
31,378.94,3.1485,3.88357,2.3616,0.08242,0.06383,0.02332,0.00563,3.28564,4.07692,2.32301,0.0097525,0.0097525,0.0097525
32,390.945,3.10232,3.84379,2.33828,0.0683,0.00851,0.00733,0.0013,3.58842,6.74057,2.48071,0.00974425,0.00974425,0.00974425
33,403.133,3.12291,3.83105,2.35239,0.02719,0.09787,0.02821,0.00613,3.34869,7.32389,2.45566,0.009736,0.009736,0.009736
34,416.207,3.06225,3.79051,2.33541,0.11068,0.06596,0.02481,0.00606,3.11161,3.87842,2.3132,0.00972775,0.00972775,0.00972775
35,427.949,3.05247,3.72228,2.32824,0.11573,0.01702,0.01602,0.00443,3.1913,3.96126,2.33417,0.0097195,0.0097195,0.0097195
36,439.591,3.03882,3.73368,2.3363,0.08698,0.02553,0.01389,0.00341,3.33442,6.32059,2.33935,0.00971125,0.00971125,0.00971125
37,452.274,3.0546,3.70531,2.33423,0.05365,0.06809,0.01747,0.00421,3.25289,4.35285,2.38663,0.009703,0.009703,0.009703
38,463.798,3.04442,3.67076,2.32613,0.22349,0.05267,0.03524,0.00853,3.12952,3.87181,2.30749,0.00969475,0.00969475,0.00969475
39,475.957,3.00995,3.67092,2.31199,0.10411,0.09362,0.03231,0.00909,3.17444,4.18492,2.4263,0.0096865,0.0096865,0.0096865
40,488.917,3.02109,3.63196,2.3377,0.11281,0.11277,0.04432,0.01107,3.05729,3.70434,2.3165,0.00967825,0.00967825,0.00967825
41,501.927,2.98285,3.61397,2.28282,0.14888,0.06923,0.03765,0.01098,3.14054,3.98279,2.22989,0.00967,0.00967,0.00967
42,513.416,2.99804,3.63604,2.3,0.19002,0.05291,0.03479,0.00991,3.11136,3.78902,2.31571,0.00966175,0.00966175,0.00966175
43,524.897,2.95566,3.55946,2.28665,0.2005,0.08723,0.05899,0.0191,3.06058,3.72098,2.29379,0.0096535,0.0096535,0.0096535
44,537.752,2.93876,3.53234,2.27872,0.21991,0.09149,0.08226,0.02432,2.97525,3.58004,2.26491,0.00964525,0.00964525,0.00964525
45,549.668,2.9141,3.52003,2.28898,0.1589,0.09362,0.05591,0.01575,2.99313,3.67545,2.27725,0.009637,0.009637,0.009637
46,561.248,2.89694,3.4936,2.25906,0.21513,0.10426,0.0687,0.02056,2.91433,3.51645,2.25794,0.00962875,0.00962875,0.00962875
47,573.781,2.8832,3.44715,2.2606,0.14934,0.12128,0.0637,0.0173,2.94889,3.63659,2.26871,0.0096205,0.0096205,0.0096205
48,586.326,2.88229,3.47503,2.25565,0.22253,0.09927,0.06966,0.01875,2.99948,3.54747,2.29434,0.00961225,0.00961225,0.00961225
49,597.906,2.9006,3.4805,2.28182,0.21125,0.1,0.06945,0.01973,2.92447,3.57084,2.27253,0.009604,0.009604,0.009604
50,609.382,2.84208,3.40576,2.24303,0.19973,0.10638,0.07506,0.02191,2.93259,3.48689,2.23289,0.00959575,0.00959575,0.00959575
51,622.815,2.86552,3.40276,2.23758,0.2083,0.10469,0.07448,0.02167,2.93252,3.59114,2.21341,0.0095875,0.0095875,0.0095875
52,634.435,2.86034,3.44305,2.23141,0.12688,0.09362,0.05377,0.0156,3.00434,3.69108,2.29201,0.00957925,0.00957925,0.00957925
53,645.984,2.84836,3.42518,2.2324,0.18748,0.11277,0.06268,0.01912,2.88876,3.56402,2.25412,0.009571,0.009571,0.009571
54,657.933,2.87361,3.42751,2.25717,0.15964,0.11064,0.06338,0.01544,2.96213,3.40629,2.28464,0.00956275,0.00956275,0.00956275
55,670.946,2.84482,3.39947,2.21952,0.25656,0.1,0.08383,0.02838,2.90445,3.45656,2.22245,0.0095545,0.0095545,0.0095545
56,682.837,2.7639,3.31963,2.19032,0.13191,0.08298,0.04462,0.01277,2.97196,3.65478,2.24521,0.00954625,0.00954625,0.00954625
57,694.28,2.75741,3.33757,2.18612,0.21167,0.11702,0.08071,0.02606,2.86628,3.36635,2.20635,0.009538,0.009538,0.009538
58,707.378,2.79872,3.38176,2.21137,0.24777,0.10426,0.09485,0.02767,2.86408,3.46962,2.23134,0.00952975,0.00952975,0.00952975
59,719.603,2.78647,3.30009,2.19596,0.22488,0.11702,0.08537,0.02877,2.80684,3.35173,2.21445,0.0095215,0.0095215,0.0095215
60,731.803,2.81441,3.3677,2.20505,0.23774,0.12979,0.08268,0.0277,2.86946,3.41145,2.20893,0.00951325,0.00951325,0.00951325
61,743.893,2.80342,3.33486,2.20382,0.19233,0.14255,0.08595,0.02645,2.84317,3.55855,2.22669,0.009505,0.009505,0.009505
62,757.044,2.79996,3.35091,2.20392,0.2093,0.13617,0.08063,0.02333,2.83289,3.44997,2.19573,0.00949675,0.00949675,0.00949675
63,768.783,2.7643,3.34563,2.18852,0.26265,0.1234,0.10847,0.03844,2.79287,3.29121,2.19324,0.0094885,0.0094885,0.0094885
64,780.608,2.73453,3.34013,2.18079,0.22695,0.12128,0.07778,0.02568,2.82699,3.5118,2.18008,0.00948025,0.00948025,0.00948025
65,793.588,2.7419,3.3114,2.17278,0.19999,0.12128,0.07204,0.01956,2.86558,3.37244,2.2302,0.009472,0.009472,0.009472
66,805.302,2.73154,3.31834,2.17825,0.18679,0.1383,0.08909,0.02737,2.76467,3.44595,2.17119,0.00946375,0.00946375,0.00946375
