epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0489,7.62906,11.7181,4.34379,0,0,0,0,8.87592,12.7144,4.15475,0.00327778,0.00327778,0.00327778
2,31.3184,7.64808,8.98195,4.28727,0,0,0,0,8.86813,10.5193,4.14324,0.00660566,0.00660566,0.00660566
3,55.0115,7.09674,6.22192,3.98612,0.0001,0.00213,5e-05,1e-05,6.91908,7.05755,16.1229,0.00992804,0.00992804,0.00992804
4,69.6903,4.94148,4.59265,3.08089,0.00037,0.01277,0.00018,4e-05,4.85146,1555.28,36.0774,0.00997525,0.00997525,0.00997525
5,83.9348,4.19727,4.40446,2.76623,0.00092,0.09787,0.00064,0.00015,4.0792,4.86532,2.44959,0.009967,0.009967,0.009967
6,106.541,3.86666,4.31388,2.70941,0.00211,0.20426,0.00197,0.00041,4.01952,4.28871,2.50272,0.00995875,0.00995875,0.00995875
7,122.764,3.81198,4.34261,2.66772,0.00061,0.00851,0.00036,0.00013,4.86049,6.54239,3.74836,0.0099505,0.0099505,0.0099505
8,136.302,3.78652,4.31006,2.65616,0.0007,0.02766,0.00038,9e-05,4.34926,4.91317,2.54688,0.00994225,0.00994225,0.00994225
9,155.235,3.7744,4.29676,2.62771,0.00201,0.2234,0.00153,0.00035,3.89291,4.44535,2.43292,0.009934,0.009934,0.009934
10,173.846,3.7565,4.32379,2.61466,0.00176,0.26383,0.00269,0.0006,3.66435,4.39071,2.30768,0.00992575,0.00992575,0.00992575
11,188.084,3.69951,4.31583,2.60356,0.00036,0.00213,0.00018,5e-05,4.30361,4.77106,2.68326,0.0099175,0.0099175,0.0099175
12,203.824,3.64528,4.30599,2.58068,0.00177,0.27021,0.0014,0.00032,3.64813,4.48058,2.36597,0.00990925,0.00990925,0.00990925
13,225.745,3.63029,4.25992,2.54828,0.00204,0.28511,0.00167,0.00045,3.55723,4.27022,2.28574,0.009901,0.009901,0.009901
14,239.416,3.57128,4.23747,2.532,0.00203,0.27447,0.0018,0.00044,3.59004,4.32025,2.34565,0.00989275,0.00989275,0.00989275
15,253.156,3.57251,4.23287,2.51104,0.00192,0.28936,0.00223,0.00052,3.54613,4.73441,2.25964,0.0098845,0.0098845,0.0098845
16,276.64,3.48671,4.24708,2.4646,0.00208,0.31702,0.00267,0.00067,3.61719,4.4896,2.32284,0.00987625,0.00987625,0.00987625
17,290.954,3.50377,4.21224,2.45201,0.00225,0.33191,0.00283,0.00077,3.6575,4.25892,2.36336,0.009868,0.009868,0.009868
18,305.351,3.46517,4.1855,2.48122,0.00215,0.32766,0.00816,0.00315,3.52253,4.23985,2.33148,0.00985975,0.00985975,0.00985975
19,328.579,3.45547,4.18162,2.44898,0.0025,0.38085,0.00508,0.00104,3.42375,4.22006,2.24393,0.0098515,0.0098515,0.0098515
20,343.644,3.38353,4.11161,2.45097,0.0026,0.39574,0.00503,0.00123,3.46934,4.27694,2.28841,0.00984325,0.00984325,0.00984325
21,357.394,3.38568,4.09793,2.41926,0.00287,0.43617,0.00899,0.00188,3.33123,4.0584,2.21096,0.009835,0.009835,0.009835
22,376.238,3.32802,4.08715,2.38892,0.00356,0.41277,0.00836,0.00224,3.46129,4.04461,2.28426,0.00982675,0.00982675,0.00982675
23,395.113,3.29232,3.98453,2.39014,0.03834,0.05106,0.01282,0.00227,3.30794,4.09304,2.23949,0.0098185,0.0098185,0.0098185
24,408.715,3.31411,3.96969,2.40206,0.11579,0.04468,0.01814,0.00393,3.32331,4.00563,2.28064,0.00981025,0.00981025,0.00981025
25,425.658,3.31824,3.92511,2.37293,0.07964,0.04043,0.01528,0.00301,3.306,3.90524,2.2425,0.009802,0.009802,0.009802
26,446.785,3.25817,3.9074,2.3642,0.00395,0.4,0.01327,0.00268,3.28267,3.99204,2.24769,0.00979375,0.00979375,0.00979375
