epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.887,5.85431,9.53252,4.21093,1e-05,0.00213,1e-05,0,6.30296,12.2835,4.16418,0.00327778,0.00327778,0.00327778
2,24.1456,5.86764,8.3168,4.1826,1e-05,0.00213,1e-05,0,6.29667,9.70534,4.13553,0.00660566,0.00660566,0.00660566
3,35.3401,5.88291,6.00559,4.05552,1e-05,0.00213,1e-05,0,5.87477,5.44867,4.01967,0.00992804,0.00992804,0.00992804
4,46.8772,4.7532,4.54587,3.17808,0.00011,0.00213,1e-05,0,3.92948,1313.17,35.8519,0.00997525,0.00997525,0.00997525
5,57.8454,4.24837,4.38671,2.80002,0.00045,0.00213,0.00023,2e-05,4.21876,11.0971,8.74302,0.009967,0.009967,0.009967
6,69.0413,4.02158,4.34946,2.73456,0.00126,0.16809,0.00097,0.00024,3.92262,4.5099,2.5511,0.00995875,0.00995875,0.00995875
7,80.2037,3.86294,4.31522,2.71271,0.00124,0.18298,0.00091,0.0002,3.80553,4.50851,2.3056,0.0099505,0.0099505,0.0099505
8,91.0772,3.72456,4.31733,2.66327,0.00116,0.15957,0.00083,0.00018,3.87246,4.48744,2.43609,0.00994225,0.00994225,0.00994225
9,102.085,3.73399,4.2765,2.6588,0.0016,0.21915,0.00132,0.0003,3.62393,4.45212,2.30703,0.009934,0.009934,0.009934
10,113.254,3.60128,4.32767,2.66777,0.00202,0.25957,0.00182,0.00043,3.59215,4.42327,2.4011,0.00992575,0.00992575,0.00992575
11,124.44,3.54402,4.29576,2.62813,0.00091,0.05532,0.00115,0.00036,3.68894,4.77859,2.34092,0.0099175,0.0099175,0.0099175
12,135.4,3.4943,4.27194,2.60312,0.00158,0.15106,0.00165,0.00033,3.5785,4.50899,2.34505,0.00990925,0.00990925,0.00990925
13,146.249,3.48755,4.25285,2.59537,0.00117,0.01277,0.00064,0.00013,4.14641,5.89232,2.7603,0.009901,0.009901,0.009901
14,157.272,3.4394,4.22629,2.58772,0.0015,0.22128,0.00129,0.00029,3.53874,4.61155,2.34524,0.00989275,0.00989275,0.00989275
15,168.189,3.43143,4.19663,2.5409,0.00179,0.18936,0.00191,0.00044,3.71116,5.02036,2.42116,0.0098845,0.0098845,0.0098845
16,179.375,3.35575,4.17561,2.53279,0.00968,0.00426,0.00246,0.00052,3.43439,4.45879,2.34455,0.00987625,0.00987625,0.00987625
17,190.136,3.35182,4.13184,2.51125,0.00233,0.35319,0.00423,0.00075,3.35,4.35043,2.25457,0.009868,0.009868,0.009868
18,201.244,3.29474,4.093,2.50909,0.00064,0.02766,0.00033,9e-05,4.08819,5.39934,2.37881,0.00985975,0.00985975,0.00985975
19,212.229,3.29234,4.11909,2.47451,0.00122,0.18511,0.00106,0.00026,3.67277,4.87612,2.33411,0.0098515,0.0098515,0.0098515
20,223.372,3.2709,4.07073,2.48688,0.00148,0.22553,0.00133,0.00027,3.9124,7.0157,2.6117,0.00984325,0.00984325,0.00984325
21,234.15,3.22659,4.08661,2.43761,0.00203,0.23191,0.00496,0.00087,3.57944,4.81547,2.28856,0.009835,0.009835,0.009835
22,245.36,3.20254,4.07876,2.41889,0.00283,0.43191,0.0083,0.00205,3.22418,4.148,2.2596,0.00982675,0.00982675,0.00982675
23,256.658,3.17685,3.97896,2.39505,0.00047,0.07234,0.00026,7e-05,4.65709,13.52,2.75988,0.0098185,0.0098185,0.0098185
24,267.644,3.1832,3.99143,2.39895,0.00215,0.32553,0.00217,0.00054,3.38247,4.36085,2.2674,0.00981025,0.00981025,0.00981025
25,278.625,3.17476,3.99179,2.40043,0.00052,0.07872,0.00037,9e-05,4.79995,15.9727,2.95758,0.009802,0.009802,0.009802
26,289.633,3.15673,3.94614,2.37173,0.00264,0.4,0.00971,0.00193,3.27828,4.26588,2.21989,0.00979375,0.00979375,0.00979375
27,300.925,3.10313,3.94314,2.36695,0.00305,0.4617,0.01211,0.00267,3.19056,3.97686,2.21258,0.0097855,0.0097855,0.0097855
28,312.085,3.13358,3.90706,2.37676,0.00156,0.23617,0.00199,0.00049,3.51371,4.7255,2.31004,0.00977725,0.00977725,0.00977725
29,323.057,3.13883,3.92284,2.36796,0.05257,0.01277,0.00424,0.00103,3.58175,5.18964,2.28905,0.009769,0.009769,0.009769
30,334.006,3.12706,3.89196,2.36855,0.00231,0.3234,0.00594,0.00132,3.58965,4.90776,2.33276,0.00976075,0.00976075,0.00976075
