epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.693,4.86018,9.43623,4.2225,1e-05,0.00213,1e-05,0,5.31789,11.6346,4.16724,0.00327778,0.00327778,0.00327778
2,22.0915,5.01527,7.04377,4.15446,1e-05,0.00213,1e-05,0,5.33468,7.32143,4.15217,0.00660566,0.00660566,0.00660566
3,31.1839,4.72919,5.13958,3.75606,0.0004,0.01277,0.00021,6e-05,3.60045,5.66627,2.73679,0.00992804,0.00992804,0.00992804
4,40.2564,3.76568,4.51466,3.04989,0.00062,0.00851,0.00031,6e-05,4.04293,5.53359,3.22658,0.00997525,0.00997525,0.00997525
5,50.4047,3.39335,4.38706,2.7408,0.00063,0.09149,0.00037,9e-05,3.00229,4.70984,2.4325,0.009967,0.009967,0.009967
6,59.5134,3.21055,4.45887,2.5791,0.00055,0.05745,0.00031,6e-05,2.99278,4.83396,2.32633,0.00995875,0.00995875,0.00995875
7,68.4655,3.2049,4.46066,2.57185,0.00057,0.08298,0.00033,7e-05,2.97454,4.60785,2.18018,0.0099505,0.0099505,0.0099505
8,77.3768,3.24493,4.45114,2.47962,0.00075,0.1,0.00046,0.00011,2.79364,4.47676,2.08838,0.00994225,0.00994225,0.00994225
9,87.1459,3.24155,4.41903,2.47594,0.00093,0.13191,0.0006,0.00013,2.86983,4.47272,2.05938,0.009934,0.009934,0.009934
10,96.7268,3.19159,4.47339,2.46602,0.00063,0.0766,0.00037,9e-05,2.9637,4.58057,2.15599,0.00992575,0.00992575,0.00992575
11,105.679,3.12239,4.43465,2.53033,0.00071,0.10426,0.0004,9e-05,2.97649,4.62416,2.26385,0.0099175,0.0099175,0.0099175
12,114.605,3.0775,4.4081,2.57,0.00067,0.09787,0.00038,8e-05,2.97732,4.51884,2.16993,0.00990925,0.00990925,0.00990925
