experiment,epochs_recorded,selection,epoch,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),best_checkpoint_found,original_experiment
yolo11n-C2-STR,1200,maximum recorded validation mAP50,1199,0.94305,0.88089,0.93781,0.68485,True,yolo11-C2TSSA-DYT-Mona-SEFFN
yolo11n-C3k2-CA,1200,maximum recorded validation mAP50,1200,0.9506,0.83617,0.92814,0.72928,True,yolo11-CA
yolo11n-C3k2-CA-C2-STR,1200,maximum recorded validation mAP50,1164,0.97174,0.85106,0.94706,0.695,True,yolo11-CA-C2TSSA-DYT-Mona-SEFFN
yolo11n-C3k2-CA-C2-STR-VoV-GSCSP,1200,maximum recorded validation mAP50,1107,0.95034,0.89578,0.95749,0.7869,True,yolo11-CA-C2TSSA-DYT-Mona-SEFFN-slimneck
yolo11n-C3k2-CA-C2-STR-VoV-GSCSP-MPCR-Head,1200,maximum recorded validation mAP50,1200,0.96787,0.89574,0.96099,0.78122,True,yolo11-CA-C2TSSA-DYT-Mona-SEFFN-slimneck-MultiSEAMHead
slat-yolo,1200,maximum recorded validation mAP50,1199,0.97519,0.91979,0.96625,0.79625,False,yolo11-CA-C2TSSA-DYT-Mona-SEFFN-slimneck-MultiSEAMHead-wise-ShapeIoU
yolo11n-C3k2-CA-MPCR-Head,1200,maximum recorded validation mAP50,1199,0.95692,0.87447,0.94465,0.73947,True,yolo11-CA-MultiSEAMHead
yolo11n-C3k2-CA-VoV-GSCSP,1200,maximum recorded validation mAP50,1151,0.9521,0.89787,0.95382,0.71431,True,yolo11-CA-slimneck
yolo11n-C3k2-CA-VoV-GSCSP-MPCR-Head,1200,maximum recorded validation mAP50,1199,0.94253,0.91702,0.96871,0.79245,True,yolo11-CA-slimneck-MultiSEAMHead
yolo11n-C3k2-CA-VoV-GSCSP-MPCR-Head-CIoU,1200,maximum recorded validation mAP50,1200,0.975,0.91277,0.95843,0.77737,True,yolo11-CA-slimneck-MultiSEAMHead-CIoU
yolo11n-C3k2-CA-VoV-GSCSP-MPCR-Head-GIoU,1200,maximum recorded validation mAP50,1200,0.95447,0.91277,0.95929,0.80362,True,yolo11-CA-slimneck-MultiSEAMHead-GIOU
yolo11n-C3k2-CA-VoV-GSCSP-MPCR-Head-SIoU,1200,maximum recorded validation mAP50,1187,0.95436,0.88986,0.9552,0.73928,True,yolo11-CA-slimneck-MultiSEAMHead-SIOU
yolo11n-C3k2-CA-VoV-GSCSP-MPCR-Head-Wise-ShapeIoU,1200,maximum recorded validation mAP50,1199,0.94347,0.92553,0.96143,0.78362,True,yolo11-CA-slimneck-MultiSEAMHead-wise_ShapeIoU
yolo11n-MPCR-Head,1200,maximum recorded validation mAP50,1200,0.95828,0.81702,0.91868,0.69478,True,yolo11-MultiSEAMHead
yolo11n-VoV-GSCSP,1200,maximum recorded validation mAP50,1158,0.89737,0.84681,0.91789,0.67015,True,yolo11-slimneck
yolo11n-VoV-GSCSP-MPCR-Head,1200,maximum recorded validation mAP50,930,0.94839,0.8766,0.94154,0.73661,True,yolo11-slimneck-MultiSEAMHead
yolo11n-Wise-ShapeIoU,1200,maximum recorded validation mAP50,1195,0.92774,0.86809,0.93425,0.725,True,yolo11-wise_ShapeIoU
