epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1526,5.84424,9.46401,4.20517,1e-05,0.00213,1e-05,0,6.29929,10.9015,4.17205,0.00327778,0.00327778,0.00327778
2,63.8639,5.76463,6.36427,4.07868,1e-05,0.00213,1e-05,0,6.21836,7.05271,3.97132,0.00660566,0.00660566,0.00660566
3,74.9241,5.36171,5.17459,3.68772,1e-05,0.00213,1e-05,0,6.24668,5.82984,4.16499,0.00992804,0.00992804,0.00992804
4,86.0329,4.67758,4.67245,3.17606,6e-05,0.00213,3e-05,1e-05,5.93042,5.33857,3.64634,0.00997525,0.00997525,0.00997525
5,97.318,4.35936,4.46572,2.85759,0.00038,0.00851,0.00021,7e-05,5.35141,5.21169,3.77625,0.009967,0.009967,0.009967
6,108.629,4.03652,4.4244,2.59211,0.00022,0.03404,0.00012,3e-05,4.19304,4.94414,2.36378,0.00995875,0.00995875,0.00995875
7,119.769,3.92829,4.40288,2.56941,0.00061,0.06596,0.00035,9e-05,4.39235,4.79352,2.25766,0.0099505,0.0099505,0.0099505
8,131.22,3.91513,4.45213,2.48415,0.0004,0.05957,0.00022,6e-05,3.96152,4.63768,2.13589,0.00994225,0.00994225,0.00994225
9,142.355,3.87846,4.39105,2.45704,0.0004,0.03191,0.00024,6e-05,4.46853,4.98166,2.66875,0.009934,0.009934,0.009934
10,153.391,3.77106,4.43043,2.42035,0.00015,0.0234,8e-05,1e-05,3.9618,4.75229,2.21564,0.00992575,0.00992575,0.00992575
11,164.367,3.78004,4.39211,2.48202,0.00052,0.05106,0.00028,7e-05,4.23597,4.80849,2.26202,0.0099175,0.0099175,0.0099175
12,175.359,3.76081,4.39911,2.41263,0.00049,0.07021,0.00028,6e-05,3.93638,4.6848,2.13605,0.00990925,0.00990925,0.00990925
13,186.417,3.76665,4.38706,2.44547,0.00063,0.08298,0.00044,9e-05,4.0242,4.51659,2.17787,0.009901,0.009901,0.009901
14,197.643,3.78578,4.36407,2.4593,0.00067,0.1,0.00038,8e-05,3.95388,4.46661,2.08101,0.00989275,0.00989275,0.00989275
15,208.73,3.79741,4.38042,2.46093,0.00057,0.08085,0.00032,7e-05,4.04448,4.45134,2.27633,0.0098845,0.0098845,0.0098845
16,219.739,3.79269,4.38347,2.51798,0.00075,0.10851,0.00042,9e-05,4.25909,4.35505,2.70056,0.00987625,0.00987625,0.00987625
17,230.781,3.81009,4.35355,2.66551,0.00088,0.12766,0.00054,0.00012,4.14691,4.25363,2.5255,0.009868,0.009868,0.009868
18,242.129,3.76487,4.27844,2.62257,0.00145,0.20426,0.00115,0.00025,3.84885,4.25223,2.32527,0.00985975,0.00985975,0.00985975
19,253.41,3.80989,4.34611,2.58055,0.00105,0.15532,0.00067,0.00015,3.86421,4.40526,2.19313,0.0098515,0.0098515,0.0098515
20,264.345,3.65869,4.34307,2.54261,0.00132,0.2,0.00118,0.00027,3.9084,4.23963,2.49277,0.00984325,0.00984325,0.00984325
21,275.555,3.72068,4.31977,2.5617,0.00103,0.08085,0.00066,0.00018,3.93091,4.47374,2.23024,0.009835,0.009835,0.009835
22,286.592,3.68497,4.39779,2.53692,0.00146,0.21915,0.00128,0.00027,3.61294,4.50518,2.28073,0.00982675,0.00982675,0.00982675
23,297.987,3.61603,4.2887,2.5633,0.0014,0.21064,0.0013,0.00032,3.7367,4.31907,2.34647,0.0098185,0.0098185,0.0098185
24,309.292,3.63334,4.31599,2.5722,0.0021,0.24468,0.0019,0.00041,3.77309,4.2775,2.37793,0.00981025,0.00981025,0.00981025
25,320.672,3.56336,4.30678,2.47333,0.00183,0.27447,0.00202,0.00046,3.63365,4.34448,2.22938,0.009802,0.009802,0.009802
26,332.073,3.51936,4.29874,2.52678,0.00139,0.20213,0.00097,0.00025,3.59644,4.41516,2.32201,0.00979375,0.00979375,0.00979375
27,343.147,3.48851,4.2805,2.50644,0.001,0.12766,0.0006,0.00015,3.77003,4.6227,2.4082,0.0097855,0.0097855,0.0097855
28,354.245,3.46635,4.28802,2.52146,0.00154,0.23191,0.00123,0.00027,3.57289,4.41611,2.26527,0.00977725,0.00977725,0.00977725
29,365.161,3.49392,4.30587,2.54531,0.00167,0.25532,0.00154,0.00047,3.44676,4.34817,2.22985,0.009769,0.009769,0.009769
30,375.531,3.46299,4.25569,2.47952,0.00176,0.26809,0.00254,0.00064,3.50683,4.2754,2.36918,0.00976075,0.00976075,0.00976075
31,386.465,3.43969,4.2686,2.46087,0.00187,0.28511,0.00152,0.00035,3.43258,4.32102,2.27019,0.0097525,0.0097525,0.0097525
32,397.374,3.4245,4.23736,2.48804,0.00173,0.26383,0.00135,0.00034,3.48695,4.30047,2.30254,0.00974425,0.00974425,0.00974425
33,408.492,3.3884,4.24946,2.46136,0.0019,0.28936,0.00198,0.00046,3.47449,4.25345,2.30085,0.009736,0.009736,0.009736
34,419.478,3.36168,4.27833,2.46264,0.00174,0.2617,0.00121,0.00032,3.44687,4.32477,2.30444,0.00972775,0.00972775,0.00972775
35,430.539,3.3468,4.266,2.45718,0.00207,0.31489,0.00447,0.00096,3.38893,4.24732,2.21526,0.0097195,0.0097195,0.0097195
36,441.925,3.35598,4.24506,2.44764,0.00173,0.26383,0.00252,0.00052,3.42545,4.26954,2.258,0.00971125,0.00971125,0.00971125
37,452.935,3.35777,4.2458,2.44347,0.00179,0.27021,0.00181,0.00047,3.44142,4.3361,2.3225,0.009703,0.009703,0.009703
38,464.002,3.33914,4.22636,2.45512,0.00123,0.18723,0.00096,0.00023,3.6296,4.56934,2.43233,0.00969475,0.00969475,0.00969475
39,475.197,3.31317,4.19936,2.44507,0.00191,0.29149,0.00284,0.0006,3.42583,4.2941,2.27772,0.0096865,0.0096865,0.0096865
40,486.316,3.31329,4.20867,2.41917,0.00211,0.32128,0.00306,0.00065,3.41621,4.23165,2.29055,0.00967825,0.00967825,0.00967825
41,497.46,3.32853,4.23458,2.4366,0.00176,0.26809,0.00356,0.00104,3.41938,4.29499,2.25274,0.00967,0.00967,0.00967
42,508.45,3.36445,4.21629,2.42634,0.0018,0.27447,0.00356,0.00074,3.47063,4.27351,2.2926,0.00966175,0.00966175,0.00966175
43,519.313,3.30678,4.1849,2.43286,0.00225,0.34255,0.00236,0.00053,3.40425,4.23787,2.26423,0.0096535,0.0096535,0.0096535
44,530.539,3.32137,4.18366,2.41781,0.00204,0.31064,0.00247,0.00059,3.42549,4.25125,2.26297,0.00964525,0.00964525,0.00964525
45,541.647,3.29337,4.15876,2.4295,0.00225,0.34255,0.00511,0.00116,3.3429,4.21372,2.30031,0.009637,0.009637,0.009637
46,552.988,3.296,4.17638,2.43098,0.00222,0.3383,0.0044,0.00075,3.39995,4.30035,2.31976,0.00962875,0.00962875,0.00962875
47,564.055,3.2642,4.18248,2.42209,0.00188,0.28723,0.00188,0.00047,3.43117,4.31549,2.34286,0.0096205,0.0096205,0.0096205
48,575.046,3.28149,4.1808,2.41993,0.00205,0.31277,0.00186,0.00046,3.42161,4.4619,2.28445,0.00961225,0.00961225,0.00961225
49,586.091,3.29785,4.19741,2.43428,0.00211,0.32128,0.00269,0.0006,3.39278,4.26543,2.28149,0.009604,0.009604,0.009604
50,597.135,3.28278,4.16956,2.41279,0.00209,0.31915,0.00339,0.0007,3.31995,4.30412,2.27877,0.00959575,0.00959575,0.00959575
51,608.176,3.24709,4.13255,2.42068,0.00216,0.32979,0.00316,0.0007,3.34203,4.19359,2.30117,0.0095875,0.0095875,0.0095875
52,619.1,3.27689,4.16214,2.41434,0.00214,0.32553,0.00251,0.00057,3.36851,4.27705,2.30795,0.00957925,0.00957925,0.00957925
53,629.96,3.23282,4.1793,2.41405,0.00224,0.34043,0.00273,0.00059,3.33456,4.22997,2.24001,0.009571,0.009571,0.009571
54,641.002,3.28004,4.15263,2.42319,0.00226,0.34255,0.00331,0.00074,3.37457,4.28522,2.3567,0.00956275,0.00956275,0.00956275
55,652.171,3.2267,4.15928,2.41288,0.00211,0.32128,0.00299,0.00069,3.31089,4.28819,2.2433,0.0095545,0.0095545,0.0095545
56,663.345,3.20945,4.12616,2.38376,0.00226,0.34468,0.00392,0.00083,3.27896,4.24171,2.32394,0.00954625,0.00954625,0.00954625
57,674.482,3.19095,4.13858,2.39525,0.00204,0.31064,0.00378,0.00069,3.35948,4.28524,2.26283,0.009538,0.009538,0.009538
58,685.482,3.26504,4.1577,2.40668,0.00257,0.26809,0.0044,0.00091,3.38657,4.28849,2.36754,0.00952975,0.00952975,0.00952975
59,696.497,3.20316,4.10606,2.40725,0.00233,0.35532,0.00289,0.00064,3.30918,4.24857,2.35552,0.0095215,0.0095215,0.0095215
60,707.51,3.23895,4.12669,2.40034,0.00225,0.3383,0.00351,0.00077,3.26167,4.25242,2.29156,0.00951325,0.00951325,0.00951325
61,718.694,3.26078,4.12819,2.41053,0.00249,0.37872,0.00411,0.00093,3.22245,4.17317,2.29388,0.009505,0.009505,0.009505
62,729.747,3.22093,4.11792,2.4167,0.00253,0.38511,0.00468,0.00093,3.30814,4.18544,2.33752,0.00949675,0.00949675,0.00949675
63,740.833,3.20229,4.11816,2.40474,0.00246,0.37447,0.00427,0.00096,3.29641,4.16271,2.31031,0.0094885,0.0094885,0.0094885
