epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.339,5.84579,9.85325,4.22154,0,0,0,0,6.30264,11.8267,4.15984,0.00327778,0.00327778,0.00327778
2,147.005,5.84115,7.20939,4.16444,1e-05,0.00213,1e-05,0,6.27654,7.44763,4.07954,0.00660566,0.00660566,0.00660566
3,160.176,5.39534,4.97693,3.55227,1e-05,0.00213,1e-05,0,4.35537,4.89957,3.25837,0.00992804,0.00992804,0.00992804
4,173.286,4.29289,4.33187,2.80122,0.00143,0.00638,0.00073,0.00032,4.55628,4.62209,2.67766,0.00997525,0.00997525,0.00997525
5,186.387,4.16653,4.29659,2.6702,0.00047,0.02766,0.00025,6e-05,4.4047,4.75449,2.48498,0.009967,0.009967,0.009967
6,199.253,4.09625,4.32075,2.53505,0.00072,0.10638,0.00043,9e-05,4.23416,4.58617,2.28904,0.00995875,0.00995875,0.00995875
7,212.122,4.0674,4.29232,2.62447,0.00077,0.11277,0.00047,9e-05,4.14538,4.78242,2.42099,0.0099505,0.0099505,0.0099505
8,224.926,3.84581,4.32355,2.64096,0.00152,0.15532,0.00102,0.00023,3.97559,4.39372,2.51778,0.00994225,0.00994225,0.00994225
9,237.712,3.73025,4.23364,2.6149,0.00119,0.16809,0.00083,0.0002,3.96881,4.74236,2.46335,0.009934,0.009934,0.009934
10,250.641,3.67917,4.2442,2.58718,0.00127,0.18723,0.00077,0.00018,3.83033,4.4858,2.4096,0.00992575,0.00992575,0.00992575
11,263.561,3.64092,4.20538,2.57954,0.00143,0.21702,0.00096,0.00024,3.62062,4.68419,2.39931,0.0099175,0.0099175,0.0099175
12,276.465,3.64837,4.21827,2.58537,0.00146,0.21915,0.00106,0.00024,3.70355,4.37571,2.34287,0.00990925,0.00990925,0.00990925
13,289.3,3.63271,4.20409,2.6112,0.00145,0.2,0.00095,0.00023,3.65693,4.50385,2.42898,0.009901,0.009901,0.009901
14,302.171,3.59412,4.18005,2.60026,0.00039,0.05319,0.00023,5e-05,3.72786,4.40866,2.57714,0.00989275,0.00989275,0.00989275
