epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.63791,5.84512,9.44797,4.21379,0,0,0,0,6.30197,11.8629,4.15773,0.00327778,0.00327778,0.00327778
2,140.489,5.83114,7.51314,4.16525,1e-05,0.00213,1e-05,0,6.27454,8.06158,4.06054,0.00660566,0.00660566,0.00660566
3,150.462,5.59719,5.33443,3.78572,0.00021,0.01489,0.00011,3e-05,4.41374,4.81167,4.67753,0.00992804,0.00992804,0.00992804
4,160.466,4.50507,4.45099,3.01378,0.00019,0.00426,5e-05,2e-05,4.2896,107.84,6.88975,0.00997525,0.00997525,0.00997525
5,170.139,4.2113,4.34166,2.74362,0.00019,0.00426,5e-05,2e-05,4.18903,5.42046,4.74982,0.009967,0.009967,0.009967
6,180.098,4.18485,4.35925,2.73738,0.00022,0.02128,0.00011,2e-05,4.16957,4.82569,4.29384,0.00995875,0.00995875,0.00995875
7,190.136,4.05482,4.31256,2.78615,0.00056,0.0766,0.00034,9e-05,4.05714,4.7157,2.45967,0.0099505,0.0099505,0.0099505
8,200.393,4.03093,4.35233,2.70831,0.00057,0.07447,0.00031,7e-05,4.14291,4.79108,2.69367,0.00994225,0.00994225,0.00994225
9,210.421,3.98069,4.35766,2.70445,0.00072,0.10426,0.00042,0.0001,4.13238,4.54778,2.3707,0.009934,0.009934,0.009934
10,220.515,3.99345,4.3692,2.72856,0.00118,0.09574,0.00071,0.00013,3.94592,4.44313,2.43107,0.00992575,0.00992575,0.00992575
11,230.886,3.91352,4.31861,2.70107,0.00106,0.15745,0.00083,0.00019,3.90659,4.48694,2.47271,0.0099175,0.0099175,0.0099175
12,241.203,3.82987,4.28973,2.70014,0.00154,0.19149,0.00113,0.00027,3.75907,4.35455,2.41833,0.00990925,0.00990925,0.00990925
13,251.343,3.80247,4.28929,2.70972,0.00199,0.17872,0.00172,0.00036,3.80481,4.38798,2.42543,0.009901,0.009901,0.009901
14,261.227,3.67817,4.31246,2.72675,0.00974,0.00213,0.00033,7e-05,3.88229,8.50708,2.42972,0.00989275,0.00989275,0.00989275
15,270.897,3.76421,4.33104,2.70036,0.00102,0.09362,0.00082,0.00022,3.81978,4.50812,2.48691,0.0098845,0.0098845,0.0098845
16,280.926,3.70525,4.32102,2.72594,0.00175,0.17447,0.00224,0.00063,3.72417,4.4223,2.47943,0.00987625,0.00987625,0.00987625
17,291.211,3.69401,4.32625,2.73357,0.0013,0.1617,0.00085,0.00021,3.67629,4.46981,2.47951,0.009868,0.009868,0.009868
18,301.242,3.63121,4.30933,2.70838,0.00174,0.25957,0.00175,0.00034,3.64575,4.50374,2.50712,0.00985975,0.00985975,0.00985975
19,311.31,3.69975,4.33429,2.69914,0.00169,0.24043,0.00159,0.00038,3.66489,4.5162,2.50935,0.0098515,0.0098515,0.0098515
20,321.148,3.6339,4.28723,2.70755,0.00169,0.24681,0.00179,0.00035,3.59739,4.48503,2.43901,0.00984325,0.00984325,0.00984325
21,330.964,3.66182,4.30772,2.68028,0.00188,0.27234,0.00182,0.00042,3.59522,4.41506,2.47857,0.009835,0.009835,0.009835
22,341.112,3.63312,4.32097,2.68542,0.00207,0.30851,0.00348,0.00081,3.5669,4.36557,2.45505,0.00982675,0.00982675,0.00982675
23,351.372,3.58982,4.28908,2.66791,0.00182,0.27021,0.0022,0.00051,3.58366,4.47072,2.39498,0.0098185,0.0098185,0.0098185
24,361.483,3.57888,4.34537,2.66319,0.00168,0.24894,0.00173,0.00045,3.50806,4.46792,2.40546,0.00981025,0.00981025,0.00981025
25,371.457,3.58429,4.36782,2.65193,0.00261,0.23617,0.00258,0.00066,3.55636,4.39272,2.37383,0.009802,0.009802,0.009802
26,381.492,3.57951,4.3302,2.65905,0.00188,0.28085,0.00222,0.00056,3.55636,4.41072,2.40328,0.00979375,0.00979375,0.00979375
27,391.498,3.56112,4.32711,2.63578,0.00178,0.24894,0.00151,0.00032,3.61533,4.42668,2.39786,0.0097855,0.0097855,0.0097855
28,401.536,3.5469,4.38478,2.67427,0.00295,0.22979,0.0047,0.00104,3.42328,4.3547,2.40484,0.00977725,0.00977725,0.00977725
29,411.909,3.5315,4.37366,2.66484,0.00204,0.30638,0.00214,0.00046,3.37381,4.32582,2.40683,0.009769,0.009769,0.009769
30,422.047,3.51424,4.31734,2.64061,0.00206,0.31489,0.00211,0.00048,3.46054,4.30693,2.4239,0.00976075,0.00976075,0.00976075
31,432.08,3.52785,4.3157,2.62355,0.00211,0.31702,0.00247,0.00054,3.42515,4.26452,2.37988,0.0097525,0.0097525,0.0097525
