epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1274,2.21411,1.15856,1.37697,8e-05,0.01277,4e-05,1e-05,2.14088,0.25902,1.58599,0.00327778,0.00327778,0.00327778
2,52.482,2.10778,0.20102,1.23498,0.00041,0.0617,0.00026,5e-05,1.95865,0.25642,1.35733,0.00660293,0.00660293,0.00660293
3,78.3589,1.92697,0.2786,1.0082,0.00439,0.03191,0.00068,0.00014,1.96316,0.2786,1.30609,0.00991983,0.00991983,0.00991983
4,105.252,1.77856,0.33903,0.89853,0.03841,0.0234,0.00693,0.00227,1.8959,0.3214,1.26278,0.00996287,0.00996287,0.00996287
5,131.458,1.59058,0.40862,0.73035,0.12056,0.04681,0.01481,0.00383,1.64381,0.42977,0.9023,0.0099505,0.0099505,0.0099505
6,157.628,1.49802,0.46396,0.65588,0.07945,0.05532,0.01549,0.00379,1.53425,0.50195,0.79629,0.00993813,0.00993813,0.00993813
7,183.973,1.45364,0.46847,0.58691,0.12126,0.07447,0.03097,0.00751,1.44347,0.47301,0.70226,0.00992575,0.00992575,0.00992575
8,210.287,1.43249,0.48616,0.59969,0.16805,0.10426,0.05678,0.01882,1.29018,0.5827,0.64239,0.00991338,0.00991338,0.00991338
9,236.56,1.41083,0.49395,0.57026,0.16562,0.09787,0.06599,0.01974,1.21257,0.64697,0.56603,0.009901,0.009901,0.009901
10,263.15,1.39771,0.50017,0.5576,0.04824,0.04043,0.01164,0.00278,1.4342,0.50097,0.68738,0.00988862,0.00988862,0.00988862
11,288.975,1.42055,0.48033,0.58181,0.13108,0.07447,0.02486,0.00619,1.48266,0.45194,0.78238,0.00987625,0.00987625,0.00987625
12,315.095,1.42254,0.46328,0.57494,0.08613,0.05745,0.01506,0.00346,1.37274,0.50875,0.65863,0.00986387,0.00986387,0.00986387
13,340.929,1.42472,0.46277,0.58692,0.16322,0.05532,0.02523,0.00638,1.39632,0.47001,0.62665,0.0098515,0.0098515,0.0098515
14,367.054,1.42914,0.46471,0.56988,0.16807,0.11702,0.0581,0.0189,1.17186,0.64362,0.55777,0.00983913,0.00983913,0.00983913
15,393.086,1.4038,0.49046,0.53913,0.19842,0.09787,0.05181,0.01437,1.33053,0.51869,0.67647,0.00982675,0.00982675,0.00982675
16,418.568,1.39591,0.4879,0.55233,0.14765,0.09398,0.03825,0.01024,1.30284,0.52808,0.61954,0.00981438,0.00981438,0.00981438
17,444.576,1.43674,0.44934,0.57215,0.27253,0.10213,0.06772,0.01975,1.27446,0.54311,0.61397,0.009802,0.009802,0.009802
18,470.888,1.38907,0.47023,0.53664,0.24322,0.12553,0.08017,0.02218,1.21686,0.59235,0.57916,0.00978962,0.00978962,0.00978962
19,497.548,1.40888,0.47636,0.55093,0.15672,0.09787,0.04983,0.0155,1.30501,0.57042,0.63318,0.00977725,0.00977725,0.00977725
20,522.962,1.37752,0.50466,0.53262,0.14225,0.08511,0.04179,0.01429,1.31061,0.53966,0.64005,0.00976487,0.00976487,0.00976487
21,548.792,1.38527,0.46665,0.53049,0.1655,0.11702,0.05276,0.01239,1.24532,0.57545,0.57722,0.0097525,0.0097525,0.0097525
22,574.507,1.37752,0.48305,0.525,0.25466,0.10638,0.06792,0.01966,1.23944,0.58138,0.60845,0.00974013,0.00974013,0.00974013
23,600.347,1.3528,0.49502,0.50031,0.2235,0.13404,0.08813,0.03141,1.17567,0.62683,0.60734,0.00972775,0.00972775,0.00972775
24,627.045,1.39201,0.4725,0.53294,0.3411,0.14255,0.11061,0.02805,1.17938,0.60442,0.54947,0.00971538,0.00971538,0.00971538
25,653.019,1.34113,0.50042,0.48366,0.2547,0.11277,0.08125,0.02342,1.24042,0.60386,0.60805,0.009703,0.009703,0.009703
26,678.839,1.3224,0.49606,0.48693,0.29175,0.12766,0.09537,0.02625,1.20466,0.5758,0.58385,0.00969063,0.00969063,0.00969063
27,704.828,1.34363,0.47809,0.4763,0.34335,0.15957,0.12915,0.04031,1.14531,0.62015,0.52098,0.00967825,0.00967825,0.00967825
28,731.41,1.28505,0.52439,0.45829,0.36392,0.16596,0.12922,0.04139,1.08252,0.66877,0.49024,0.00966588,0.00966588,0.00966588
29,757.6,1.26844,0.54384,0.44449,0.29493,0.15308,0.0973,0.02768,1.11771,0.6454,0.4968,0.0096535,0.0096535,0.0096535
30,783.63,1.25959,0.53902,0.44591,0.15437,0.08298,0.04467,0.0101,1.23109,0.57644,0.52877,0.00964113,0.00964113,0.00964113
31,809.106,1.27912,0.53223,0.43521,0.32849,0.17021,0.11945,0.04014,1.10519,0.65293,0.50932,0.00962875,0.00962875,0.00962875
32,834.679,1.23462,0.54997,0.43096,0.27597,0.1622,0.11165,0.03374,1.09162,0.67517,0.5125,0.00961637,0.00961637,0.00961637
33,860.447,1.28863,0.51533,0.45317,0.20254,0.12766,0.06279,0.01622,1.18974,0.60225,0.51155,0.009604,0.009604,0.009604
