epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8521,5.89268,9.78569,4.18088,1e-05,0.00213,1e-05,0,6.33656,13.1635,4.16541,0.00329167,0.00329167,0.00329167
2,50.6139,5.89335,9.48617,4.17636,1e-05,0.00213,1e-05,0,6.33454,12.8159,4.16308,0.00661953,0.00661953,0.00661953
3,75.2281,5.88256,8.41534,4.16315,1e-05,0.00213,1e-05,0,6.18096,8.84083,5.15739,0.0099419,0.0099419,0.0099419
4,99.6585,5.54405,5.55997,3.86496,1e-05,0.00213,1e-05,0,5.23441,5.0104,2.90129,0.00997525,0.00997525,0.00997525
5,124.088,4.35783,4.39172,2.89135,0.00029,0.00851,0.00014,3e-05,4.88,6.22916,3.4019,0.009967,0.009967,0.009967
6,148.531,4.13563,4.34133,2.70004,0.00254,0.01489,0.00132,0.00024,4.41942,4.61249,2.6147,0.00995875,0.00995875,0.00995875
7,173.029,4.1022,4.36655,2.67873,0.00053,0.00426,0.00013,3e-05,4.67432,6.01767,2.76356,0.0099505,0.0099505,0.0099505
8,197.178,4.06037,4.39429,2.67911,0.00077,0.07447,0.00044,0.0001,4.15645,4.4522,2.32012,0.00994225,0.00994225,0.00994225
9,221.075,3.93064,4.38441,2.63404,0.0011,0.01064,0.00056,0.00013,4.13565,4.64865,2.28303,0.009934,0.009934,0.009934
10,245.256,3.89758,4.39391,2.62567,0.00081,0.07021,0.00046,9e-05,4.03833,4.53895,2.24974,0.00992575,0.00992575,0.00992575
11,269.367,3.8831,4.37633,2.68118,0.00164,0.12979,0.00108,0.00022,3.94691,4.52172,2.45339,0.0099175,0.0099175,0.0099175
12,292.797,3.83966,4.40997,2.67125,0.00163,0.00426,0.00082,0.00029,4.69474,5.26929,2.63194,0.00990925,0.00990925,0.00990925
13,316.806,3.76648,4.45241,2.64771,0.0013,0.07447,0.00073,0.00018,3.79127,4.70671,2.35092,0.009901,0.009901,0.009901
14,340.892,3.69945,4.42205,2.6828,0.00167,0.19149,0.00126,0.00025,3.6665,4.49589,2.37106,0.00989275,0.00989275,0.00989275
15,365.462,3.68083,4.42477,2.64749,0.00141,0.18511,0.001,0.00023,3.69708,4.59774,2.37102,0.0098845,0.0098845,0.0098845
16,389.611,3.63702,4.43572,2.62295,0.00122,0.14043,0.00094,0.0002,3.67664,4.87136,2.40038,0.00987625,0.00987625,0.00987625
17,413.742,3.62408,4.45126,2.60959,0.00166,0.12979,0.00119,0.00026,3.58859,4.56549,2.26185,0.009868,0.009868,0.009868
18,438.28,3.57579,4.41222,2.60554,0.00151,0.1234,0.001,0.00028,3.61346,4.6337,2.35989,0.00985975,0.00985975,0.00985975
19,462.774,3.5819,4.42055,2.57453,0.00135,0.09362,0.00092,0.00024,3.65125,4.61119,2.43433,0.0098515,0.0098515,0.0098515
20,486.764,3.57092,4.43804,2.57129,0.0017,0.19362,0.00131,0.00033,3.56649,4.46516,2.3344,0.00984325,0.00984325,0.00984325
21,511.32,3.55498,4.43281,2.58155,0.00147,0.21702,0.00103,0.00024,3.56203,4.53653,2.32855,0.009835,0.009835,0.009835
22,535.397,3.54462,4.45254,2.57948,0.00139,0.20638,0.00178,0.00035,3.5014,4.60994,2.31334,0.00982675,0.00982675,0.00982675
23,559.972,3.51348,4.45085,2.58448,0.00154,0.23191,0.00115,0.00026,3.45791,4.64446,2.25217,0.0098185,0.0098185,0.0098185
24,584.006,3.46719,4.44736,2.55842,0.0019,0.15106,0.00125,0.0003,3.54216,4.58888,2.32435,0.00981025,0.00981025,0.00981025
25,608.149,3.4718,4.38816,2.55204,0.00109,0.15106,0.00092,0.0002,3.56197,4.62461,2.33753,0.009802,0.009802,0.009802
26,632.278,3.44127,4.35901,2.53148,0.0018,0.25957,0.00137,0.00037,3.48449,4.43014,2.28666,0.00979375,0.00979375,0.00979375
27,656.409,3.42455,4.37419,2.51672,0.00169,0.2383,0.00166,0.00036,3.51225,4.50615,2.37888,0.0097855,0.0097855,0.0097855
28,680.899,3.43777,4.38825,2.55263,0.00161,0.23404,0.00165,0.00042,3.46058,4.48283,2.30461,0.00977725,0.00977725,0.00977725
29,705.467,3.41557,4.38076,2.4993,0.00178,0.2383,0.00174,0.00043,3.49719,4.45477,2.3292,0.009769,0.009769,0.009769
30,730.103,3.37564,4.3387,2.51042,0.00189,0.25532,0.00181,0.0004,3.49723,4.49468,2.32664,0.00976075,0.00976075,0.00976075
31,754.293,3.36327,4.32692,2.49689,0.00233,0.25319,0.00294,0.00063,3.39466,4.29979,2.36106,0.0097525,0.0097525,0.0097525
32,778.827,3.36627,4.31348,2.47199,0.00199,0.2,0.00211,0.00053,3.3532,4.40789,2.32845,0.00974425,0.00974425,0.00974425
33,802.939,3.31211,4.29631,2.45488,0.0026,0.19574,0.00198,0.00047,3.33967,4.32313,2.30568,0.009736,0.009736,0.009736
34,827.113,3.35693,4.30311,2.47335,0.00207,0.22128,0.00192,0.00044,3.37427,4.35149,2.30189,0.00972775,0.00972775,0.00972775
35,851.142,3.30313,4.29711,2.46166,0.00202,0.24681,0.00157,0.00036,3.33999,4.34999,2.30368,0.0097195,0.0097195,0.0097195
36,875.322,3.33358,4.31624,2.45093,0.00196,0.28936,0.00274,0.00071,3.35703,4.36589,2.31692,0.00971125,0.00971125,0.00971125
37,899.949,3.28463,4.26378,2.46564,0.00195,0.27872,0.00258,0.00062,3.3553,4.31983,2.30658,0.009703,0.009703,0.009703
38,924.056,3.28172,4.28386,2.45887,0.00154,0.22766,0.00179,0.00041,3.28558,4.33999,2.28108,0.00969475,0.00969475,0.00969475
39,948.169,3.27697,4.24887,2.45789,0.00249,0.3617,0.00354,0.00081,3.34791,4.13552,2.3675,0.0096865,0.0096865,0.0096865
40,972.618,3.26492,4.23758,2.44928,0.00195,0.28298,0.00297,0.00059,3.44808,4.35839,2.40438,0.00967825,0.00967825,0.00967825
41,996.599,3.26962,4.25078,2.44191,0.00216,0.30426,0.00264,0.00055,3.35494,4.23387,2.3493,0.00967,0.00967,0.00967
42,1020.8,3.25984,4.25736,2.43385,0.00226,0.31702,0.00229,0.00054,3.34949,4.37494,2.26426,0.00966175,0.00966175,0.00966175
43,1044.89,3.2501,4.25622,2.41976,0.00246,0.30426,0.00307,0.00075,3.2906,4.26413,2.26323,0.0096535,0.0096535,0.0096535
44,1069.05,3.27165,4.26843,2.43176,0.00158,0.2383,0.00199,0.0005,3.31127,4.4577,2.32433,0.00964525,0.00964525,0.00964525
45,1093.15,3.24151,4.29079,2.42299,0.00223,0.29362,0.0026,0.00064,3.38705,4.26273,2.26864,0.009637,0.009637,0.009637
46,1117.32,3.24095,4.27882,2.42383,0.00232,0.28723,0.00408,0.00091,3.37515,4.28343,2.3224,0.00962875,0.00962875,0.00962875
47,1141.85,3.25155,4.26704,2.41336,0.00237,0.28936,0.00428,0.00099,3.40181,4.39179,2.36697,0.0096205,0.0096205,0.0096205
