epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6653,5.83433,8.51169,4.23315,1e-05,0.00213,1e-05,0,6.3006,10.1735,4.15305,0.00327778,0.00327778,0.00327778
2,61.5754,5.59367,5.75327,3.9838,1e-05,0.00213,1e-05,0,6.14451,6.29188,3.74907,0.00660566,0.00660566,0.00660566
3,70.9986,4.69215,4.5796,3.04129,0.00067,0.04468,0.00036,8e-05,4.52731,4.599,2.66903,0.00992804,0.00992804,0.00992804
4,80.0614,4.18065,4.34892,2.64891,0.00043,0.02766,0.00023,6e-05,4.45592,4.67422,3.25629,0.00997525,0.00997525,0.00997525
5,89.0075,4.01602,4.35239,2.60119,0.00042,0.02553,0.00022,5e-05,4.19842,4.52632,2.39236,0.009967,0.009967,0.009967
6,97.8449,3.92681,4.34515,2.50893,0.00065,0.07447,0.00038,9e-05,4.07013,4.53916,2.20545,0.00995875,0.00995875,0.00995875
7,106.907,3.74971,4.31184,2.55928,0.00192,0.15957,0.00174,0.00042,3.75987,4.41886,2.39332,0.0099505,0.0099505,0.0099505
8,115.966,3.71501,4.37541,2.54329,0.00117,0.16596,0.00082,0.00022,3.79997,4.4417,2.48572,0.00994225,0.00994225,0.00994225
9,124.948,3.72048,4.3249,2.52889,0.00088,0.10213,0.00093,0.00017,3.96844,4.53284,2.3998,0.009934,0.009934,0.009934
10,133.86,3.61599,4.34096,2.50294,0.00134,0.2,0.00104,0.00025,3.71028,4.48007,2.33532,0.00992575,0.00992575,0.00992575
11,142.798,3.59829,4.32113,2.50633,0.00126,0.14468,0.00079,0.00018,3.74005,4.5741,2.289,0.0099175,0.0099175,0.0099175
12,151.916,3.56998,4.3241,2.47884,0.00124,0.18936,0.00191,0.00038,3.74631,4.97006,2.34376,0.00990925,0.00990925,0.00990925
13,160.882,3.61496,4.29884,2.49788,0.00143,0.19574,0.00188,0.00042,3.6641,4.33067,2.36968,0.009901,0.009901,0.009901
14,170.062,3.58412,4.29119,2.48471,0.00127,0.15957,0.00126,0.00026,3.705,4.39996,2.30852,0.00989275,0.00989275,0.00989275
15,179.047,3.60558,4.29403,2.4653,0.00143,0.21277,0.00106,0.00023,3.69472,4.49828,2.34363,0.0098845,0.0098845,0.0098845
16,187.963,3.57228,4.29414,2.45159,0.00145,0.21702,0.00216,0.00045,3.66527,4.46189,2.33992,0.00987625,0.00987625,0.00987625
17,197.132,3.56003,4.28511,2.46995,0.00156,0.22128,0.00191,0.00041,3.65102,4.34882,2.30369,0.009868,0.009868,0.009868
18,206.083,3.54294,4.26919,2.44488,0.00162,0.20851,0.00194,0.00045,3.5917,4.33915,2.30778,0.00985975,0.00985975,0.00985975
19,215.049,3.53058,4.28684,2.43868,0.00174,0.2617,0.00239,0.0005,3.63704,4.32449,2.34862,0.0098515,0.0098515,0.0098515
20,224.147,3.53028,4.26948,2.44076,0.0018,0.25745,0.00188,0.00043,3.63537,4.40338,2.3404,0.00984325,0.00984325,0.00984325
21,233.096,3.49451,4.25825,2.42734,0.00177,0.25532,0.00228,0.00057,3.62168,4.30682,2.31343,0.009835,0.009835,0.009835
22,242.14,3.49833,4.25321,2.43371,0.00161,0.24255,0.00316,0.00058,3.58966,4.4297,2.34358,0.00982675,0.00982675,0.00982675
23,251.225,3.41325,4.23723,2.39148,0.00174,0.26383,0.00344,0.00082,3.50412,4.36968,2.30252,0.0098185,0.0098185,0.0098185
24,260.265,3.46647,4.2396,2.45455,0.00181,0.24255,0.00177,0.00043,3.62719,4.47653,2.39053,0.00981025,0.00981025,0.00981025
25,269.212,3.39856,4.23662,2.41791,0.0017,0.19787,0.00168,0.00041,3.58051,4.4664,2.37016,0.009802,0.009802,0.009802
26,278.339,3.42094,4.15474,2.41687,0.00206,0.31064,0.00234,0.00063,3.48721,4.24493,2.27972,0.00979375,0.00979375,0.00979375
27,287.452,3.41535,4.16592,2.40396,0.00241,0.21277,0.00221,0.00055,3.57694,4.41437,2.34197,0.0097855,0.0097855,0.0097855
28,296.458,3.36906,4.16654,2.39623,0.00116,0.1766,0.00114,0.00027,3.76146,4.48003,2.43561,0.00977725,0.00977725,0.00977725
29,305.489,3.37791,4.18914,2.39157,0.00196,0.29574,0.00229,0.00053,3.40527,4.45014,2.27559,0.009769,0.009769,0.009769
30,314.595,3.36523,4.15149,2.38396,0.00183,0.2766,0.00199,0.00047,3.50818,4.42928,2.28315,0.00976075,0.00976075,0.00976075
31,323.503,3.31962,4.14972,2.3556,0.00223,0.28723,0.00179,0.00045,3.48625,4.34602,2.34429,0.0097525,0.0097525,0.0097525
32,332.516,3.34706,4.10438,2.38174,0.00252,0.12766,0.00166,0.00039,3.96297,4.35398,2.6184,0.00974425,0.00974425,0.00974425
