epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2014,5.86382,10.514,4.21694,1e-05,0.00213,1e-05,0,6.3039,12.3723,4.15624,0.00327778,0.00327778,0.00327778
2,27.4095,5.86663,9.37896,4.20707,1e-05,0.00213,1e-05,0,6.29829,12.3626,4.17831,0.00660566,0.00660566,0.00660566
3,40.9991,5.92387,7.56698,4.18958,1e-05,0.00213,1e-05,0,6.23956,6.59809,4.63729,0.00992804,0.00992804,0.00992804
4,54.5059,5.1885,4.82543,3.4909,1e-05,0.00213,1e-05,0,4.3589,5.34921,3.17246,0.00997525,0.00997525,0.00997525
5,67.9025,4.22478,4.48354,2.82975,1e-05,0.00213,1e-05,0,4.50776,5.75185,3.24749,0.009967,0.009967,0.009967
6,81.4906,4.09942,4.4362,2.70001,0.0008,0.07234,0.00049,0.0001,4.36123,4.724,2.48594,0.00995875,0.00995875,0.00995875
7,95.2709,3.96557,4.42126,2.75712,0.00084,0.12128,0.00058,9e-05,3.93834,4.72605,2.39955,0.0099505,0.0099505,0.0099505
8,109.02,3.89592,4.45706,2.70042,0.00107,0.10213,0.00065,0.00013,3.90145,4.66434,2.35102,0.00994225,0.00994225,0.00994225
9,122.91,3.90985,4.39302,2.68657,0.00093,0.10851,0.00057,0.00013,3.92711,4.61894,2.63205,0.009934,0.009934,0.009934
10,135.819,3.83111,4.45489,2.71124,0.00106,0.13404,0.00069,0.00012,3.97012,4.70094,2.54235,0.00992575,0.00992575,0.00992575
11,149.486,3.78787,4.46317,2.66911,0.00054,0.02553,0.00029,6e-05,4.0652,4.94341,3.64022,0.0099175,0.0099175,0.0099175
12,162.486,3.79278,4.44197,2.65866,0.00493,0.00213,0.00257,0.00026,4.27963,6.30899,2.56503,0.00990925,0.00990925,0.00990925
13,175.966,3.74683,4.46644,2.67531,0.0012,0.01702,0.00071,0.00016,3.8022,4.78597,2.33375,0.009901,0.009901,0.009901
14,188.881,3.66352,4.46668,2.66246,0.00118,0.17021,0.00073,0.00018,3.68657,4.68066,2.35878,0.00989275,0.00989275,0.00989275
15,201.898,3.63137,4.49922,2.60572,0.00186,0.25745,0.00148,0.00035,3.54132,4.64069,2.27067,0.0098845,0.0098845,0.0098845
16,214.889,3.59432,4.52274,2.63441,0.00158,0.20426,0.00109,0.00027,3.54007,4.54517,2.34335,0.00987625,0.00987625,0.00987625
17,227.932,3.58488,4.49366,2.63238,0.00135,0.09787,0.00079,0.00018,3.64009,4.6021,2.39148,0.009868,0.009868,0.009868
18,240.952,3.5612,4.47753,2.62879,0.00147,0.21489,0.00104,0.00025,3.58937,4.6194,2.29093,0.00985975,0.00985975,0.00985975
19,253.868,3.58801,4.52753,2.59496,0.00177,0.16809,0.00126,0.00031,3.58205,4.5722,2.31209,0.0098515,0.0098515,0.0098515
20,266.938,3.53268,4.51214,2.59258,0.00143,0.08298,0.00083,0.00017,3.59634,4.60782,2.30443,0.00984325,0.00984325,0.00984325
21,279.952,3.56493,4.52123,2.59289,0.00136,0.18085,0.00118,0.00029,3.54657,4.56617,2.32989,0.009835,0.009835,0.009835
22,292.861,3.58323,4.52164,2.6054,0.00148,0.05745,0.00082,0.0002,3.52118,4.6357,2.32627,0.00982675,0.00982675,0.00982675
23,305.593,3.51495,4.51327,2.59339,0.00148,0.05745,0.00082,0.0002,4.86889,6.09519,4.41347,0.0098185,0.0098185,0.0098185
24,318.604,3.52917,4.51975,2.58569,0.00182,0.11489,0.00192,0.00053,3.56741,4.57248,2.30844,0.00981025,0.00981025,0.00981025
25,332.188,3.55484,4.5106,2.5995,0.00143,0.20851,0.00103,0.00023,3.54612,4.67489,2.23496,0.009802,0.009802,0.009802
26,345.263,3.52248,4.50391,2.58765,0.00157,0.20426,0.00119,0.00029,3.49162,4.61193,2.24823,0.00979375,0.00979375,0.00979375
27,358.346,3.50135,4.52364,2.57482,0.00204,0.2383,0.00164,0.00037,3.56656,4.55739,2.2618,0.0097855,0.0097855,0.0097855
28,371.104,3.51497,4.53261,2.58777,0.00134,0.01915,0.0008,0.00013,3.75711,4.6462,2.37679,0.00977725,0.00977725,0.00977725
29,383.622,3.53162,4.5683,2.61266,0.00134,0.01915,0.0008,0.00013,4.06474,5.0177,2.45039,0.009769,0.009769,0.009769
30,396.718,3.54585,4.56283,2.57661,0.00065,0.0766,0.00035,7e-05,3.81253,5.34893,2.50847,0.00976075,0.00976075,0.00976075
31,409.417,3.53655,4.55642,2.5569,0.00204,0.01915,0.00104,0.00021,3.4644,4.64521,2.28964,0.0097525,0.0097525,0.0097525
32,422.392,3.53867,4.54026,2.60173,0.00224,0.05106,0.00127,0.00028,3.48983,4.61741,2.24583,0.00974425,0.00974425,0.00974425
33,435.399,3.57302,4.53665,2.59454,0.00179,0.06809,0.00098,0.00025,3.55443,4.65758,2.29419,0.009736,0.009736,0.009736
34,448.228,3.52583,4.55589,2.61101,0.00179,0.06809,0.00098,0.00025,3.69927,4.65212,2.29453,0.00972775,0.00972775,0.00972775
35,460.93,3.50906,4.51226,2.58134,0.0017,0.03191,0.00089,0.00019,3.55058,4.6878,2.28239,0.0097195,0.0097195,0.0097195
36,473.919,3.53711,4.5618,2.5865,0.0022,0.00638,0.00112,0.00015,3.57781,4.65424,2.23759,0.00971125,0.00971125,0.00971125
37,486.472,3.5092,4.55061,2.58576,0.0022,0.00638,0.00112,0.00015,3.73439,4.71476,2.27182,0.009703,0.009703,0.009703
38,498.688,3.53122,4.49287,2.5754,0.0022,0.00638,0.00112,0.00015,3.72972,4.6386,2.2983,0.00969475,0.00969475,0.00969475
39,511.59,3.50594,4.51254,2.58005,0.00312,0.01489,0.00159,0.00043,3.66976,4.61559,2.26692,0.0096865,0.0096865,0.0096865
40,524.587,3.53597,4.50948,2.58162,0.00131,0.15106,0.00082,0.0002,3.67269,4.68905,2.25186,0.00967825,0.00967825,0.00967825
41,537.213,3.51898,4.51474,2.52755,0.00131,0.15106,0.00082,0.0002,3.62115,4.58817,2.23539,0.00967,0.00967,0.00967
42,549.929,3.56096,4.51552,2.55242,0.00378,0.00426,0.00191,0.00038,3.75071,4.83027,2.31289,0.00966175,0.00966175,0.00966175
43,562.835,3.5162,4.48977,2.572,0.00122,0.15745,0.00085,0.00021,3.57427,4.67485,2.19205,0.0096535,0.0096535,0.0096535
44,575.807,3.52998,4.50708,2.55431,0.00102,0.14894,0.00067,0.00016,3.61931,4.67298,2.20587,0.00964525,0.00964525,0.00964525
45,588.93,3.53555,4.49941,2.56579,0.00134,0.09149,0.00084,0.0002,3.71347,4.66508,2.31561,0.009637,0.009637,0.009637
46,601.833,3.53381,4.50512,2.58596,0.00178,0.04468,0.00094,0.00024,3.63025,4.67296,2.24908,0.00962875,0.00962875,0.00962875
47,614.893,3.5003,4.4865,2.55277,0.00157,0.12979,0.00092,0.00022,3.62294,4.59498,2.23081,0.0096205,0.0096205,0.0096205
48,627.731,3.52404,4.49421,2.55739,0.0008,0.00638,0.00041,5e-05,4.06351,5.29196,2.77019,0.00961225,0.00961225,0.00961225
49,640.762,3.51809,4.4736,2.56467,0.0018,0.09787,0.00124,0.0003,3.5869,4.67415,2.19532,0.009604,0.009604,0.009604
50,653.292,3.48068,4.51305,2.52381,0.0018,0.09787,0.00124,0.0003,4.48433,5.73135,2.95153,0.00959575,0.00959575,0.00959575
51,666.152,3.48723,4.45232,2.50326,0.00076,0.02979,0.00039,0.0001,3.57553,4.57273,2.19248,0.0095875,0.0095875,0.0095875
52,679.337,3.5354,4.46438,2.48785,0.00121,0.18511,0.00095,0.00024,3.58964,4.63885,2.21312,0.00957925,0.00957925,0.00957925
