category,experiment,original_experiment,source,epochs_recorded,selected_epoch,precision,recall,mAP50,mAP50_95
loss,yolo11n-CIoU,yolo11-CIoU,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-CIoU,1200,1198,0.94038,0.82128,0.90257,0.69527
loss,yolo11n-DIoU,yolo11-DIOU,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-DIOU,1200,1199,0.94209,0.72687,0.85502,0.61605
loss,yolo11n-EIoU,yolo11-EIoU,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-EIoU,1200,1197,0.94586,0.81776,0.89434,0.64985
loss,yolo11n-GIoU,yolo11-GIoU,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-GIoU,1200,1200,0.93872,0.79362,0.86707,0.66718
loss,yolo11n-Inner-CIoU,yolo11-inner_iou_CIoU,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-inner_iou_CIoU,1200,1199,0.93728,0.85106,0.90459,0.69737
loss,yolo11n-Inner-PIoU,yolo11-inner_iou_PIoU,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-inner_iou_PIoU,1200,1191,0.95568,0.82128,0.90744,0.69517
loss,yolo11n-Inner-ShapeIoU,yolo11-inner_ShapeIoU,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-inner_ShapeIoU,1200,1175,0.91233,0.75957,0.85033,0.62702
loss,yolo11n-PIoU,yolo11-PIoU,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-PIoU,1200,1151,0.94423,0.84894,0.92233,0.69508
loss,yolo11n-ShapeIoU,yolo11-ShapeIoU,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-ShapeIoU,1200,1197,0.9239,0.84468,0.90762,0.64661
loss,yolo11n-SIoU,yolo11-SIoU,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-SIoU,1200,1200,0.95041,0.81547,0.90523,0.70327
loss,yolo11n-Wise-CIoU,yolo11-wise_CIoU,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-wise_CIoU,1200,1182,0.94072,0.85319,0.92004,0.69634
loss,yolo11n-Wise-Inner-MPDIoU-v3,yolo11-wise_inner_MPDIoU_v3,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-wise_inner_MPDIoU_v3,1200,1200,0.93814,0.85106,0.91518,0.70903
loss,yolo11n-Wise-ShapeIoU,yolo11-wise_ShapeIoU,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-wise_ShapeIoU,1200,1195,0.92774,0.86809,0.93425,0.725
loss,yolo11n-Wise-WIoU,yolo11-wise_WIoU,my_project/code_detect/runs/detect/track_slab_improve/loss_improve/loss/yolo11-wise_WIoU,1200,1103,0.93775,0.8383,0.92157,0.70294
attention,yolo11n-C3k2-CA,yolo11-CA,my_project/code_detect/runs/detect/track_slab_improve/backbone_improve/attention/yolo11-CA,1200,1200,0.9506,0.83617,0.92814,0.72928
attention,yolo11n-CBAM,yolo11-CBAM,my_project/code_detect/runs/detect/track_slab_improve/backbone_improve/attention/yolo11-CBAM,1200,1200,0.95032,0.81392,0.91024,0.67096
attention,yolo11n-EMA,yolo11-EMA,my_project/code_detect/runs/detect/track_slab_improve/backbone_improve/attention/yolo11-EMA,1200,1168,0.93537,0.78511,0.8897,0.61668
attention,yolo11n-SEAttention,yolo11-SEAttention,my_project/code_detect/runs/detect/track_slab_improve/backbone_improve/attention/yolo11-SEAttention,1200,1200,0.92897,0.83475,0.91499,0.71593
comparison,rtdetr-l,train-rtdetr-l,my_project/code_detect/runs/detect/track_slab/train-rtdetr-l,515,480,0.9505,0.75532,0.82926,0.54827
comparison,yolo11n,train-yolo11n,my_project/code_detect/runs/detect/track_slab/train-yolo11n,1200,1183,0.96985,0.82124,0.91295,0.70024
comparison,yolo12n,train-yolo12n,my_project/code_detect/runs/detect/track_slab/train-yolo12n,1200,1200,0.98565,0.8,0.89945,0.68444
comparison,yolo13n,train-yolo13n,my_project/code_detect/runs/detect/track_slab/train-yolo13n,1200,1199,0.94956,0.83404,0.90117,0.71348
comparison,yolov10n,train-yolov10n,my_project/code_detect/runs/detect/track_slab/train-yolov10n,1200,1200,0.90379,0.79951,0.89508,0.59557
comparison,yolov5n,train-yolov5n,my_project/code_detect/runs/detect/track_slab/train-yolov5n,2500,2500,0.93742,0.73404,0.82042,0.61881
comparison,yolov8n,train-yolov8n,my_project/code_detect/runs/detect/track_slab/train-yolov8n,1200,1200,0.95308,0.82125,0.89748,0.69463
comparison,yolov9t,train-yolov9t,my_project/code_detect/runs/detect/track_slab/train-yolov9t,1200,1192,0.85993,0.7315,0.79909,0.51184
