epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5382,5.8433,9.33909,4.21711,1e-05,0.00213,1e-05,0,6.30374,11.4714,4.1658,0.00327778,0.00327778,0.00327778
2,19.9878,5.79061,6.68937,4.10515,1e-05,0.00213,1e-05,0,6.28335,6.77928,4.11663,0.00660566,0.00660566,0.00660566
3,29.3182,5.05031,4.78331,3.38191,0.00057,0.07447,0.00038,0.00011,4.62517,5.04533,2.95282,0.00992804,0.00992804,0.00992804
4,38.3944,4.45903,4.38686,2.85669,0.00057,0.07447,0.00038,0.00011,4.57331,4.90471,2.71407,0.00997525,0.00997525,0.00997525
5,47.3483,4.14806,4.3166,2.678,0.00057,0.07447,0.00038,0.00011,5.5668,6.83554,4.85494,0.009967,0.009967,0.009967
6,56.5564,4.02361,4.33573,2.55078,0.00051,0.0766,0.00032,9e-05,4.28174,4.67706,2.30152,0.00995875,0.00995875,0.00995875
7,65.5986,3.89381,4.32759,2.634,0.0008,0.11277,0.00124,0.00019,4.01549,4.72954,2.34332,0.0099505,0.0099505,0.0099505
8,74.8295,3.88633,4.31327,2.58317,0.00108,0.1383,0.00074,0.00017,3.93526,4.7419,2.41242,0.00994225,0.00994225,0.00994225
9,83.597,3.82358,4.30829,2.58135,0.00108,0.1383,0.00074,0.00017,5.41299,5.91677,3.6094,0.009934,0.009934,0.009934
10,92.6825,3.74697,4.34822,2.55488,0.00112,0.17021,0.00083,0.00017,3.82394,4.86291,2.36017,0.00992575,0.00992575,0.00992575
11,101.812,3.63688,4.35704,2.56758,0.00143,0.2,0.00097,0.00023,3.77399,4.56262,2.38215,0.0099175,0.0099175,0.0099175
12,111.038,3.61672,4.33444,2.55664,0.00125,0.1383,0.00094,0.00021,3.74619,4.57631,2.48006,0.00990925,0.00990925,0.00990925
13,120.068,3.61515,4.34025,2.55778,0.0011,0.15532,0.00083,0.0002,3.68729,4.53814,2.39051,0.009901,0.009901,0.009901
14,129.074,3.59317,4.31096,2.55981,0.00152,0.22553,0.0014,0.00029,3.63153,4.49068,2.29679,0.00989275,0.00989275,0.00989275
15,138.367,3.6322,4.26692,2.58508,0.00163,0.2383,0.0017,0.00038,3.63813,4.38812,2.41935,0.0098845,0.0098845,0.0098845
16,147.634,3.55863,4.27582,2.55067,0.00121,0.15532,0.00116,0.0003,3.79432,4.4446,2.42359,0.00987625,0.00987625,0.00987625
17,156.671,3.51516,4.24187,2.54148,0.00144,0.15106,0.00107,0.00025,4.0024,4.64294,2.53409,0.009868,0.009868,0.009868
18,165.799,3.54793,4.27915,2.56488,0.00148,0.21702,0.00154,0.00051,3.51718,4.57718,2.44222,0.00985975,0.00985975,0.00985975
19,175.032,3.56512,4.35673,2.57296,0.00205,0.19149,0.00177,0.00039,3.70123,4.47327,2.39825,0.0098515,0.0098515,0.0098515
20,183.858,3.47291,4.30584,2.55608,0.00205,0.19149,0.00177,0.00039,5.24226,11.4886,3.27546,0.00984325,0.00984325,0.00984325
21,192.745,3.47107,4.28999,2.53556,0.00245,0.04255,0.00133,0.00032,4.07841,4.78435,2.63519,0.009835,0.009835,0.009835
22,201.693,3.51351,4.30848,2.52824,0.00178,0.25532,0.00214,0.0005,3.55476,4.45519,2.43534,0.00982675,0.00982675,0.00982675
23,210.938,3.46681,4.24313,2.53281,0.00196,0.29149,0.00251,0.00055,3.5581,4.35275,2.37861,0.0098185,0.0098185,0.0098185
24,220.313,3.50023,4.25598,2.53582,0.00173,0.26383,0.00153,0.00034,3.52208,4.49068,2.39728,0.00981025,0.00981025,0.00981025
25,229.399,3.3994,4.26072,2.47355,0.00192,0.28936,0.00231,0.0005,3.50385,4.40862,2.38681,0.009802,0.009802,0.009802
26,238.385,3.41507,4.18917,2.50239,0.00195,0.27234,0.00203,0.00043,3.57414,4.21718,2.42729,0.00979375,0.00979375,0.00979375
27,247.393,3.3708,4.20277,2.49497,0.00203,0.30638,0.00194,0.00043,3.43847,4.30854,2.40426,0.0097855,0.0097855,0.0097855
28,256.387,3.36073,4.22165,2.50534,0.00208,0.31277,0.00235,0.00051,3.4651,4.25586,2.45653,0.00977725,0.00977725,0.00977725
29,265.37,3.36644,4.22633,2.49034,0.00232,0.2617,0.00272,0.0006,3.54175,4.24096,2.38183,0.009769,0.009769,0.009769
30,274.595,3.38827,4.20542,2.51274,0.00193,0.29149,0.00296,0.00061,3.56438,4.47168,2.48316,0.00976075,0.00976075,0.00976075
