epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3379,5.6643,9.37881,4.21874,1e-05,0.00213,1e-05,0,6.05963,11.5048,4.16737,0.00327778,0.00327778,0.00327778
2,22.8582,5.64885,6.63304,4.11436,1e-05,0.00213,1e-05,0,6.03783,6.53253,4.0317,0.00660566,0.00660566,0.00660566
3,37.6806,4.99618,4.70534,3.33313,0.00081,0.1,0.00049,0.00011,4.37179,4.96874,3.14066,0.00992804,0.00992804,0.00992804
4,52.3586,4.31807,4.33077,2.79537,0.00081,0.1,0.00049,0.00011,5.644,6.2414,5.38651,0.00997525,0.00997525,0.00997525
5,62.5247,4.12367,4.29746,2.67449,0.00081,0.1,0.00049,0.00011,5.87571,5.81848,3.81645,0.009967,0.009967,0.009967
6,72.6121,4.05664,4.39862,2.59395,0.00081,0.1,0.00049,0.00011,5.19702,9.74721,4.57175,0.00995875,0.00995875,0.00995875
7,82.5805,3.98229,4.40748,2.57902,0.00081,0.1,0.00049,0.00011,4.31077,4.72917,2.22895,0.0099505,0.0099505,0.0099505
8,97.1462,3.9826,4.46293,2.56442,0.00065,0.04681,0.00035,5e-05,4.19149,4.97883,2.47739,0.00994225,0.00994225,0.00994225
9,111.132,3.93443,4.41283,2.52567,0.00057,0.08298,0.00033,8e-05,3.98369,4.53854,2.1134,0.009934,0.009934,0.009934
10,121.474,3.88939,4.42936,2.51474,0.00059,0.07872,0.00041,0.0001,4.05351,4.48098,2.09942,0.00992575,0.00992575,0.00992575
11,131.616,3.83869,4.39572,2.5095,0.0006,0.09149,0.00035,8e-05,4.06417,4.78351,2.10417,0.0099175,0.0099175,0.0099175
12,141.961,3.83588,4.40033,2.49392,0.00053,0.07872,0.00029,8e-05,3.95501,4.5282,2.04636,0.00990925,0.00990925,0.00990925
13,158.093,3.84263,4.40424,2.49035,0.00048,0.06809,0.00027,7e-05,4.05755,4.41574,2.07253,0.009901,0.009901,0.009901
14,173.17,3.81049,4.34832,2.47311,0.00056,0.08298,0.00036,9e-05,3.8862,4.62295,2.09332,0.00989275,0.00989275,0.00989275
15,183.263,3.79932,4.33336,2.46098,0.00066,0.09787,0.00039,7e-05,3.83442,4.46072,2.34602,0.0098845,0.0098845,0.0098845
16,193.311,3.76074,4.3609,2.49052,0.00112,0.06809,0.00065,0.00015,3.93443,4.53114,2.40384,0.00987625,0.00987625,0.00987625
17,203.873,3.65426,4.302,2.52561,0.0013,0.19149,0.00112,0.00024,3.6575,4.33531,2.27531,0.009868,0.009868,0.009868
18,219.208,3.6689,4.29518,2.50391,0.00151,0.13191,0.00148,0.00035,3.78583,4.52192,2.34584,0.00985975,0.00985975,0.00985975
19,235.575,3.6338,4.30898,2.49061,0.00148,0.20213,0.00136,0.00027,3.83102,4.36248,2.29005,0.0098515,0.0098515,0.0098515
20,245.735,3.60402,4.27794,2.47761,0.00132,0.19149,0.0022,0.00059,3.79678,4.35649,2.35017,0.00984325,0.00984325,0.00984325
21,256.059,3.55219,4.26076,2.44599,0.0027,0.17872,0.0026,0.00065,3.69965,4.2772,2.31872,0.009835,0.009835,0.009835
22,266.445,3.5898,4.26499,2.4425,0.00196,0.29574,0.00209,0.00044,3.59871,4.19803,2.29935,0.00982675,0.00982675,0.00982675
23,280.974,3.5341,4.20873,2.4132,0.00176,0.2617,0.00155,0.00036,3.56021,4.31505,2.28971,0.0098185,0.0098185,0.0098185
24,297.076,3.58187,4.23776,2.45159,0.00129,0.19362,0.00096,0.0002,3.75161,4.27319,2.27289,0.00981025,0.00981025,0.00981025
25,307.907,3.49706,4.1985,2.42182,0.00192,0.27872,0.00259,0.0006,3.62617,4.24038,2.31149,0.009802,0.009802,0.009802
26,317.945,3.50675,4.17771,2.41608,0.00168,0.25319,0.00187,0.00047,3.56991,4.28727,2.3029,0.00979375,0.00979375,0.00979375
27,328.074,3.48715,4.20436,2.41056,0.00119,0.18085,0.00078,0.00017,3.60645,4.34522,2.23429,0.0097855,0.0097855,0.0097855
28,341.493,3.44536,4.22052,2.41938,0.00201,0.30638,0.00202,0.00047,3.54402,4.20231,2.2538,0.00977725,0.00977725,0.00977725
29,357.727,3.45915,4.19242,2.40252,0.0019,0.28723,0.00184,0.00042,3.50346,4.19712,2.25461,0.009769,0.009769,0.009769
30,369.254,3.43611,4.16462,2.39283,0.00188,0.28085,0.0017,0.00044,3.55687,4.24855,2.29586,0.00976075,0.00976075,0.00976075
31,379.319,3.43736,4.19693,2.37282,0.00213,0.25106,0.00232,0.00055,3.68384,4.20948,2.38625,0.0097525,0.0097525,0.0097525
32,389.415,3.41794,4.13269,2.39539,0.0019,0.28298,0.00244,0.00056,3.62236,4.12193,2.27772,0.00974425,0.00974425,0.00974425
33,403,3.41498,4.15052,2.35755,0.00226,0.34255,0.00226,0.00053,3.50361,4.18319,2.2755,0.009736,0.009736,0.009736
34,419.463,3.40196,4.17617,2.38589,0.00217,0.30426,0.00281,0.00058,3.57308,4.19907,2.29608,0.00972775,0.00972775,0.00972775
35,430.981,3.34769,4.12322,2.36735,0.00202,0.30213,0.00261,0.00052,3.52712,4.10783,2.28256,0.0097195,0.0097195,0.0097195
36,441.047,3.40042,4.13389,2.38706,0.00192,0.29362,0.00176,0.00038,3.52372,4.29134,2.24319,0.00971125,0.00971125,0.00971125
37,451.073,3.39363,4.15819,2.34326,0.00187,0.28511,0.00193,0.00042,3.53735,4.20546,2.27298,0.009703,0.009703,0.009703
38,463.123,3.35815,4.11693,2.33163,0.00229,0.34894,0.00306,0.00068,3.48481,4.12539,2.23973,0.00969475,0.00969475,0.00969475
