epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4945,10.8394,9.49867,4.22307,1e-05,0.00213,1e-05,0,12.4576,11.9208,4.16845,0.00327778,0.00327778,0.00327778
2,24.9085,10.6116,7.53208,4.17842,1e-05,0.00213,1e-05,0,12.3998,8.86192,4.18822,0.00660566,0.00660566,0.00660566
3,35.5092,9.09858,5.80492,3.80695,0.00018,0.01915,9e-05,2e-05,9.5238,6.03517,3.35148,0.00992804,0.00992804,0.00992804
4,47.3135,6.82862,4.74267,3.04943,0.00028,0.00851,0.00014,4e-05,8.45291,5.15931,3.26738,0.00997525,0.00997525,0.00997525
5,59.6157,5.56728,4.57335,2.73852,0.00028,0.00851,0.00014,4e-05,6.7663,5.25024,4.51187,0.009967,0.009967,0.009967
6,74.8099,5.3842,4.5005,2.59922,0.00028,0.00851,0.00014,4e-05,8.89364,6.06589,3.43233,0.00995875,0.00995875,0.00995875
7,90.1968,5.28476,4.49952,2.60315,0.00028,0.00851,0.00014,4e-05,6.89314,5.16459,2.58717,0.0099505,0.0099505,0.0099505
8,107.524,5.28517,4.51857,2.55665,0.00085,0.04255,0.00045,0.00011,5.67718,4.73502,2.26374,0.00994225,0.00994225,0.00994225
9,124.546,5.17476,4.49115,2.63144,0.00137,0.19574,0.00105,0.00023,4.99241,4.58694,2.62595,0.009934,0.009934,0.009934
10,139.141,5.00092,4.45021,2.66576,9e-05,0.01277,5e-05,1e-05,6.4241,5.00843,2.79025,0.00992575,0.00992575,0.00992575
11,155.097,4.94117,4.44848,2.6449,0.00079,0.03191,0.00043,0.00012,5.43563,4.61906,2.28107,0.0099175,0.0099175,0.0099175
12,170.506,4.85146,4.44186,2.60481,0.00079,0.03191,0.00043,0.00012,6.19336,5.0161,2.51937,0.00990925,0.00990925,0.00990925
13,186.887,4.87215,4.40993,2.64512,0.0012,0.18085,0.00085,0.00019,5.13679,4.46636,2.4693,0.009901,0.009901,0.009901
14,197.166,4.87858,4.40953,2.62164,0.00108,0.08936,0.00062,0.00014,5.24893,4.58555,2.41946,0.00989275,0.00989275,0.00989275
15,207.303,4.91571,4.39715,2.60346,0.0017,0.16383,0.00118,0.00029,5.01209,4.5133,2.36033,0.0098845,0.0098845,0.0098845
16,217.79,4.83992,4.40471,2.59089,0.001,0.10851,0.00071,0.00017,4.91122,4.51956,2.3869,0.00987625,0.00987625,0.00987625
17,230.927,4.8825,4.38793,2.64425,0.00201,0.11277,0.00174,0.00035,5.11764,4.55869,2.43541,0.009868,0.009868,0.009868
