epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2037,7.65619,9.41392,4.21536,1e-05,0.00213,1e-05,0,8.8703,11.6005,4.16646,0.00327778,0.00327778,0.00327778
2,32.0515,7.50867,6.96682,4.13054,1e-05,0.00213,1e-05,0,8.76086,7.79954,4.11711,0.00660566,0.00660566,0.00660566
3,42.372,6.33992,5.25877,3.64774,1e-05,0.00213,1e-05,0,7.08298,5.73581,4.21649,0.00992804,0.00992804,0.00992804
4,52.8161,5.10349,4.64995,3.06867,1e-05,0.00213,1e-05,0,6.68549,5.68742,4.28081,0.00997525,0.00997525,0.00997525
5,63.214,4.4589,4.45598,2.78137,1e-05,0.00213,1e-05,0,6.97059,6.14515,4.71591,0.009967,0.009967,0.009967
6,73.708,4.27456,4.44198,2.67366,0.00098,0.01277,0.00052,9e-05,4.78049,4.80109,2.79355,0.00995875,0.00995875,0.00995875
7,84.1548,4.15391,4.39763,2.6993,0.00164,0.00213,0.00083,8e-05,4.8595,5.04657,2.42681,0.0099505,0.0099505,0.0099505
8,94.2148,4.09963,4.43398,2.6164,0.00164,0.00213,0.00083,8e-05,5.2568,5.13965,2.73528,0.00994225,0.00994225,0.00994225
9,104.014,4.1377,4.46912,2.61789,0.0004,0.01277,0.00021,8e-05,4.93226,5.2382,2.49644,0.009934,0.009934,0.009934
10,113.648,4.07735,4.48138,2.62778,0.00162,0.01702,0.00097,0.00023,4.15347,4.86064,2.65116,0.00992575,0.00992575,0.00992575
11,124.041,4.16473,4.39477,2.69639,0.00162,0.01915,0.00149,0.00038,4.21112,4.6575,2.44265,0.0099175,0.0099175,0.0099175
12,134.454,4.1097,4.35747,2.6913,0.00146,0.04894,0.00099,0.00024,4.74698,4.60374,2.64202,0.00990925,0.00990925,0.00990925
13,145.232,4.10519,4.29294,2.73165,0.00107,0.13617,0.00071,0.00015,4.33006,4.37647,2.56361,0.009901,0.009901,0.009901
14,160.635,4.03655,4.3048,2.71497,0.00073,0.09574,0.00047,0.00011,4.32848,4.49705,2.53928,0.00989275,0.00989275,0.00989275
15,175.94,4.05761,4.34364,2.65517,0.00143,0.18936,0.00119,0.00026,4.06763,4.36967,2.48839,0.0098845,0.0098845,0.0098845
16,192.129,4.02822,4.3338,2.67231,0.00145,0.18298,0.00117,0.00028,4.11345,4.40507,2.47083,0.00987625,0.00987625,0.00987625
17,205.132,4.00828,4.38081,2.69728,0.00139,0.19362,0.00106,0.00025,4.22862,4.45128,2.56649,0.009868,0.009868,0.009868
18,215.343,3.871,4.36443,2.67989,0.00151,0.19149,0.00107,0.00025,3.84064,4.57706,2.4544,0.00985975,0.00985975,0.00985975
19,225.355,3.88259,4.38493,2.64948,0.00201,0.22979,0.00208,0.00041,3.88378,4.50548,2.40826,0.0098515,0.0098515,0.0098515
20,237.41,3.81209,4.41356,2.67456,0.00153,0.21702,0.00127,0.00028,3.91164,4.43854,2.39265,0.00984325,0.00984325,0.00984325
21,253.436,3.8444,4.43797,2.66137,0.00139,0.19362,0.00121,0.00026,3.86106,4.57661,2.3608,0.009835,0.009835,0.009835
22,265.894,3.77512,4.48745,2.64252,0.00172,0.09149,0.001,0.00025,3.87836,4.63216,2.47365,0.00982675,0.00982675,0.00982675
23,275.82,3.71606,4.45913,2.60032,0.00237,0.02766,0.00136,0.00022,4.0582,4.97753,2.48257,0.0098185,0.0098185,0.0098185
24,286.05,3.74316,4.46004,2.62151,0.00161,0.22553,0.00123,0.00027,3.77356,4.53249,2.32765,0.00981025,0.00981025,0.00981025
25,298.206,3.72654,4.44421,2.63144,0.00142,0.2,0.00112,0.00028,3.82466,4.59911,2.3578,0.009802,0.009802,0.009802
26,314.194,3.7424,4.41839,2.62311,0.00159,0.23191,0.00138,0.00027,3.78814,4.56148,2.36306,0.00979375,0.00979375,0.00979375
27,326.12,3.7063,4.43922,2.62331,0.00165,0.24043,0.00164,0.00032,3.70484,4.60141,2.35861,0.0097855,0.0097855,0.0097855
28,336.199,3.66666,4.45832,2.63499,0.00172,0.23191,0.00136,0.00029,3.68131,4.47676,2.38507,0.00977725,0.00977725,0.00977725
29,346.411,3.70152,4.4389,2.6326,0.0019,0.22979,0.00144,0.00035,3.6965,4.56004,2.34653,0.009769,0.009769,0.009769
30,359.097,3.62293,4.41422,2.60364,0.00201,0.29787,0.00182,0.0004,3.568,4.66653,2.3969,0.00976075,0.00976075,0.00976075
31,375.313,3.62388,4.39272,2.57381,0.00183,0.25745,0.00191,0.00043,3.63885,4.47633,2.42403,0.0097525,0.0097525,0.0097525
32,387.32,3.61433,4.33448,2.57144,0.00202,0.30213,0.00241,0.00052,3.59138,4.45604,2.40475,0.00974425,0.00974425,0.00974425
33,397.692,3.59717,4.36398,2.56919,0.00184,0.28085,0.0022,0.00054,3.60277,4.62455,2.39276,0.009736,0.009736,0.009736
34,408.095,3.52619,4.3557,2.55065,0.00194,0.28511,0.00333,0.00064,3.63313,4.46042,2.37919,0.00972775,0.00972775,0.00972775
35,422.84,3.49302,4.29134,2.53616,0.00194,0.25745,0.00255,0.0005,3.62037,4.41265,2.3846,0.0097195,0.0097195,0.0097195
36,438.818,3.52041,4.31861,2.54406,0.00204,0.31064,0.0024,0.00051,3.60449,4.51761,2.40672,0.00971125,0.00971125,0.00971125
37,449.06,3.54077,4.35497,2.55174,0.00233,0.35106,0.00332,0.00074,3.57599,4.48963,2.43036,0.009703,0.009703,0.009703
38,459.508,3.56791,4.29443,2.55058,0.00227,0.33617,0.00447,0.00096,3.59972,4.48803,2.40731,0.00969475,0.00969475,0.00969475
39,469.839,3.50453,4.26867,2.53214,0.00219,0.31489,0.00392,0.00076,3.58443,4.39901,2.38614,0.0096865,0.0096865,0.0096865
40,484.995,3.53623,4.26483,2.54673,0.00214,0.31277,0.00428,0.00087,3.58784,4.35335,2.42511,0.00967825,0.00967825,0.00967825
41,499.097,3.51419,4.27138,2.5348,0.00198,0.23404,0.00259,0.00057,3.70784,4.63214,2.42331,0.00967,0.00967,0.00967
42,509.277,3.53418,4.27711,2.53393,0.0027,0.2383,0.00363,0.00069,3.6407,4.38553,2.40966,0.00966175,0.00966175,0.00966175
43,519.47,3.48507,4.21753,2.53017,0.00264,0.38723,0.00641,0.00137,3.5568,4.25047,2.39178,0.0096535,0.0096535,0.0096535
44,530.03,3.49868,4.17882,2.51334,0.0027,0.39362,0.00572,0.00112,3.56552,4.17315,2.39418,0.00964525,0.00964525,0.00964525
45,545.915,3.48226,4.15478,2.51902,0.00265,0.39362,0.01079,0.00204,3.56842,4.19594,2.42215,0.009637,0.009637,0.009637
46,560.689,3.47083,4.1565,2.5201,0.01218,0.03191,0.00382,0.00094,3.72617,5.18204,2.39365,0.00962875,0.00962875,0.00962875
47,570.771,3.43661,4.15474,2.50322,0.00187,0.28511,0.00474,0.00093,3.54999,4.48681,2.3645,0.0096205,0.0096205,0.0096205
48,581.048,3.47051,4.1614,2.47659,0.00251,0.38298,0.00759,0.00154,3.56653,4.24902,2.40025,0.00961225,0.00961225,0.00961225
49,592.165,3.48325,4.14221,2.51419,0.00127,0.19149,0.00243,0.00054,3.67026,4.55792,2.43425,0.009604,0.009604,0.009604
50,608.557,3.42024,4.1606,2.49482,0.00229,0.34681,0.00478,0.00088,3.547,4.56585,2.39757,0.00959575,0.00959575,0.00959575
51,621.877,3.43349,4.12283,2.48436,0.00229,0.34681,0.00729,0.00133,3.49689,4.30381,2.37424,0.0095875,0.0095875,0.0095875
52,632.001,3.47595,4.12829,2.50117,0.00224,0.34043,0.00609,0.00134,3.5784,4.85959,2.45736,0.00957925,0.00957925,0.00957925
53,642.152,3.42131,4.12037,2.48728,0.01873,0.1234,0.00734,0.00177,3.42502,4.20872,2.37324,0.009571,0.009571,0.009571
54,652.379,3.41764,4.08277,2.48026,0.00882,0.23404,0.01029,0.00219,3.43468,4.34493,2.39133,0.00956275,0.00956275,0.00956275
55,667.177,3.41256,4.06391,2.48952,0.00218,0.32553,0.00601,0.00118,3.51119,4.31962,2.42814,0.0095545,0.0095545,0.0095545
56,683.179,3.39741,4.02255,2.46486,0.00293,0.38936,0.00746,0.0018,3.43008,4.22675,2.43622,0.00954625,0.00954625,0.00954625
57,693.371,3.33772,4.03778,2.46545,0.00222,0.30638,0.00719,0.00203,3.41257,4.3425,2.39939,0.009538,0.009538,0.009538
58,703.498,3.37219,4.0688,2.47092,0.00255,0.34894,0.00695,0.00163,3.46873,4.35445,2.41988,0.00952975,0.00952975,0.00952975
