epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1651,5.86436,9.41067,4.21855,1e-05,0.00213,1e-05,0,6.30585,11.511,4.16668,0.00327778,0.00327778,0.00327778
2,21.5294,5.85774,6.74572,4.13998,1e-05,0.00213,1e-05,0,6.27766,6.71325,4.07034,0.00660566,0.00660566,0.00660566
3,31.3533,5.33743,4.81922,3.46571,0.00033,0.01702,0.00017,7e-05,4.59988,4.95904,3.26632,0.00992804,0.00992804,0.00992804
4,41.0079,4.62772,4.39144,2.8326,0.00033,0.01702,0.00017,7e-05,4.85833,10.8082,10.0122,0.00997525,0.00997525,0.00997525
5,51.9154,4.4512,4.29529,2.67918,0.00048,0.06596,0.00027,7e-05,4.76418,4.56898,2.54869,0.009967,0.009967,0.009967
6,61.8834,4.36655,4.28557,2.57364,0.00048,0.06596,0.00027,7e-05,4.62993,7.80608,3.89664,0.00995875,0.00995875,0.00995875
7,71.0772,4.33179,4.25961,2.61487,0.00046,0.01702,0.00024,4e-05,4.9348,4.88058,2.61467,0.0099505,0.0099505,0.0099505
8,80.0752,4.26707,4.29013,2.53086,0.00061,0.09149,0.00035,7e-05,4.32882,4.32743,2.10867,0.00994225,0.00994225,0.00994225
9,89.2907,4.23447,4.26281,2.52256,0.00068,0.08723,0.00042,8e-05,4.41976,4.44945,2.16748,0.009934,0.009934,0.009934
10,99.7043,4.15173,4.32024,2.48524,0.00055,0.08085,0.00032,7e-05,4.19811,4.51391,2.19546,0.00992575,0.00992575,0.00992575
11,109.19,4.10667,4.29022,2.49541,0.00055,0.08085,0.00034,0.0001,4.1616,4.59019,2.23702,0.0099175,0.0099175,0.0099175
12,118.785,4.04211,4.23054,2.47967,0.00075,0.11064,0.00053,0.00012,4.2731,4.45568,2.34917,0.00990925,0.00990925,0.00990925
13,128.039,4.05414,4.26248,2.48028,0.00148,0.22128,0.00147,0.00029,4.12419,4.34777,2.27248,0.009901,0.009901,0.009901
14,137.874,4.02314,4.21356,2.47502,0.00145,0.21915,0.00147,0.00031,4.10448,4.2819,2.26973,0.00989275,0.00989275,0.00989275
15,148.437,4.00289,4.22734,2.45088,0.00121,0.17447,0.00094,0.00023,4.18512,4.3187,2.30001,0.0098845,0.0098845,0.0098845
16,157.649,3.98589,4.20703,2.41548,0.00155,0.22766,0.0016,0.00037,4.09083,4.266,2.27279,0.00987625,0.00987625,0.00987625
17,167.067,3.92745,4.16074,2.41472,0.0015,0.22553,0.00173,0.00033,4.0618,4.2584,2.23267,0.009868,0.009868,0.009868
18,176.42,3.92906,4.16393,2.41003,0.00163,0.2383,0.00322,0.00062,4.07252,4.30435,2.33329,0.00985975,0.00985975,0.00985975
19,187.289,3.90931,4.17977,2.41483,0.00176,0.26383,0.00144,0.00037,3.9937,4.35928,2.27536,0.0098515,0.0098515,0.0098515
20,196.948,3.84233,4.16271,2.38687,0.00156,0.2383,0.00115,0.00031,3.88038,4.50231,2.22886,0.00984325,0.00984325,0.00984325
21,206.098,3.83711,4.14366,2.39326,0.00177,0.27021,0.00158,0.00037,3.91591,4.59349,2.18054,0.009835,0.009835,0.009835
22,215.144,3.8435,4.12531,2.36674,0.0081,0.00213,0.00191,0.0004,3.97254,4.44809,2.27266,0.00982675,0.00982675,0.00982675
23,224.302,3.78835,4.07692,2.33127,0.00207,0.30851,0.00316,0.00066,3.9247,4.10222,2.24313,0.0098185,0.0098185,0.0098185
24,234.813,3.80895,4.12292,2.37205,0.00184,0.28085,0.00145,0.00033,3.89878,4.33896,2.17093,0.00981025,0.00981025,0.00981025
25,244.597,3.74913,4.05395,2.35041,0.0022,0.33617,0.00277,0.00059,3.89143,4.15026,2.22241,0.009802,0.009802,0.009802
26,253.897,3.77937,3.99907,2.32191,0.00402,0.02128,0.00235,0.00057,3.88765,4.14686,2.2101,0.00979375,0.00979375,0.00979375
27,262.904,3.75344,3.99208,2.32506,0.00227,0.34468,0.00393,0.00076,3.90325,4.22527,2.24355,0.0097855,0.0097855,0.0097855
28,272.134,3.76976,4.01819,2.35431,0.0023,0.35106,0.00731,0.00137,3.88004,4.11258,2.22973,0.00977725,0.00977725,0.00977725
29,281.518,3.73219,4.00154,2.32663,0.0023,0.35106,0.00703,0.00239,3.85162,4.15165,2.17736,0.009769,0.009769,0.009769
30,291.814,3.72821,3.95635,2.3107,0.00236,0.3234,0.00751,0.00197,3.92083,4.12411,2.22344,0.00976075,0.00976075,0.00976075
31,302.113,3.75284,3.94864,2.30694,0.00232,0.35106,0.00501,0.00106,3.88843,4.03258,2.21175,0.0097525,0.0097525,0.0097525
32,311.24,3.69085,3.92467,2.29634,0.00197,0.29362,0.00659,0.00129,3.9027,4.26005,2.26421,0.00974425,0.00974425,0.00974425
33,320.231,3.67302,3.92186,2.2798,0.03544,0.01064,0.00357,0.00084,3.82532,4.33071,2.21498,0.009736,0.009736,0.009736
34,329.293,3.62708,3.92701,2.33648,0.01845,0.17021,0.00992,0.0023,3.7805,4.41858,2.39273,0.00972775,0.00972775,0.00972775
35,339.458,3.56952,3.87787,2.32016,0.02407,0.04468,0.00806,0.00167,3.73055,4.46799,2.39782,0.0097195,0.0097195,0.0097195
36,350.505,3.57906,3.85861,2.31913,0.08097,0.05106,0.01333,0.00253,3.75458,4.60594,2.39463,0.00971125,0.00971125,0.00971125
37,360.066,3.59521,3.86943,2.33169,0.00361,0.35319,0.01109,0.00219,3.75671,4.09974,2.35338,0.009703,0.009703,0.009703
38,369.052,3.60852,3.78521,2.31456,0.06787,0.04043,0.01066,0.0027,3.73958,3.93549,2.24067,0.00969475,0.00969475,0.00969475
39,378.028,3.63177,3.8038,2.3165,0.05563,0.03404,0.01082,0.00252,3.71031,3.86327,2.18835,0.0096865,0.0096865,0.0096865
40,387.148,3.60369,3.78306,2.30815,0.08203,0.0383,0.02121,0.00465,3.60119,4.19092,2.27707,0.00967825,0.00967825,0.00967825
41,397.888,3.59107,3.7765,2.32257,0.10856,0.08723,0.02262,0.0051,3.66051,3.80383,2.26078,0.00967,0.00967,0.00967
42,408.905,3.59581,3.78798,2.31515,0.00229,0.34894,0.00372,0.00082,3.89806,6.89801,2.49904,0.00966175,0.00966175,0.00966175
43,418.101,3.51187,3.76373,2.3062,0.06231,0.04894,0.01724,0.00352,3.71493,4.01112,2.23862,0.0096535,0.0096535,0.0096535
44,427.172,3.56139,3.73519,2.31718,0.13482,0.04681,0.02749,0.0061,3.72601,3.93442,2.23066,0.00964525,0.00964525,0.00964525
45,436.492,3.52364,3.7147,2.29744,0.11681,0.0515,0.01852,0.00462,3.60171,3.82588,2.24108,0.009637,0.009637,0.009637
46,446.607,3.51176,3.71561,2.31504,0.12048,0.0617,0.02566,0.00568,3.69184,3.80899,2.19515,0.00962875,0.00962875,0.00962875
47,457.294,3.47462,3.69274,2.30985,0.04972,0.10213,0.02206,0.00479,3.61395,4.09058,2.33478,0.0096205,0.0096205,0.0096205
48,466.327,3.49866,3.70583,2.3023,0.09269,0.05957,0.02482,0.00543,3.51387,3.79788,2.20898,0.00961225,0.00961225,0.00961225
49,475.384,3.48228,3.70766,2.32646,0.05816,0.1,0.02186,0.00498,3.54194,3.99358,2.26453,0.009604,0.009604,0.009604
50,484.215,3.44602,3.68312,2.30023,0.09751,0.04681,0.02598,0.00565,3.53375,3.72014,2.23638,0.00959575,0.00959575,0.00959575
51,493.227,3.46504,3.63039,2.30632,0.08412,0.0766,0.02496,0.00666,3.48582,3.84818,2.24754,0.0095875,0.0095875,0.0095875
52,503.943,3.45569,3.67357,2.30462,0.13149,0.07447,0.03141,0.00737,3.63611,3.87679,2.20458,0.00957925,0.00957925,0.00957925
53,514.555,3.48252,3.67901,2.32876,0.11114,0.00851,0.00648,0.00138,3.99754,5.16237,2.37754,0.009571,0.009571,0.009571
54,523.843,3.45664,3.66403,2.31866,0.09679,0.11702,0.02789,0.00653,3.44749,3.96565,2.29267,0.00956275,0.00956275,0.00956275
55,532.892,3.39615,3.6362,2.29554,0.07671,0.13617,0.02781,0.00573,3.45325,3.80673,2.22959,0.0095545,0.0095545,0.0095545
56,541.954,3.42146,3.58618,2.27068,0.06474,0.04255,0.01156,0.00404,3.73762,4.45294,2.19433,0.00954625,0.00954625,0.00954625
57,552.451,3.37109,3.61344,2.2801,0.13799,0.05319,0.02752,0.00771,3.51691,3.85859,2.29896,0.009538,0.009538,0.009538
58,563.292,3.40012,3.6205,2.27618,0.09083,0.12553,0.03477,0.00772,3.44422,3.75257,2.24847,0.00952975,0.00952975,0.00952975
59,572.739,3.37456,3.55501,2.27938,0.06542,0.02766,0.00533,0.0014,3.86469,4.5606,2.32227,0.0095215,0.0095215,0.0095215
60,581.765,3.39673,3.6057,2.25853,0.15298,0.08262,0.03389,0.00734,3.47781,3.63566,2.2378,0.00951325,0.00951325,0.00951325
61,590.913,3.38074,3.58829,2.26938,0.09988,0.1234,0.03794,0.00901,3.41323,3.74512,2.21394,0.009505,0.009505,0.009505
62,601.656,3.36751,3.58067,2.28186,0.14209,0.08298,0.03226,0.00713,3.62457,3.87762,2.16724,0.00949675,0.00949675,0.00949675
63,612.529,3.37554,3.58194,2.27353,0.12371,0.05106,0.02882,0.00633,3.48057,3.73982,2.1967,0.0094885,0.0094885,0.0094885
64,621.571,3.35697,3.56576,2.26206,0.08285,0.0383,0.01476,0.00454,3.7927,4.42962,2.22688,0.00948025,0.00948025,0.00948025
65,630.645,3.38378,3.55767,2.27418,0.10855,0.08298,0.02807,0.00701,3.47218,3.70772,2.27057,0.009472,0.009472,0.009472
66,639.826,3.34656,3.54379,2.2483,0.09417,0.10851,0.03009,0.00727,3.52551,3.7723,2.2054,0.00946375,0.00946375,0.00946375
67,649.052,3.32117,3.52942,2.25622,0.16135,0.02579,0.02131,0.00595,3.6954,4.44265,2.32412,0.0094555,0.0094555,0.0094555
68,660.588,3.32538,3.49662,2.27337,0.10507,0.08298,0.02709,0.00647,3.5441,3.77956,2.23375,0.00944725,0.00944725,0.00944725
69,670.667,3.34886,3.55513,2.27698,0.11879,0.12677,0.03954,0.00975,3.40728,3.61258,2.18759,0.009439,0.009439,0.009439
70,680.075,3.2844,3.51334,2.24783,0.12786,0.08298,0.04692,0.01131,3.36298,3.61486,2.20241,0.00943075,0.00943075,0.00943075
71,689.287,3.30061,3.51858,2.2319,0.12656,0.0766,0.03797,0.00999,3.53923,3.7353,2.19111,0.0094225,0.0094225,0.0094225
72,698.304,3.31472,3.49217,2.24042,0.1085,0.13404,0.03663,0.00863,3.36987,3.67382,2.20691,0.00941425,0.00941425,0.00941425
73,708.652,3.26477,3.4418,2.21794,0.1237,0.11064,0.03507,0.00946,3.49357,3.67643,2.20337,0.009406,0.009406,0.009406
74,718.975,3.24429,3.45572,2.21061,0.11763,0.08511,0.04685,0.0137,3.37901,3.60908,2.22208,0.00939775,0.00939775,0.00939775
75,728.162,3.29489,3.46568,2.22684,0.18449,0.09574,0.05189,0.01342,3.32745,3.54635,2.16825,0.0093895,0.0093895,0.0093895
76,737.502,3.29012,3.48797,2.23935,0.16773,0.06383,0.03501,0.00937,3.42527,3.62857,2.16285,0.00938125,0.00938125,0.00938125
77,746.573,3.26636,3.43876,2.20706,0.12257,0.0766,0.03139,0.00945,3.60071,3.98062,2.15221,0.009373,0.009373,0.009373
78,756.448,3.2633,3.4661,2.20393,0.13421,0.04189,0.02908,0.00739,3.5313,4.15,2.27532,0.00936475,0.00936475,0.00936475
79,766.826,3.25528,3.4546,2.19654,0.15781,0.0925,0.04128,0.01133,3.41657,3.77116,2.19409,0.0093565,0.0093565,0.0093565
80,775.909,3.24129,3.42684,2.21958,0.17135,0.10779,0.05731,0.01327,3.32343,3.55481,2.13081,0.00934825,0.00934825,0.00934825
81,785.173,3.25151,3.42832,2.22292,0.15934,0.12553,0.06077,0.01561,3.33849,3.49106,2.13705,0.00934,0.00934,0.00934
82,794.384,3.22904,3.44459,2.19724,0.15976,0.08936,0.03958,0.0109,3.32183,3.6093,2.15331,0.00933175,0.00933175,0.00933175
83,803.378,3.22757,3.41131,2.19636,0.14759,0.10213,0.06231,0.01781,3.36102,3.60022,2.17827,0.0093235,0.0093235,0.0093235
84,814.266,3.21976,3.41205,2.19842,0.17622,0.10213,0.05331,0.01619,3.27304,3.5572,2.13105,0.00931525,0.00931525,0.00931525
85,824.337,3.20006,3.42173,2.19556,0.18482,0.06809,0.05152,0.01284,3.25987,3.60734,2.11603,0.009307,0.009307,0.009307
86,833.359,3.18897,3.42433,2.17206,0.21495,0.08723,0.05415,0.01558,3.28426,3.63368,2.12789,0.00929875,0.00929875,0.00929875
87,842.427,3.18819,3.37259,2.17902,0.18493,0.10851,0.06116,0.01631,3.34134,3.54678,2.13306,0.0092905,0.0092905,0.0092905
88,851.448,3.20646,3.40772,2.18476,0.16354,0.13404,0.06492,0.01722,3.25248,3.46876,2.12776,0.00928225,0.00928225,0.00928225
89,861.311,3.20142,3.353,2.19285,0.17684,0.05319,0.04479,0.01368,3.38227,3.74484,2.16627,0.009274,0.009274,0.009274
90,872.043,3.18755,3.36091,2.18936,0.17843,0.11702,0.06488,0.01901,3.33014,3.46654,2.15419,0.00926575,0.00926575,0.00926575
91,881.602,3.20429,3.38853,2.19879,0.17227,0.11277,0.06684,0.0179,3.28349,3.46745,2.14117,0.0092575,0.0092575,0.0092575
92,890.635,3.19289,3.36145,2.1622,0.1647,0.10638,0.05174,0.01319,3.3849,3.54436,2.14961,0.00924925,0.00924925,0.00924925
93,899.721,3.20937,3.33404,2.2035,0.20742,0.10213,0.08195,0.01913,3.30148,3.44102,2.18229,0.009241,0.009241,0.009241
94,909.153,3.1664,3.32321,2.18041,0.13519,0.08085,0.05606,0.01513,3.44265,3.51952,2.17651,0.00923275,0.00923275,0.00923275
95,920.187,3.18865,3.35289,2.18467,0.15786,0.11702,0.05364,0.0143,3.22912,3.47106,2.14283,0.0092245,0.0092245,0.0092245
96,930.123,3.13779,3.31977,2.16748,0.18623,0.12766,0.06999,0.01938,3.24781,3.48946,2.14337,0.00921625,0.00921625,0.00921625
97,939.279,3.12668,3.30159,2.13467,0.19516,0.13621,0.07253,0.01762,3.21523,3.44503,2.12942,0.009208,0.009208,0.009208
98,948.257,3.14678,3.31889,2.17471,0.22554,0.11489,0.06475,0.01778,3.21757,3.45449,2.14524,0.00919975,0.00919975,0.00919975
99,957.267,3.14824,3.33753,2.16012,0.1655,0.09149,0.06525,0.01902,3.29052,3.49854,2.12973,0.0091915,0.0091915,0.0091915
100,967.323,3.1077,3.28966,2.15547,0.21466,0.13191,0.07769,0.02131,3.16561,3.46241,2.12644,0.00918325,0.00918325,0.00918325
101,978.68,3.15239,3.28657,2.1457,0.17577,0.11064,0.06166,0.0179,3.25864,3.4598,2.12464,0.009175,0.009175,0.009175
102,987.685,3.11487,3.33064,2.13734,0.20474,0.1234,0.07399,0.01852,3.21681,3.44646,2.11875,0.00916675,0.00916675,0.00916675
103,996.725,3.11046,3.2759,2.14001,0.23675,0.12144,0.08687,0.02247,3.16864,3.41741,2.14503,0.0091585,0.0091585,0.0091585
104,1006.1,3.08272,3.26991,2.13889,0.19952,0.14468,0.07671,0.02242,3.13349,3.40845,2.11129,0.00915025,0.00915025,0.00915025
105,1015.9,3.10972,3.29353,2.17339,0.22998,0.12766,0.07984,0.02368,3.19703,3.39358,2.10066,0.009142,0.009142,0.009142
106,1027.66,3.10806,3.29864,2.16715,0.19379,0.12553,0.07826,0.02292,3.12377,3.34057,2.07761,0.00913375,0.00913375,0.00913375
107,1037.02,3.0668,3.27464,2.13234,0.19659,0.14043,0.08094,0.02401,3.17304,3.33912,2.10436,0.0091255,0.0091255,0.0091255
108,1046.23,3.09714,3.31528,2.1683,0.1909,0.09538,0.06718,0.01834,3.21525,3.45182,2.12556,0.00911725,0.00911725,0.00911725
109,1055.25,3.09134,3.28285,2.14236,0.1829,0.12553,0.07438,0.02092,3.16429,3.38332,2.10223,0.009109,0.009109,0.009109
110,1064.31,3.07348,3.26537,2.14108,0.17927,0.15106,0.07411,0.02113,3.14822,3.35563,2.12414,0.00910075,0.00910075,0.00910075
111,1075.11,3.09078,3.25263,2.14264,0.16076,0.10638,0.07548,0.01948,3.19242,3.51193,2.12241,0.0090925,0.0090925,0.0090925
112,1085.45,3.04583,3.25209,2.12135,0.21925,0.12128,0.09762,0.02904,3.11696,3.32373,2.11998,0.00908425,0.00908425,0.00908425
113,1094.69,3.05164,3.21852,2.14089,0.20889,0.10638,0.08804,0.02727,3.14957,3.37638,2.09969,0.009076,0.009076,0.009076
