epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6934,8.82477,9.44551,4.21964,1e-05,0.00213,1e-05,0,10.1584,11.7526,4.16899,0.00327778,0.00327778,0.00327778
2,20.3167,8.82877,7.20503,4.17424,1e-05,0.00213,1e-05,0,10.0527,7.93406,4.15668,0.00660566,0.00660566,0.00660566
3,29.4833,7.49472,5.23355,3.65695,0.00057,0.04894,0.0003,8e-05,5.85904,4.92959,3.85964,0.00992804,0.00992804,0.00992804
4,38.6091,5.40957,4.4399,2.88357,0.00018,0.00213,9e-05,2e-05,7.33358,5.37317,4.17276,0.00997525,0.00997525,0.00997525
5,47.385,4.99628,4.35883,2.7288,0.00018,0.00213,9e-05,2e-05,4.85955,11.8756,17.517,0.009967,0.009967,0.009967
6,56.3547,4.82983,4.30209,2.61498,0.00018,0.00213,9e-05,2e-05,6.64089,7.18981,4.68588,0.00995875,0.00995875,0.00995875
7,65.3747,4.70775,4.30464,2.62033,0.00037,0.03191,0.00021,5e-05,4.96231,4.73234,2.53565,0.0099505,0.0099505,0.0099505
8,74.4262,4.58068,4.36334,2.61237,0.00075,0.07872,0.00045,0.0001,4.41776,4.6458,2.32241,0.00994225,0.00994225,0.00994225
9,83.7577,4.52009,4.29474,2.60845,0.00152,0.2234,0.00155,0.00031,4.41197,4.51955,2.36232,0.009934,0.009934,0.009934
10,93.2383,4.40106,4.28773,2.54272,0.00096,0.12553,0.00064,0.00013,4.63224,4.47677,2.38468,0.00992575,0.00992575,0.00992575
11,102.426,4.39012,4.26372,2.54645,0.00026,0.00426,0.00013,2e-05,5.76336,5.41848,3.66251,0.0099175,0.0099175,0.0099175
12,111.483,4.33226,4.25358,2.53264,0.00042,0.04894,0.00027,5e-05,5.0772,4.93944,3.04065,0.00990925,0.00990925,0.00990925
13,120.489,4.35886,4.20359,2.52729,0.00145,0.18511,0.00179,0.00036,4.35524,4.33692,2.40374,0.009901,0.009901,0.009901
14,129.826,4.28291,4.20654,2.47459,0.00139,0.19787,0.0011,0.00027,4.38113,4.29889,2.372,0.00989275,0.00989275,0.00989275
15,138.953,4.33642,4.21943,2.47935,0.00255,0.14894,0.00141,0.00026,4.4354,4.44015,2.41678,0.0098845,0.0098845,0.0098845
16,147.931,4.31689,4.20796,2.46765,0.00192,0.27872,0.00205,0.00046,4.31203,4.21642,2.32721,0.00987625,0.00987625,0.00987625
17,157.074,4.28275,4.17907,2.47524,0.00173,0.24255,0.0032,0.0007,4.3237,4.18479,2.32963,0.009868,0.009868,0.009868
18,166.383,4.24344,4.17568,2.46442,0.0018,0.27234,0.00189,0.0004,4.36929,4.24771,2.43533,0.00985975,0.00985975,0.00985975
19,175.509,4.21351,4.17635,2.45832,0.00144,0.21489,0.00103,0.00022,4.39493,4.35717,2.44054,0.0098515,0.0098515,0.0098515
20,184.528,4.17557,4.16488,2.43919,0.00192,0.26596,0.00258,0.00058,4.22715,4.40751,2.37701,0.00984325,0.00984325,0.00984325
