epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.981,6.00693,9.41352,4.21877,1e-05,0.00213,1e-05,0,6.47827,11.5446,4.16665,0.00327778,0.00327778,0.00327778
2,20.5901,5.99814,6.88203,4.13933,1e-05,0.00213,1e-05,0,6.3979,6.73951,4.03301,0.00660566,0.00660566,0.00660566
3,29.7268,5.70729,4.98462,3.66509,1e-05,0.00213,1e-05,0,6.28337,5.57665,4.52827,0.00992804,0.00992804,0.00992804
4,38.9293,4.7487,4.4077,2.85569,0.00028,0.03617,0.00015,3e-05,4.65723,4.73229,2.58433,0.00997525,0.00997525,0.00997525
5,48.6061,4.49549,4.31175,2.60951,0.0006,0.0766,0.00034,8e-05,4.71432,4.52608,2.474,0.009967,0.009967,0.009967
6,58.0823,4.32573,4.30945,2.44736,0.00042,0.02979,0.00032,8e-05,4.51016,4.54258,2.27927,0.00995875,0.00995875,0.00995875
7,67.4703,4.23334,4.30507,2.45176,0.00049,0.07234,0.00038,9e-05,4.59134,4.70951,2.38599,0.0099505,0.0099505,0.0099505
8,76.7999,4.18762,4.32914,2.3558,0.00055,0.07234,0.00041,0.00011,4.29433,4.45099,2.03465,0.00994225,0.00994225,0.00994225
9,86.2791,4.18683,4.29131,2.36036,0.00083,0.11915,0.0005,0.00011,4.409,4.45947,2.10329,0.009934,0.009934,0.009934
10,95.669,4.09572,4.34781,2.35315,0.00046,0.06809,0.00028,7e-05,4.35303,4.5981,2.01507,0.00992575,0.00992575,0.00992575
11,104.794,4.09527,4.28534,2.3516,0.00086,0.11064,0.00054,0.00012,4.4251,4.44884,2.08542,0.0099175,0.0099175,0.0099175
12,114.325,4.05642,4.27712,2.29637,0.00081,0.11915,0.00053,0.00011,4.35995,4.55001,2.07379,0.00990925,0.00990925,0.00990925
13,123.48,4.06233,4.30744,2.33731,0.00086,0.12979,0.00077,0.00019,4.27046,4.45603,2.038,0.009901,0.009901,0.009901
14,132.767,4.02242,4.29682,2.40255,0.00086,0.12979,0.00077,0.00019,4.74982,4.97639,4.29387,0.00989275,0.00989275,0.00989275
15,142.148,4.05502,4.28173,2.42249,0.0018,0.07021,0.00139,0.00033,4.39707,4.58553,2.73528,0.0098845,0.0098845,0.0098845
16,151.365,4.01707,4.2665,2.37553,0.0018,0.07021,0.00139,0.00033,4.22544,4.6311,2.35363,0.00987625,0.00987625,0.00987625
17,160.823,3.98273,4.23008,2.40402,0.0017,0.24894,0.00174,0.00041,4.05636,4.28852,2.28692,0.009868,0.009868,0.009868
18,170.194,3.97096,4.20257,2.3723,0.00127,0.12766,0.00096,0.00018,4.19717,4.45118,2.28696,0.00985975,0.00985975,0.00985975
