epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6552,8.79927,9.4347,4.22055,1e-05,0.00213,1e-05,0,10.1573,11.7564,4.16867,0.00327778,0.00327778,0.00327778
2,36.1335,8.73051,7.46448,4.17902,1e-05,0.00213,1e-05,0,10.0937,8.66195,4.16233,0.00660566,0.00660566,0.00660566
3,52.9868,7.47711,5.65364,3.82048,0.00019,0.02553,0.0001,2e-05,6.21982,5.83342,3.01511,0.00992804,0.00992804,0.00992804
4,70.5254,5.14563,4.68175,3.08313,0.00019,0.02553,0.0001,2e-05,8.07011,5.36177,4.86558,0.00997525,0.00997525,0.00997525
5,81.807,4.30717,4.51597,2.71194,0.00019,0.02553,0.0001,2e-05,9.73775,5.66095,3.97698,0.009967,0.009967,0.009967
6,92.7205,4.26878,4.49257,2.56397,0.00058,0.08723,0.00034,6e-05,4.4885,4.83171,2.29701,0.00995875,0.00995875,0.00995875
7,103.262,4.13423,4.46449,2.55444,0.00045,0.06596,0.00028,6e-05,4.41608,4.7531,2.14323,0.0099505,0.0099505,0.0099505
8,118.314,4.13086,4.49465,2.515,0.00111,0.04681,0.00065,0.00014,4.26132,4.71199,2.21919,0.00994225,0.00994225,0.00994225
9,133.986,4.09936,4.45354,2.5065,0.00058,0.0234,0.0003,5e-05,4.58838,4.72273,2.28154,0.009934,0.009934,0.009934
10,143.825,4.00065,4.48064,2.56067,0.00058,0.0234,0.0003,5e-05,5.33589,5.98519,3.17252,0.00992575,0.00992575,0.00992575
11,153.949,3.94433,4.46211,2.57581,0.00152,0.05106,0.00085,0.00022,4.11669,4.63246,2.42294,0.0099175,0.0099175,0.0099175
12,164.299,3.88472,4.41169,2.55485,0.00139,0.01702,0.00074,0.00012,4.01553,4.61404,2.32515,0.00990925,0.00990925,0.00990925
13,178.069,3.85814,4.37986,2.5773,0.00139,0.01702,0.00074,0.00012,5.74342,6.14505,2.76001,0.009901,0.009901,0.009901
14,194.016,3.82284,4.36074,2.5236,0.00147,0.20851,0.00125,0.00032,3.74494,4.48856,2.30778,0.00989275,0.00989275,0.00989275
15,205.194,3.82619,4.38025,2.55743,0.00136,0.18511,0.00108,0.00023,3.90565,4.55318,2.48211,0.0098845,0.0098845,0.0098845
16,215.484,3.78369,4.42342,2.55299,0.00134,0.19362,0.00101,0.00024,3.83766,4.52382,2.31012,0.00987625,0.00987625,0.00987625
17,225.708,3.80787,4.39308,2.55875,0.00154,0.18723,0.00113,0.00024,3.96527,4.57655,2.37064,0.009868,0.009868,0.009868
18,239.166,3.80233,4.37125,2.53827,0.00192,0.19149,0.00137,0.00034,3.8309,4.42525,2.31287,0.00985975,0.00985975,0.00985975
19,254.018,3.82744,4.37159,2.53341,0.00173,0.17021,0.00129,0.00034,3.87062,4.45227,2.38757,0.0098515,0.0098515,0.0098515
20,264.068,3.79781,4.34191,2.54337,0.00158,0.11277,0.00136,0.00026,3.99938,4.58781,2.46936,0.00984325,0.00984325,0.00984325
21,274.095,3.78687,4.38725,2.54139,0.00246,0.18723,0.00224,0.00053,3.87148,4.46569,2.46193,0.009835,0.009835,0.009835
22,284.732,3.7777,4.40023,2.55348,0.00224,0.16596,0.00197,0.00041,3.91024,4.3997,2.45548,0.00982675,0.00982675,0.00982675
23,300.528,3.75504,4.32457,2.55634,0.00117,0.14468,0.00124,0.00031,3.90829,4.4856,2.43171,0.0098185,0.0098185,0.0098185
24,315.901,3.76795,4.33529,2.54772,0.00171,0.25106,0.00157,0.00043,3.68413,4.49333,2.4122,0.00981025,0.00981025,0.00981025
25,326.274,3.7001,4.33016,2.54238,0.00181,0.26383,0.00293,0.00063,3.74678,4.45681,2.42532,0.009802,0.009802,0.009802
26,336.945,3.72617,4.30851,2.56009,0.0015,0.22553,0.00225,0.00049,3.75005,4.54027,2.40643,0.00979375,0.00979375,0.00979375
27,347.162,3.68209,4.30628,2.54552,0.00169,0.25106,0.00148,0.00031,3.61,4.37329,2.418,0.0097855,0.0097855,0.0097855
28,362.309,3.68853,4.32179,2.54449,0.00226,0.17872,0.00262,0.00065,3.70939,4.20757,2.43444,0.00977725,0.00977725,0.00977725
29,378.427,3.75549,4.32139,2.51954,0.00208,0.30213,0.00178,0.00043,3.62202,4.20743,2.45734,0.009769,0.009769,0.009769
30,388.563,3.75593,4.28814,2.51087,0.00095,0.05532,0.00112,0.00017,4.73309,4.85885,3.08619,0.00976075,0.00976075,0.00976075
31,398.862,3.72318,4.30527,2.47775,0.00144,0.21915,0.00116,0.00027,3.80429,4.44846,2.40174,0.0097525,0.0097525,0.0097525
32,409.125,3.74042,4.27071,2.50678,0.0016,0.2383,0.00162,0.00041,3.86627,4.32055,2.37655,0.00974425,0.00974425,0.00974425
33,424.46,3.66993,4.28808,2.47742,0.0018,0.27447,0.00183,0.00044,3.77928,4.41024,2.37322,0.009736,0.009736,0.009736
34,440.522,3.62057,4.30468,2.46166,0.00178,0.25106,0.00202,0.00051,3.78467,4.31549,2.40651,0.00972775,0.00972775,0.00972775
35,450.77,3.58629,4.30014,2.44662,0.00179,0.26596,0.00205,0.00045,3.77371,4.33612,2.3951,0.0097195,0.0097195,0.0097195
36,460.978,3.62345,4.27564,2.46732,0.00145,0.21489,0.00141,0.00031,3.76944,4.43759,2.41399,0.00971125,0.00971125,0.00971125
37,471.138,3.6379,4.29463,2.43597,0.00169,0.24894,0.002,0.00047,3.83077,4.30374,2.40006,0.009703,0.009703,0.009703
38,487.192,3.62721,4.2604,2.40468,0.00183,0.26596,0.00196,0.00049,3.72353,4.22339,2.44715,0.00969475,0.00969475,0.00969475
39,501.783,3.62554,4.24629,2.4181,0.00239,0.20638,0.00221,0.00061,3.82788,4.42875,2.56923,0.0096865,0.0096865,0.0096865
40,512.038,3.65833,4.28476,2.44845,0.00106,0.1617,0.00065,0.00017,4.02066,4.78579,2.57273,0.00967825,0.00967825,0.00967825
41,522.218,3.66364,4.26805,2.44748,0.00156,0.23617,0.00158,0.00039,3.83742,4.35162,2.43693,0.00967,0.00967,0.00967
42,532.415,3.69018,4.27518,2.45163,0.0021,0.31915,0.00226,0.0006,3.77353,4.42253,2.43146,0.00966175,0.00966175,0.00966175
43,543.548,3.61668,4.23216,2.38618,0.00219,0.33191,0.00275,0.00063,3.71486,4.22742,2.35672,0.0096535,0.0096535,0.0096535
44,560.071,3.62399,4.21225,2.40512,0.00185,0.26596,0.00202,0.0005,3.80024,4.21311,2.34909,0.00964525,0.00964525,0.00964525
45,574.807,3.58611,4.22174,2.38704,0.00192,0.27447,0.00227,0.00057,3.74381,4.2759,2.37075,0.009637,0.009637,0.009637
46,585.128,3.59512,4.2223,2.41151,0.00205,0.30851,0.00214,0.00055,3.75474,4.30768,2.39612,0.00962875,0.00962875,0.00962875
47,595.341,3.56092,4.21163,2.38935,0.00174,0.2617,0.0021,0.00057,3.71584,4.28305,2.35547,0.0096205,0.0096205,0.0096205
48,605.918,3.62002,4.21894,2.3884,0.00213,0.29787,0.00313,0.00071,3.7792,4.16048,2.37806,0.00961225,0.00961225,0.00961225
49,623.162,3.60571,4.17871,2.40372,0.00194,0.28936,0.00266,0.00066,3.79335,4.19878,2.38024,0.009604,0.009604,0.009604
50,637.913,3.58237,4.21619,2.38564,0.00194,0.26383,0.00225,0.00058,3.72321,4.20323,2.38055,0.00959575,0.00959575,0.00959575
51,648.107,3.55441,4.18189,2.36872,0.00226,0.30851,0.00312,0.00071,3.6712,4.11387,2.32356,0.0095875,0.0095875,0.0095875
52,658.669,3.59373,4.20361,2.35202,0.00224,0.31064,0.00239,0.00059,3.68881,4.20116,2.32257,0.00957925,0.00957925,0.00957925
53,669.193,3.55232,4.23242,2.36938,0.00212,0.31915,0.0024,0.00065,3.68884,4.28736,2.32012,0.009571,0.009571,0.009571
54,685.402,3.58576,4.20579,2.36912,0.00189,0.28511,0.00205,0.0005,3.70977,4.2708,2.37576,0.00956275,0.00956275,0.00956275
55,700.537,3.53864,4.2182,2.36614,0.0024,0.31915,0.00346,0.00084,3.73857,4.1771,2.36016,0.0095545,0.0095545,0.0095545
56,711.067,3.57404,4.15249,2.33503,0.00191,0.27234,0.00225,0.00061,3.73161,4.19777,2.36052,0.00954625,0.00954625,0.00954625
57,721.242,3.50506,4.1835,2.34212,0.00203,0.28511,0.00276,0.00067,3.74059,4.28432,2.35063,0.009538,0.009538,0.009538
58,731.464,3.51571,4.22519,2.3501,0.00212,0.31277,0.00289,0.00069,3.71761,4.28352,2.3476,0.00952975,0.00952975,0.00952975
