epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7852,6.00659,9.38575,4.21845,1e-05,0.00213,1e-05,0,6.48748,11.4883,4.16715,0.00327778,0.00327778,0.00327778
2,28.3051,5.99311,6.76357,4.12706,1e-05,0.00213,1e-05,0,6.46865,6.85036,4.09461,0.00660566,0.00660566,0.00660566
3,39.3815,5.33396,4.83272,3.37906,0.00026,0.04043,0.00014,3e-05,4.75146,6.39693,3.32638,0.00992804,0.00992804,0.00992804
4,50.0749,4.51038,4.39403,2.79742,3e-05,0.00426,1e-05,0,5.29988,7.5361,4.28526,0.00997525,0.00997525,0.00997525
5,61.8793,4.31182,4.37459,2.67654,0.00057,0.08298,0.00034,9e-05,4.29622,4.59133,2.36516,0.009967,0.009967,0.009967
6,75.2718,4.11348,4.38913,2.55462,0.00061,0.04043,0.00033,5e-05,4.65061,4.72495,2.44483,0.00995875,0.00995875,0.00995875
7,85.6254,3.98749,4.37425,2.50214,0.00044,0.01915,0.00023,5e-05,4.73001,5.08181,2.52324,0.0099505,0.0099505,0.0099505
8,95.9469,3.9898,4.4027,2.44473,0.00037,0.05532,0.00021,6e-05,4.10247,4.57317,2.19522,0.00994225,0.00994225,0.00994225
9,107.818,3.99557,4.34919,2.46744,0.0004,0.04681,0.00022,4e-05,4.21397,4.87483,2.37226,0.009934,0.009934,0.009934
10,118.239,3.84945,4.37445,2.50103,0.00093,0.13617,0.00065,0.00014,3.87369,4.5117,2.26227,0.00992575,0.00992575,0.00992575
11,128.835,3.80044,4.31658,2.50552,0.00135,0.15957,0.0009,0.0002,4.01569,4.37119,2.37639,0.0099175,0.0099175,0.0099175
12,139.116,3.78472,4.28312,2.51922,0.00135,0.15957,0.0009,0.0002,5.07172,7.01434,3.06921,0.00990925,0.00990925,0.00990925
13,152.707,3.80702,4.26163,2.49901,0.00124,0.13191,0.00074,0.00019,3.84513,4.47613,2.32208,0.009901,0.009901,0.009901
14,163.096,3.75636,4.24625,2.48731,0.00119,0.17872,0.00078,0.00016,3.85311,4.50675,2.24851,0.00989275,0.00989275,0.00989275
15,173.475,3.77941,4.24818,2.48907,0.0017,0.24894,0.00202,0.00045,3.86732,4.23937,2.40774,0.0098845,0.0098845,0.0098845
16,184.239,3.69662,4.22558,2.42102,0.00182,0.26809,0.00278,0.00053,3.80134,4.19795,2.33084,0.00987625,0.00987625,0.00987625
17,199.17,3.64278,4.19893,2.44868,0.0016,0.24255,0.0015,0.00032,3.74133,4.33081,2.27282,0.009868,0.009868,0.009868
18,209.517,3.6465,4.21112,2.46466,0.00205,0.29362,0.00257,0.00062,3.68697,4.21053,2.3075,0.00985975,0.00985975,0.00985975
19,220.149,3.63085,4.21605,2.44675,0.00166,0.24681,0.00197,0.00046,3.68374,4.2649,2.31393,0.0098515,0.0098515,0.0098515
20,231.252,3.57666,4.19587,2.43076,0.00182,0.2766,0.00208,0.00049,3.6821,4.25914,2.29574,0.00984325,0.00984325,0.00984325
21,245.175,3.57552,4.21173,2.41104,0.00189,0.28723,0.00258,0.0006,3.70016,4.24656,2.25951,0.009835,0.009835,0.009835
22,255.614,3.55053,4.21498,2.40609,0.00198,0.29574,0.00225,0.00048,3.70647,4.21333,2.30462,0.00982675,0.00982675,0.00982675
23,265.961,3.53095,4.14961,2.38047,0.0019,0.27872,0.00222,0.00055,3.66367,4.20807,2.26661,0.0098185,0.0098185,0.0098185
24,277.622,3.60283,4.2035,2.43415,0.00192,0.29362,0.00253,0.00053,3.70344,4.29859,2.28751,0.00981025,0.00981025,0.00981025
25,291.272,3.50124,4.19022,2.38012,0.00181,0.2766,0.00158,0.00041,3.61871,4.40683,2.25799,0.009802,0.009802,0.009802
26,301.598,3.52674,4.16095,2.39343,0.00199,0.28936,0.00203,0.00049,3.64531,4.22483,2.24331,0.00979375,0.00979375,0.00979375
27,311.964,3.5203,4.1592,2.37797,0.00249,0.29149,0.00269,0.00062,3.57754,4.18645,2.23573,0.0097855,0.0097855,0.0097855
28,324.374,3.50142,4.16605,2.37939,0.00166,0.25319,0.0016,0.0004,3.65215,4.22266,2.21312,0.00977725,0.00977725,0.00977725
29,337.532,3.48656,4.17949,2.3797,0.00235,0.35745,0.0023,0.00051,3.53143,4.22775,2.21368,0.009769,0.009769,0.009769
30,347.889,3.49943,4.1272,2.37926,0.00204,0.3,0.00233,0.00058,3.53932,4.15513,2.23596,0.00976075,0.00976075,0.00976075
