epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.188,5.98942,9.39758,4.2178,1e-05,0.00213,1e-05,0,6.47617,11.5108,4.16709,0.00327778,0.00327778,0.00327778
2,23.0362,5.95049,6.87998,4.13306,1e-05,0.00213,1e-05,0,6.43637,7.04372,4.09956,0.00660566,0.00660566,0.00660566
3,33.4735,5.40757,4.95708,3.55874,1e-05,0.00213,1e-05,0,5.23121,5.22544,4.33642,0.00992804,0.00992804,0.00992804
4,43.5956,4.51566,4.45979,2.94795,1e-05,0.00213,1e-05,0,6.20552,5.39011,3.82946,0.00997525,0.00997525,0.00997525
5,53.8843,4.14032,4.37278,2.67453,1e-05,0.00213,1e-05,0,4.96264,5.00594,2.89428,0.009967,0.009967,0.009967
6,64.1869,4.01758,4.39461,2.49086,0.00071,0.00213,0.00036,0.00014,4.32621,4.99069,2.39175,0.00995875,0.00995875,0.00995875
7,74.0297,3.98698,4.47505,2.53626,0.00071,0.00213,0.00036,0.00014,4.60599,5.34157,2.72452,0.0099505,0.0099505,0.0099505
8,84.1663,3.94475,4.5333,2.46753,0.00071,0.00213,0.00036,0.00014,5.06257,8.04976,3.07287,0.00994225,0.00994225,0.00994225
9,94.5394,3.93244,4.50158,2.47465,0.00023,0.00213,0.00012,4e-05,4.24022,4.75375,2.29278,0.009934,0.009934,0.009934
10,104.676,3.901,4.51561,2.49138,0.00073,0.08723,0.00041,9e-05,4.13621,4.80538,2.19146,0.00992575,0.00992575,0.00992575
11,114.8,3.84411,4.53104,2.51619,0.00168,0.04894,0.00092,0.00016,3.99445,4.76531,2.15088,0.0099175,0.0099175,0.0099175
12,125.235,3.78287,4.49947,2.4917,0.0011,0.07021,0.00069,0.00019,3.98032,5.04376,2.36191,0.00990925,0.00990925,0.00990925
13,135.376,3.75889,4.51002,2.55893,0.0011,0.07021,0.00069,0.00019,4.22474,5.17905,2.37469,0.009901,0.009901,0.009901
14,145.838,3.67724,4.42938,2.57383,0.00128,0.10426,0.00078,0.00017,3.73235,4.71344,2.28864,0.00989275,0.00989275,0.00989275
15,156.179,3.67307,4.41346,2.52884,0.00256,0.13404,0.00205,0.00051,3.78456,4.59341,2.326,0.0098845,0.0098845,0.0098845
16,166.635,3.61212,4.36241,2.51823,0.00209,0.2,0.00197,0.00041,3.71406,4.43173,2.2297,0.00987625,0.00987625,0.00987625
17,176.763,3.62959,4.3285,2.53603,0.0018,0.15957,0.00145,0.00038,3.69562,4.41183,2.225,0.009868,0.009868,0.009868
18,186.301,3.58209,4.29481,2.53183,0.00341,0.00213,0.00173,0.00052,4.89851,5.65696,3.24978,0.00985975,0.00985975,0.00985975
19,195.988,3.57319,4.32239,2.48538,0.00153,0.22128,0.00118,0.00029,3.691,4.4546,2.13778,0.0098515,0.0098515,0.0098515
20,206.055,3.51552,4.30805,2.52151,0.00106,0.09574,0.00064,0.00015,3.66639,4.56986,2.20311,0.00984325,0.00984325,0.00984325
21,215.823,3.53159,4.33687,2.48798,0.00208,0.21064,0.00141,0.00033,3.66417,4.46326,2.26674,0.009835,0.009835,0.009835
22,225.896,3.48184,4.35484,2.46008,0.0018,0.18936,0.00118,0.00027,3.84086,4.73169,2.34999,0.00982675,0.00982675,0.00982675
23,235.992,3.46671,4.31727,2.46753,0.00174,0.25532,0.00142,0.00036,3.53315,4.47489,2.13114,0.0098185,0.0098185,0.0098185
24,245.923,3.49189,4.34783,2.47749,0.00159,0.2383,0.00151,0.00033,3.51506,4.45694,2.12437,0.00981025,0.00981025,0.00981025
25,256.124,3.45075,4.32931,2.43355,0.00183,0.27021,0.00156,0.00039,3.52352,4.37795,2.12448,0.009802,0.009802,0.009802
26,266.238,3.4782,4.29256,2.48147,0.00164,0.24681,0.0013,0.00029,3.56693,4.51112,2.19553,0.00979375,0.00979375,0.00979375
27,276.381,3.42577,4.31281,2.46092,0.00171,0.25319,0.00167,0.00037,3.60881,4.39786,2.18506,0.0097855,0.0097855,0.0097855
28,286.629,3.45276,4.33569,2.4324,0.0018,0.27447,0.00163,0.00039,3.54716,4.48186,2.16984,0.00977725,0.00977725,0.00977725
