epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7399,4.73555,9.44987,4.22465,1e-05,0.00213,1e-05,0,5.17469,11.6096,4.16668,0.00327778,0.00327778,0.00327778
2,20.7346,4.90759,6.80887,4.1439,1e-05,0.00213,1e-05,0,5.17425,6.75428,4.04804,0.00660566,0.00660566,0.00660566
3,30.6599,4.30641,4.8273,3.44799,0.00018,0.00426,9e-05,2e-05,3.68832,5.12787,3.183,0.00992804,0.00992804,0.00992804
4,41.9072,3.45119,4.37196,2.83544,0.00048,0.06383,0.00027,7e-05,3.62937,5.4165,4.34652,0.00997525,0.00997525,0.00997525
5,52.4885,3.32916,4.30538,2.66114,0.00079,0.09787,0.00046,0.0001,3.23682,4.55427,2.48475,0.009967,0.009967,0.009967
6,63.3659,3.29432,4.28563,2.56633,0.0003,0.03617,0.00016,4e-05,3.11212,4.83711,2.41662,0.00995875,0.00995875,0.00995875
7,73.088,3.20628,4.26789,2.55298,0.0003,0.03617,0.00016,4e-05,2.02393,9.75466,6.05633,0.0099505,0.0099505,0.0099505
8,81.9684,3.15092,4.31348,2.45721,0.0007,0.1,0.00043,9e-05,2.88327,4.48425,2.17587,0.00994225,0.00994225,0.00994225
9,90.8254,3.25142,4.3029,2.4535,0.00051,0.05106,0.00028,6e-05,2.91299,4.50086,2.13371,0.009934,0.009934,0.009934
10,99.662,3.13809,4.3604,2.43943,0.00032,0.04681,0.00018,4e-05,2.85331,4.584,2.16539,0.00992575,0.00992575,0.00992575
11,109.168,3.18164,4.29329,2.42532,0.00073,0.10851,0.00051,0.00012,2.85156,4.45393,2.17677,0.0099175,0.0099175,0.0099175
12,120.493,3.15193,4.28164,2.40915,0.00049,0.02766,0.0003,8e-05,2.78065,4.5894,2.17287,0.00990925,0.00990925,0.00990925
13,129.783,3.15453,4.28851,2.47628,0.00077,0.10851,0.00046,0.0001,2.73696,4.49519,2.23928,0.009901,0.009901,0.009901
14,138.653,3.11498,4.26303,2.49384,0.00123,0.17021,0.00088,0.00019,2.73554,4.46708,2.30237,0.00989275,0.00989275,0.00989275
15,147.813,3.12588,4.2415,2.49127,0.00171,0.25106,0.00174,0.00037,2.72626,4.32761,2.33853,0.0098845,0.0098845,0.0098845
16,157.029,3.0854,4.21654,2.45365,0.00165,0.24681,0.00242,0.00047,2.69214,4.28065,2.31084,0.00987625,0.00987625,0.00987625
17,167.521,3.02485,4.22585,2.49776,0.00108,0.1617,0.00091,0.00017,2.76437,4.36389,2.33272,0.009868,0.009868,0.009868
18,178.215,3.03796,4.17936,2.47791,0.00171,0.24468,0.00167,0.00038,2.7725,4.21224,2.41985,0.00985975,0.00985975,0.00985975
19,187.116,3.03913,4.20274,2.46639,0.0014,0.21064,0.00155,0.00034,2.74007,4.2231,2.35655,0.0098515,0.0098515,0.0098515
20,196.003,2.99552,4.1708,2.4627,0.00181,0.27447,0.00191,0.00045,2.81701,4.28711,2.35105,0.00984325,0.00984325,0.00984325
21,204.956,2.97511,4.17574,2.44598,0.00194,0.28723,0.00219,0.00055,2.78662,4.2421,2.30388,0.009835,0.009835,0.009835
22,214.573,2.98019,4.19523,2.43413,0.00201,0.30213,0.00202,0.0005,2.72168,4.22307,2.30526,0.00982675,0.00982675,0.00982675
23,224.974,2.89975,4.12041,2.38288,0.00201,0.30426,0.00239,0.00058,2.82047,4.1957,2.34826,0.0098185,0.0098185,0.0098185
24,235.752,3.00277,4.16796,2.44274,0.0023,0.34468,0.00245,0.00054,2.82165,4.19897,2.33341,0.00981025,0.00981025,0.00981025
25,246.096,2.90147,4.12635,2.3963,0.00193,0.29149,0.0025,0.00052,2.79721,4.38532,2.30734,0.009802,0.009802,0.009802
26,256.768,2.87626,4.10953,2.37484,0.00184,0.28085,0.00196,0.00048,2.88408,4.25181,2.32215,0.00979375,0.00979375,0.00979375
27,265.666,2.94377,4.09551,2.40041,0.00214,0.32553,0.00187,0.00039,2.88102,4.10943,2.31981,0.0097855,0.0097855,0.0097855
28,274.663,2.89882,4.09742,2.38274,0.00226,0.34468,0.0029,0.00065,2.74837,4.14675,2.21329,0.00977725,0.00977725,0.00977725
29,283.966,2.90204,4.0786,2.37509,0.00236,0.35319,0.00241,0.00054,2.76121,4.10201,2.23167,0.009769,0.009769,0.009769
30,293.426,2.87076,4.06573,2.35544,0.00241,0.3617,0.00506,0.00099,2.76423,4.06912,2.2565,0.00976075,0.00976075,0.00976075
31,304.139,2.87813,4.05683,2.34116,0.00266,0.36809,0.00451,0.00097,2.8385,4.04384,2.26538,0.0097525,0.0097525,0.0097525
32,314.162,2.87013,4.04031,2.36152,0.00202,0.11702,0.00426,0.00093,3.43679,4.38395,2.67686,0.00974425,0.00974425,0.00974425
33,323.051,2.84598,4.03377,2.31711,0.00209,0.28936,0.00176,0.00042,2.8258,4.26189,2.28912,0.009736,0.009736,0.009736
34,331.957,2.82133,4.05133,2.34377,0.00227,0.34468,0.00392,0.00081,2.89264,4.04992,2.25468,0.00972775,0.00972775,0.00972775
35,340.863,2.77747,4.01475,2.31937,0.00203,0.29574,0.00478,0.00115,2.82899,4.20604,2.24345,0.0097195,0.0097195,0.0097195
36,350.329,2.8035,4.00649,2.32815,0.00074,0.11277,0.00064,0.00018,3.01063,4.92738,2.36385,0.00971125,0.00971125,0.00971125
37,360.809,2.84243,4.01447,2.32151,0.00219,0.33404,0.00508,0.001,2.8335,4.32759,2.25932,0.009703,0.009703,0.009703
38,371.47,2.77293,3.96067,2.31015,0.0018,0.24894,0.00288,0.0006,2.93605,4.27146,2.27423,0.00969475,0.00969475,0.00969475
39,382.271,2.76627,3.91556,2.30403,0.00155,0.17447,0.00162,0.00041,3.05296,4.54034,2.29634,0.0096865,0.0096865,0.0096865
40,392.811,2.77712,3.94104,2.30945,0.00171,0.24894,0.00298,0.00081,3.05193,4.39071,2.3958,0.00967825,0.00967825,0.00967825
41,401.692,2.78576,3.90307,2.31273,0.02889,0.12766,0.01631,0.00342,2.88565,3.95201,2.31227,0.00967,0.00967,0.00967
42,410.795,2.78507,3.93324,2.3128,0.00073,0.10851,0.00543,0.00209,3.6454,5.3432,2.84447,0.00966175,0.00966175,0.00966175
43,419.729,2.69482,3.87791,2.27907,0.00999,0.1234,0.01286,0.00293,2.91809,4.36505,2.32627,0.0096535,0.0096535,0.0096535
44,429.523,2.77237,3.84306,2.29323,0.03609,0.13617,0.01787,0.00393,2.73654,4.01013,2.22955,0.00964525,0.00964525,0.00964525
45,442.023,2.68944,3.84688,2.27044,0.00044,0.06596,0.00034,9e-05,3.88807,5.75164,2.70575,0.009637,0.009637,0.009637
46,451.801,2.71102,3.83268,2.28984,0.00144,0.17872,0.0014,0.00035,3.29097,4.26129,2.60852,0.00962875,0.00962875,0.00962875
47,461.448,2.69146,3.81179,2.27243,0.00507,0.29787,0.01183,0.00247,2.67877,4.05606,2.23645,0.0096205,0.0096205,0.0096205
48,470.819,2.70438,3.81948,2.24694,0.02504,0.14468,0.02499,0.00528,2.72317,4.32386,2.27078,0.00961225,0.00961225,0.00961225
49,481.042,2.73064,3.78906,2.28655,0.00318,0.41915,0.01644,0.00369,2.64591,3.89218,2.20413,0.009604,0.009604,0.009604
50,492.966,2.66208,3.76769,2.24804,0.09084,0.07447,0.02101,0.00421,2.67272,3.85236,2.23081,0.00959575,0.00959575,0.00959575
51,505.079,2.66981,3.70721,2.24193,0.0011,0.16383,0.0017,0.00037,3.04751,4.63442,2.43428,0.0095875,0.0095875,0.0095875
52,514.301,2.66872,3.72964,2.22969,0.10723,0.04894,0.02669,0.00711,2.64021,3.81487,2.18431,0.00957925,0.00957925,0.00957925
53,523.649,2.63237,3.70252,2.23392,0.06794,0.11064,0.02838,0.00554,2.67676,3.73572,2.21993,0.009571,0.009571,0.009571
54,532.854,2.65462,3.71404,2.2196,0.00297,0.26596,0.00995,0.0022,2.83048,4.11772,2.28763,0.00956275,0.00956275,0.00956275
55,542.949,2.6174,3.68277,2.20192,0.09769,0.02979,0.01191,0.00273,2.86461,4.20236,2.2789,0.0095545,0.0095545,0.0095545
56,554.668,2.59786,3.62645,2.2015,0.16573,0.06679,0.03417,0.00769,2.6287,3.8172,2.24195,0.00954625,0.00954625,0.00954625
57,567.273,2.56763,3.67015,2.23157,0.14303,0.09787,0.04631,0.01286,2.55063,3.86597,2.25851,0.009538,0.009538,0.009538
58,576.715,2.5943,3.67152,2.24277,0.19422,0.04043,0.03354,0.00808,2.67139,4.00692,2.21067,0.00952975,0.00952975,0.00952975
59,585.876,2.5503,3.58418,2.22141,0.12198,0.01489,0.01315,0.00433,2.96151,4.40065,2.29793,0.0095215,0.0095215,0.0095215
60,595.093,2.56977,3.64272,2.23209,0.13285,0.08723,0.03957,0.01016,2.54339,3.73219,2.29411,0.00951325,0.00951325,0.00951325
61,605.156,2.55535,3.59416,2.23399,0.11848,0.07447,0.03519,0.00953,2.6198,4.01312,2.21407,0.009505,0.009505,0.009505
62,617.988,2.54018,3.58205,2.24986,0.14831,0.09787,0.05694,0.01606,2.46481,3.60205,2.24395,0.00949675,0.00949675,0.00949675
63,630.263,2.52288,3.60289,2.2252,0.16862,0.05957,0.02619,0.00595,2.83019,4.05247,2.26612,0.0094885,0.0094885,0.0094885
64,639.404,2.48026,3.58285,2.22994,0.18174,0.07447,0.04206,0.0095,2.49843,3.66362,2.28465,0.00948025,0.00948025,0.00948025
65,648.47,2.50835,3.5638,2.2382,0.13104,0.09574,0.04449,0.00973,2.43693,3.61042,2.24865,0.009472,0.009472,0.009472
66,657.597,2.47936,3.53849,2.22131,0.12747,0.09787,0.04785,0.01077,2.46651,3.61947,2.25779,0.00946375,0.00946375,0.00946375
67,668.126,2.4868,3.50923,2.22658,0.18076,0.10426,0.06192,0.01661,2.50595,3.55878,2.29941,0.0094555,0.0094555,0.0094555
68,681.405,2.47418,3.46084,2.23738,0.10555,0.10426,0.04111,0.01134,2.538,3.71984,2.3021,0.00944725,0.00944725,0.00944725
69,692.369,2.47413,3.51064,2.23153,0.133,0.08085,0.04968,0.01328,2.47534,3.7005,2.28677,0.009439,0.009439,0.009439
70,701.489,2.42475,3.4735,2.20962,0.17791,0.10851,0.06258,0.01658,2.45938,3.62741,2.25945,0.00943075,0.00943075,0.00943075
71,710.858,2.4547,3.50777,2.20094,0.17067,0.08936,0.04237,0.01047,2.44099,3.60882,2.23197,0.0094225,0.0094225,0.0094225
72,720.009,2.43254,3.49604,2.20788,0.15141,0.09787,0.05262,0.01306,2.57806,3.64392,2.24999,0.00941425,0.00941425,0.00941425
73,730.438,2.3961,3.44624,2.18957,0.16284,0.1,0.05495,0.01486,2.46555,3.64027,2.27659,0.009406,0.009406,0.009406
74,742.925,2.40743,3.43705,2.18769,0.12157,0.11489,0.03307,0.00829,2.50178,3.73773,2.27475,0.00939775,0.00939775,0.00939775
75,753.944,2.47075,3.45629,2.22135,0.17093,0.10638,0.05142,0.013,2.47737,3.63449,2.25886,0.0093895,0.0093895,0.0093895
76,763.022,2.4363,3.47496,2.21462,0.20979,0.00569,0.00351,0.00201,3.4597,4.47845,2.43802,0.00938125,0.00938125,0.00938125
77,772.133,2.41436,3.43007,2.2016,0.14698,0.11915,0.06484,0.01803,2.44971,3.5791,2.24018,0.009373,0.009373,0.009373
78,781.486,2.4105,3.43625,2.20227,0.11557,0.07447,0.04875,0.01529,2.41918,3.58847,2.2082,0.00936475,0.00936475,0.00936475
79,791.338,2.42181,3.45466,2.18415,0.16121,0.10213,0.06534,0.01846,2.3998,3.58157,2.22525,0.0093565,0.0093565,0.0093565
80,803.002,2.3978,3.40013,2.18932,0.17499,0.09362,0.05986,0.01761,2.51764,3.57677,2.22048,0.00934825,0.00934825,0.00934825
81,814.425,2.3857,3.39356,2.18806,0.13117,0.10426,0.0449,0.01219,2.48404,3.62631,2.21538,0.00934,0.00934,0.00934
82,826.261,2.38226,3.39786,2.16629,0.20368,0.14043,0.0801,0.02252,2.45051,3.54754,2.24368,0.00933175,0.00933175,0.00933175
83,838.941,2.41079,3.36691,2.19038,0.15567,0.12553,0.07386,0.02323,2.37228,3.46872,2.20149,0.0093235,0.0093235,0.0093235
84,848.447,2.39382,3.38988,2.17092,0.1379,0.13239,0.06836,0.01952,2.43026,3.45313,2.22237,0.00931525,0.00931525,0.00931525
85,857.586,2.3458,3.36337,2.15817,0.18405,0.10426,0.06463,0.01857,2.4726,3.55534,2.21869,0.009307,0.009307,0.009307
86,866.804,2.3582,3.37914,2.156,0.1642,0.06809,0.05186,0.0146,2.56947,3.75223,2.20029,0.00929875,0.00929875,0.00929875
87,876.681,2.36881,3.37823,2.16984,0.19134,0.11277,0.06291,0.02056,2.41601,3.56943,2.17992,0.0092905,0.0092905,0.0092905
88,888.558,2.36483,3.3858,2.16393,0.14726,0.11915,0.05809,0.01663,2.38637,3.59142,2.20661,0.00928225,0.00928225,0.00928225
