epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4795,4.66003,9.44658,4.21787,1e-05,0.00213,1e-05,0,5.0909,11.5999,4.16618,0.00327778,0.00327778,0.00327778
2,23.9903,4.8174,6.83146,4.12529,1e-05,0.00213,1e-05,0,5.10701,6.80861,4.08716,0.00660566,0.00660566,0.00660566
3,33.1972,4.55969,4.91836,3.56998,1e-05,0.00213,1e-05,0,5.06638,15.436,7.79662,0.00992804,0.00992804,0.00992804
4,42.4011,3.6677,4.45767,2.84356,0.00048,0.06809,0.00036,9e-05,3.63353,4.82669,2.42664,0.00997525,0.00997525,0.00997525
5,51.5635,3.4739,4.35651,2.56402,0.00056,0.08085,0.00033,6e-05,3.19972,4.65088,2.24163,0.009967,0.009967,0.009967
6,60.5902,3.38466,4.36628,2.3774,0.00068,0.08298,0.00038,8e-05,3.04235,4.44265,2.21429,0.00995875,0.00995875,0.00995875
7,71.306,3.38232,4.32946,2.398,0.00076,0.10851,0.00045,0.00011,3.06904,4.44842,2.07073,0.0099505,0.0099505,0.0099505
8,81.8621,3.41402,4.33625,2.33841,0.0007,0.10426,0.00041,0.0001,3.11087,4.5186,2.0412,0.00994225,0.00994225,0.00994225
9,90.8267,3.4582,4.3115,2.34229,0.00068,0.05745,0.001,0.00014,3.55103,4.77469,2.31906,0.009934,0.009934,0.009934
10,100.032,3.37199,4.34848,2.32413,0.00047,0.01915,0.00024,6e-05,3.79981,5.0095,2.48286,0.00992575,0.00992575,0.00992575
11,109.254,3.36585,4.28981,2.34301,0.00071,0.10851,0.00044,9e-05,3.15911,4.50133,2.01614,0.0099175,0.0099175,0.0099175
12,119.052,3.38945,4.27881,2.30471,0.00071,0.10851,0.00044,9e-05,4.65066,5.70298,3.48953,0.00990925,0.00990925,0.00990925
13,129.906,3.39704,4.27727,2.29846,0.00065,0.09787,0.00043,9e-05,3.22433,4.40449,2.0177,0.009901,0.009901,0.009901
14,139.312,3.36822,4.28277,2.30172,0.00052,0.07872,0.00032,7e-05,3.23278,4.58025,2.07589,0.00989275,0.00989275,0.00989275
15,148.351,3.35407,4.29825,2.32558,0.00113,0.17234,0.00234,0.00054,3.16599,5.36768,2.41097,0.0098845,0.0098845,0.0098845
16,157.662,3.2857,4.29115,2.31473,0.00145,0.20426,0.00111,0.00029,3.08892,4.34388,2.28246,0.00987625,0.00987625,0.00987625
17,166.801,3.22736,4.25894,2.36648,0.00157,0.23191,0.00185,0.00045,3.01388,4.29716,2.27469,0.009868,0.009868,0.009868
18,177.307,3.23267,4.23935,2.32573,0.00123,0.18723,0.00181,0.00036,3.07638,4.37852,2.24107,0.00985975,0.00985975,0.00985975
19,187.505,3.26444,4.24742,2.35861,0.00174,0.26383,0.002,0.00043,3.07853,4.25292,2.30148,0.0098515,0.0098515,0.0098515
20,197.788,3.19102,4.24006,2.339,0.00235,0.25957,0.00275,0.00073,2.96826,4.26261,2.22187,0.00984325,0.00984325,0.00984325
21,208.295,3.19851,4.20275,2.35372,0.00181,0.2617,0.00201,0.00041,3.14046,4.22265,2.20014,0.009835,0.009835,0.009835
22,217.274,3.19698,4.2326,2.34191,0.0009,0.12979,0.00098,0.00019,3.26668,4.51442,2.23917,0.00982675,0.00982675,0.00982675
23,226.233,3.15837,4.19995,2.31484,0.00206,0.28085,0.0024,0.00049,3.1391,4.24292,2.23453,0.0098185,0.0098185,0.0098185
24,235.201,3.20091,4.23986,2.35783,0.00163,0.23404,0.00172,0.00039,3.29811,4.35283,2.22276,0.00981025,0.00981025,0.00981025
25,245.14,3.17633,4.21157,2.33038,0.00161,0.22766,0.00196,0.0004,3.19814,4.25225,2.26085,0.009802,0.009802,0.009802
26,255.985,3.14399,4.16747,2.32975,0.00213,0.29149,0.00362,0.00077,3.10727,4.21353,2.24995,0.00979375,0.00979375,0.00979375
27,266.374,3.166,4.19268,2.34906,0.00022,0.03191,0.00013,2e-05,3.60675,4.84776,2.36075,0.0097855,0.0097855,0.0097855
28,276.889,3.15484,4.16817,2.34431,0.00208,0.31064,0.00331,0.00073,3.13196,4.13494,2.22043,0.00977725,0.00977725,0.00977725
29,285.966,3.08858,4.18651,2.32136,0.00233,0.14681,0.00187,0.00047,3.44106,4.81864,2.38503,0.009769,0.009769,0.009769
30,294.925,3.08427,4.12802,2.31066,0.00223,0.17872,0.0022,0.00051,3.35486,4.6202,2.34428,0.00976075,0.00976075,0.00976075
31,304.001,3.13833,4.10891,2.28832,0.00218,0.33191,0.00709,0.00103,3.10522,4.26693,2.17152,0.0097525,0.0097525,0.0097525
32,313.356,3.05736,4.10755,2.29827,0.00209,0.31702,0.00389,0.00083,3.12218,4.21974,2.23824,0.00974425,0.00974425,0.00974425
33,323.824,3.09092,4.05338,2.29663,0.00246,0.37447,0.01027,0.00148,3.06452,4.31489,2.25969,0.009736,0.009736,0.009736
34,334.571,3.00186,4.02658,2.32136,0.00115,0.17447,0.00217,0.00035,3.28824,4.96159,2.26328,0.00972775,0.00972775,0.00972775
35,343.79,2.99896,3.96449,2.3265,0.00286,0.43404,0.01012,0.00236,2.96707,4.02307,2.27636,0.0097195,0.0097195,0.0097195
36,352.992,2.9962,3.91514,2.3328,0.00216,0.32979,0.00831,0.00154,3.15438,4.30423,2.29336,0.00971125,0.00971125,0.00971125
37,362.032,2.99551,3.88863,2.31913,0.00308,0.40851,0.01209,0.00248,3.0182,3.88726,2.2507,0.009703,0.009703,0.009703
38,372.039,2.95622,3.80549,2.31307,0.03376,0.11702,0.01813,0.00367,2.95734,3.92341,2.26529,0.00969475,0.00969475,0.00969475
39,383.369,2.92239,3.7669,2.31569,0.01334,0.2617,0.01659,0.00338,2.88909,4.01289,2.31733,0.0096865,0.0096865,0.0096865
40,392.931,2.94692,3.76825,2.35552,0.00326,0.49574,0.02091,0.00449,2.92583,3.82821,2.28912,0.00967825,0.00967825,0.00967825
41,402.17,2.92985,3.74396,2.31723,0.05337,0.01212,0.00704,0.00149,3.08502,4.13695,2.23767,0.00967,0.00967,0.00967
42,411.358,2.92141,3.74045,2.30923,0.03589,0.15957,0.02646,0.00657,2.93605,3.75569,2.28366,0.00966175,0.00966175,0.00966175
43,420.839,2.88735,3.67486,2.30911,0.0563,0.08936,0.02009,0.00479,2.89237,3.83325,2.22552,0.0096535,0.0096535,0.0096535
44,431.847,2.88567,3.65236,2.29346,0.04751,0.10638,0.03039,0.00894,2.98113,3.78361,2.25047,0.00964525,0.00964525,0.00964525
45,442.684,2.84486,3.66323,2.27834,0.05214,0.12128,0.0199,0.00483,2.91124,3.8938,2.2727,0.009637,0.009637,0.009637
46,451.692,2.84597,3.6461,2.29015,0.03644,0.13191,0.02614,0.00617,2.88656,3.84876,2.24193,0.00962875,0.00962875,0.00962875
47,460.79,2.83554,3.59378,2.27087,0.04164,0.04894,0.00812,0.00174,3.10439,4.1982,2.29048,0.0096205,0.0096205,0.0096205
48,469.847,2.85635,3.61349,2.27082,0.09816,0.02979,0.02675,0.00635,2.89501,3.7148,2.25473,0.00961225,0.00961225,0.00961225
49,479.771,2.83763,3.59665,2.31919,0.10078,0.08511,0.02784,0.00672,2.83807,3.68856,2.23287,0.009604,0.009604,0.009604
50,490.652,2.77038,3.57457,2.26361,0.05643,0.12128,0.03126,0.00859,2.982,3.77668,2.2529,0.00959575,0.00959575,0.00959575
51,499.718,2.79695,3.50365,2.27566,0.09667,0.13191,0.03607,0.00809,2.84705,3.87065,2.24165,0.0095875,0.0095875,0.0095875
52,508.67,2.80704,3.5693,2.27069,0.06907,0.07021,0.02352,0.00553,2.85816,3.79137,2.25475,0.00957925,0.00957925,0.00957925
53,517.648,2.82679,3.54011,2.28272,0.12067,0.09576,0.03874,0.00982,2.82935,3.67291,2.18577,0.009571,0.009571,0.009571
54,526.808,2.7995,3.5072,2.27984,0.14806,0.10851,0.04849,0.01167,2.872,3.69164,2.22993,0.00956275,0.00956275,0.00956275
55,537.483,2.75243,3.49649,2.24776,0.10512,0.10851,0.04596,0.01169,2.86917,3.63029,2.20395,0.0095545,0.0095545,0.0095545
56,547.763,2.7576,3.42091,2.21514,0.11299,0.09574,0.0452,0.01048,2.86052,3.65561,2.21334,0.00954625,0.00954625,0.00954625
57,556.909,2.7007,3.43351,2.24106,0.09137,0.15319,0.0508,0.01212,2.79339,3.49422,2.19014,0.009538,0.009538,0.009538
58,566.183,2.76217,3.47655,2.24866,0.11131,0.13404,0.03894,0.01074,2.82619,3.53995,2.21902,0.00952975,0.00952975,0.00952975
59,575.133,2.71291,3.36896,2.2366,0.18246,0.0766,0.04569,0.0117,2.93644,3.66936,2.23388,0.0095215,0.0095215,0.0095215
60,584.738,2.74943,3.4492,2.245,0.1134,0.09149,0.03569,0.00967,2.87188,3.66619,2.22269,0.00951325,0.00951325,0.00951325
61,595.678,2.7511,3.38639,2.23482,0.09345,0.15957,0.04065,0.01024,2.87814,3.54265,2.23637,0.009505,0.009505,0.009505
62,605.451,2.72556,3.40257,2.24781,0.13212,0.10426,0.06486,0.01745,2.79539,3.48865,2.19387,0.00949675,0.00949675,0.00949675
63,614.915,2.68962,3.40687,2.21733,0.12855,0.14894,0.05422,0.01559,2.79379,3.4633,2.13929,0.0094885,0.0094885,0.0094885
64,624.03,2.67258,3.37986,2.21623,0.17213,0.09787,0.0528,0.01439,2.80711,3.45617,2.16169,0.00948025,0.00948025,0.00948025
65,633.27,2.73148,3.37507,2.23717,0.14266,0.10638,0.04794,0.0125,2.83084,3.44315,2.1936,0.009472,0.009472,0.009472
66,644.209,2.67842,3.3464,2.21292,0.15698,0.10851,0.05885,0.01746,2.78326,3.44149,2.18539,0.00946375,0.00946375,0.00946375
