epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9313,4.57911,9.39335,4.22241,1e-05,0.00213,1e-05,0,4.97092,11.5426,4.16718,0.00327778,0.00327778,0.00327778
2,20.0968,4.73573,6.82088,4.12996,2e-05,0.00213,1e-05,0,4.98699,6.97603,4.09505,0.00660566,0.00660566,0.00660566
3,29.3652,4.14065,4.78038,3.38106,0.00042,0.05106,0.00023,7e-05,3.62707,4.96755,3.12213,0.00992804,0.00992804,0.00992804
4,38.4355,3.41974,4.32845,2.80415,0.0005,0.06596,0.00028,7e-05,3.00233,4.62069,2.65415,0.00997525,0.00997525,0.00997525
5,47.2211,3.23752,4.26819,2.59977,0.00103,0.00213,0.00054,5e-05,4.8645,6.29357,4.58147,0.009967,0.009967,0.009967
6,56.356,3.21117,4.26926,2.50631,0.00045,0.06809,0.00025,5e-05,2.94051,5.13615,2.40637,0.00995875,0.00995875,0.00995875
7,65.4118,3.15661,4.28341,2.49459,0.0003,0.04043,0.00017,4e-05,2.96538,4.90935,2.331,0.0099505,0.0099505,0.0099505
8,74.1118,3.1796,4.32903,2.44553,0.0003,0.04043,0.00017,4e-05,3.14981,4.69901,2.30894,0.00994225,0.00994225,0.00994225
9,82.845,3.13447,4.30243,2.44408,0.00032,0.04681,0.00019,4e-05,2.67682,4.51681,2.08852,0.009934,0.009934,0.009934
10,91.5455,3.03902,4.32137,2.45076,0.00099,0.14043,0.00061,0.00015,2.48187,4.3021,2.29462,0.00992575,0.00992575,0.00992575
11,100.569,3.07842,4.26839,2.5183,0.00165,0.23617,0.00257,0.00076,2.57392,4.24819,2.37246,0.0099175,0.0099175,0.0099175
12,109.907,3.06082,4.2138,2.49457,0.00134,0.19787,0.00087,0.00022,2.58951,4.62491,2.31355,0.00990925,0.00990925,0.00990925
13,118.858,3.07868,4.21829,2.507,0.00129,0.18723,0.00145,0.00029,2.723,4.25384,2.26097,0.009901,0.009901,0.009901
14,127.632,3.08424,4.19265,2.4948,0.00195,0.28723,0.00253,0.00094,2.66917,4.22209,2.33884,0.00989275,0.00989275,0.00989275
15,136.679,3.10191,4.17318,2.50456,0.00183,0.2766,0.00195,0.0004,2.72162,4.24074,2.36431,0.0098845,0.0098845,0.0098845
16,145.577,3.05414,4.1703,2.45356,0.00155,0.23617,0.0023,0.00056,2.73209,4.15988,2.36916,0.00987625,0.00987625,0.00987625
17,154.7,3.00265,4.14515,2.46745,0.00177,0.2617,0.0029,0.00059,2.70578,4.15497,2.31972,0.009868,0.009868,0.009868
18,163.483,3.01335,4.11781,2.47766,0.00182,0.2766,0.0023,0.00057,2.74015,4.33684,2.35232,0.00985975,0.00985975,0.00985975
19,172.345,2.97587,4.13734,2.47036,0.00169,0.1,0.00096,0.00026,2.84043,4.4762,2.3926,0.0098515,0.0098515,0.0098515
